subj,session,trial,rt,object_response,category,condition,imagename
resnet50,4,1,NaN,knife,knife,c100,0001_cop_dnn_c100_knife_10_n03041632_43625.png
resnet50,4,2,NaN,knife,knife,c100,0002_cop_dnn_c100_knife_10_n03041632_81943.png
resnet50,4,3,NaN,knife,knife,c100,0003_cop_dnn_c100_knife_10_n03041632_12242.png
resnet50,4,4,NaN,chair,knife,c100,0004_cop_dnn_c100_knife_10_n03041632_24384.png
resnet50,4,5,NaN,chair,knife,c100,0005_cop_dnn_c100_knife_10_n03041632_24181.png
resnet50,4,6,NaN,knife,knife,c100,0006_cop_dnn_c100_knife_10_n03041632_11773.png
resnet50,4,7,NaN,chair,knife,c100,0007_cop_dnn_c100_knife_10_n03041632_20217.png
resnet50,4,8,NaN,knife,knife,c100,0008_cop_dnn_c100_knife_10_n03041632_3326.png
resnet50,4,9,NaN,knife,knife,c100,0009_cop_dnn_c100_knife_10_n03041632_5302.png
resnet50,4,10,NaN,knife,knife,c100,0010_cop_dnn_c100_knife_10_n03041632_17820.png
resnet50,4,11,NaN,keyboard,keyboard,c100,0011_cop_dnn_c100_keyboard_10_n03085013_20712.png
resnet50,4,12,NaN,keyboard,keyboard,c100,0012_cop_dnn_c100_keyboard_10_n04505470_5923.png
resnet50,4,13,NaN,keyboard,keyboard,c100,0013_cop_dnn_c100_keyboard_10_n03085013_15125.png
resnet50,4,14,NaN,keyboard,keyboard,c100,0014_cop_dnn_c100_keyboard_10_n03085013_32791.png
resnet50,4,15,NaN,keyboard,keyboard,c100,0015_cop_dnn_c100_keyboard_10_n03085013_24363.png
resnet50,4,16,NaN,keyboard,keyboard,c100,0016_cop_dnn_c100_keyboard_10_n03085013_3980.png
resnet50,4,17,NaN,keyboard,keyboard,c100,0017_cop_dnn_c100_keyboard_10_n03085013_24124.png
resnet50,4,18,NaN,keyboard,keyboard,c100,0018_cop_dnn_c100_keyboard_10_n03085013_23398.png
resnet50,4,19,NaN,keyboard,keyboard,c100,0019_cop_dnn_c100_keyboard_10_n03085013_23845.png
resnet50,4,20,NaN,keyboard,keyboard,c100,0020_cop_dnn_c100_keyboard_10_n03085013_18785.png
resnet50,4,21,NaN,elephant,elephant,c100,0021_cop_dnn_c100_elephant_10_n02504458_410.png
resnet50,4,22,NaN,elephant,elephant,c100,0022_cop_dnn_c100_elephant_10_n02504458_494.png
resnet50,4,23,NaN,elephant,elephant,c100,0023_cop_dnn_c100_elephant_10_n02504013_281.png
resnet50,4,24,NaN,elephant,elephant,c100,0024_cop_dnn_c100_elephant_10_n02504458_6930.png
resnet50,4,25,NaN,elephant,elephant,c100,0025_cop_dnn_c100_elephant_10_n02504013_2350.png
resnet50,4,26,NaN,elephant,elephant,c100,0026_cop_dnn_c100_elephant_10_n02504458_6499.png
resnet50,4,27,NaN,elephant,elephant,c100,0027_cop_dnn_c100_elephant_10_n02504458_6029.png
resnet50,4,28,NaN,elephant,elephant,c100,0028_cop_dnn_c100_elephant_10_n02504458_4811.png
resnet50,4,29,NaN,elephant,elephant,c100,0029_cop_dnn_c100_elephant_10_n02504013_6139.png
resnet50,4,30,NaN,elephant,elephant,c100,0030_cop_dnn_c100_elephant_10_n02504013_10948.png
resnet50,4,31,NaN,bicycle,bicycle,c100,0031_cop_dnn_c100_bicycle_10_n03792782_9709.png
resnet50,4,32,NaN,bicycle,bicycle,c100,0032_cop_dnn_c100_bicycle_10_n02835271_8512.png
resnet50,4,33,NaN,bicycle,bicycle,c100,0033_cop_dnn_c100_bicycle_10_n03792782_7438.png
resnet50,4,34,NaN,bicycle,bicycle,c100,0034_cop_dnn_c100_bicycle_10_n03792782_48605.png
resnet50,4,35,NaN,bicycle,bicycle,c100,0035_cop_dnn_c100_bicycle_10_n03792782_2358.png
resnet50,4,36,NaN,bicycle,bicycle,c100,0036_cop_dnn_c100_bicycle_10_n03792782_30186.png
resnet50,4,37,NaN,bicycle,bicycle,c100,0037_cop_dnn_c100_bicycle_10_n02835271_6717.png
