subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,7,1,NaN,knife,knife,c100,0001_cop_dnn_c100_knife_10_n03041632_43625.png
resnet50-train-60-epochs,7,2,NaN,knife,knife,c100,0002_cop_dnn_c100_knife_10_n03041632_81943.png
resnet50-train-60-epochs,7,3,NaN,knife,knife,c100,0003_cop_dnn_c100_knife_10_n03041632_12242.png
resnet50-train-60-epochs,7,4,NaN,bottle,knife,c100,0004_cop_dnn_c100_knife_10_n03041632_24384.png
resnet50-train-60-epochs,7,5,NaN,clock,knife,c100,0005_cop_dnn_c100_knife_10_n03041632_24181.png
resnet50-train-60-epochs,7,6,NaN,bottle,knife,c100,0006_cop_dnn_c100_knife_10_n03041632_11773.png
resnet50-train-60-epochs,7,7,NaN,chair,knife,c100,0007_cop_dnn_c100_knife_10_n03041632_20217.png
resnet50-train-60-epochs,7,8,NaN,knife,knife,c100,0008_cop_dnn_c100_knife_10_n03041632_3326.png
resnet50-train-60-epochs,7,9,NaN,knife,knife,c100,0009_cop_dnn_c100_knife_10_n03041632_5302.png
resnet50-train-60-epochs,7,10,NaN,keyboard,knife,c100,0010_cop_dnn_c100_knife_10_n03041632_17820.png
resnet50-train-60-epochs,7,11,NaN,keyboard,keyboard,c100,0011_cop_dnn_c100_keyboard_10_n03085013_20712.png
resnet50-train-60-epochs,7,12,NaN,keyboard,keyboard,c100,0012_cop_dnn_c100_keyboard_10_n04505470_5923.png
resnet50-train-60-epochs,7,13,NaN,keyboard,keyboard,c100,0013_cop_dnn_c100_keyboard_10_n03085013_15125.png
resnet50-train-60-epochs,7,14,NaN,keyboard,keyboard,c100,0014_cop_dnn_c100_keyboard_10_n03085013_32791.png
resnet50-train-60-epochs,7,15,NaN,keyboard,keyboard,c100,0015_cop_dnn_c100_keyboard_10_n03085013_24363.png
resnet50-train-60-epochs,7,16,NaN,keyboard,keyboard,c100,0016_cop_dnn_c100_keyboard_10_n03085013_3980.png
resnet50-train-60-epochs,7,17,NaN,keyboard,keyboard,c100,0017_cop_dnn_c100_keyboard_10_n03085013_24124.png
resnet50-train-60-epochs,7,18,NaN,keyboard,keyboard,c100,0018_cop_dnn_c100_keyboard_10_n03085013_23398.png
resnet50-train-60-epochs,7,19,NaN,keyboard,keyboard,c100,0019_cop_dnn_c100_keyboard_10_n03085013_23845.png
resnet50-train-60-epochs,7,20,NaN,keyboard,keyboard,c100,0020_cop_dnn_c100_keyboard_10_n03085013_18785.png
resnet50-train-60-epochs,7,21,NaN,elephant,elephant,c100,0021_cop_dnn_c100_elephant_10_n02504458_410.png
resnet50-train-60-epochs,7,22,NaN,elephant,elephant,c100,0022_cop_dnn_c100_elephant_10_n02504458_494.png
resnet50-train-60-epochs,7,23,NaN,elephant,elephant,c100,0023_cop_dnn_c100_elephant_10_n02504013_281.png
resnet50-train-60-epochs,7,24,NaN,elephant,elephant,c100,0024_cop_dnn_c100_elephant_10_n02504458_6930.png
resnet50-train-60-epochs,7,25,NaN,elephant,elephant,c100,0025_cop_dnn_c100_elephant_10_n02504013_2350.png
resnet50-train-60-epochs,7,26,NaN,elephant,elephant,c100,0026_cop_dnn_c100_elephant_10_n02504458_6499.png
resnet50-train-60-epochs,7,27,NaN,elephant,elephant,c100,0027_cop_dnn_c100_elephant_10_n02504458_6029.png
resnet50-train-60-epochs,7,28,NaN,elephant,elephant,c100,0028_cop_dnn_c100_elephant_10_n02504458_4811.png
resnet50-train-60-epochs,7,29,NaN,elephant,elephant,c100,0029_cop_dnn_c100_elephant_10_n02504013_6139.png
resnet50-train-60-epochs,7,30,NaN,elephant,elephant,c100,0030_cop_dnn_c100_elephant_10_n02504013_10948.png
resnet50-train-60-epochs,7,31,NaN,bicycle,bicycle,c100,0031_cop_dnn_c100_bicycle_10_n03792782_9709.png
resnet50-train-60-epochs,7,32,NaN,bicycle,bicycle,c100,0032_cop_dnn_c100_bicycle_10_n02835271_8512.png
resnet50-train-60-epochs,7,33,NaN,bicycle,bicycle,c100,0033_cop_dnn_c100_bicycle_10_n03792782_7438.png
resnet50-train-60-epochs,7,34,NaN,bicycle,bicycle,c100,0034_cop_dnn_c100_bicycle_10_n03792782_48605.png
resnet50-train-60-epochs,7,35,NaN,bicycle,bicycle,c100,0035_cop_dnn_c100_bicycle_10_n03792782_2358.png
resnet50-train-60-epochs,7,36,NaN,bicycle,bicycle,c100,0036_cop_dnn_c100_bicycle_10_n03792782_30186.png
resnet50-train-60-epochs,7,37,NaN,bicycle,bicycle,c100,0037_cop_dnn_c100_bicycle_10_n02835271_6717.png
resnet50-train-60-epochs,7,38,NaN,bicycle,bicycle,c100,0038_cop_dnn_c100_bicycle_10_n02835271_2163.png
resnet50-train-60-epochs,7,39,NaN,bicycle,bicycle,c100,0039_cop_dnn_c100_bicycle_10_n03792782_15248.png
resnet50-train-60-epochs,7,40,NaN,bicycle,bicycle,c100,0040_cop_dnn_c100_bicycle_10_n03792782_45780.png
resnet50-train-60-epochs,7,41,NaN,airplane,airplane,c100,0041_cop_dnn_c100_airplane_10_n02690373_2026.png
resnet50-train-60-epochs,7,42,NaN,airplane,airplane,c100,0042_cop_dnn_c100_airplane_10_n02690373_1512.png
resnet50-train-60-epochs,7,43,NaN,airplane,airplane,c100,0043_cop_dnn_c100_airplane_10_n02690373_5430.png
resnet50-train-60-epochs,7,44,NaN,airplane,airplane,c100,0044_cop_dnn_c100_airplane_10_n02690373_4893.png
resnet50-train-60-epochs,7,45,NaN,airplane,airplane,c100,0045_cop_dnn_c100_airplane_10_n02690373_3035.png
resnet50-train-60-epochs,7,46,NaN,airplane,airplane,c100,0046_cop_dnn_c100_airplane_10_n02690373_290.png
resnet50-train-60-epochs,7,47,NaN,airplane,airplane,c100,0047_cop_dnn_c100_airplane_10_n02690373_3326.png
resnet50-train-60-epochs,7,48,NaN,airplane,airplane,c100,0048_cop_dnn_c100_airplane_10_n02690373_4565.png
resnet50-train-60-epochs,7,49,NaN,airplane,airplane,c100,0049_cop_dnn_c100_airplane_10_n02690373_2750.png
resnet50-train-60-epochs,7,50,NaN,airplane,airplane,c100,0050_cop_dnn_c100_airplane_10_n02690373_891.png
resnet50-train-60-epochs,7,51,NaN,clock,clock,c100,0051_cop_dnn_c100_clock_10_n04548280_23523.png
resnet50-train-60-epochs,7,52,NaN,clock,clock,c100,0052_cop_dnn_c100_clock_10_n04548280_4557.png
resnet50-train-60-epochs,7,53,NaN,clock,clock,c100,0053_cop_dnn_c100_clock_10_n04548280_11763.png
resnet50-train-60-epochs,7,54,NaN,chair,clock,c100,0054_cop_dnn_c100_clock_10_n02708093_699.png
resnet50-train-60-epochs,7,55,NaN,chair,clock,c100,0055_cop_dnn_c100_clock_10_n04548280_4.png
resnet50-train-60-epochs,7,56,NaN,clock,clock,c100,0056_cop_dnn_c100_clock_10_n03196217_10305.png
resnet50-train-60-epochs,7,57,NaN,clock,clock,c100,0057_cop_dnn_c100_clock_10_n04548280_3164.png
resnet50-train-60-epochs,7,58,NaN,clock,clock,c100,0058_cop_dnn_c100_clock_10_n03196217_711.png
resnet50-train-60-epochs,7,59,NaN,clock,clock,c100,0059_cop_dnn_c100_clock_10_n04548280_6792.png
resnet50-train-60-epochs,7,60,NaN,keyboard,clock,c100,0060_cop_dnn_c100_clock_10_n03196217_3257.png
resnet50-train-60-epochs,7,61,NaN,oven,oven,c100,0061_cop_dnn_c100_oven_10_n04111531_10093.png
resnet50-train-60-epochs,7,62,NaN,oven,oven,c100,0062_cop_dnn_c100_oven_10_n04111531_7298.png
resnet50-train-60-epochs,7,63,NaN,oven,oven,c100,0063_cop_dnn_c100_oven_10_n04111531_10011.png
resnet50-train-60-epochs,7,64,NaN,oven,oven,c100,0064_cop_dnn_c100_oven_10_n04111531_2803.png
resnet50-train-60-epochs,7,65,NaN,oven,oven,c100,0065_cop_dnn_c100_oven_10_n04111531_4234.png
resnet50-train-60-epochs,7,66,NaN,oven,oven,c100,0066_cop_dnn_c100_oven_10_n04111531_1945.png
resnet50-train-60-epochs,7,67,NaN,oven,oven,c100,0067_cop_dnn_c100_oven_10_n04111531_11405.png
resnet50-train-60-epochs,7,68,NaN,oven,oven,c100,0068_cop_dnn_c100_oven_10_n04111531_1873.png
resnet50-train-60-epochs,7,69,NaN,oven,oven,c100,0069_cop_dnn_c100_oven_10_n04111531_21248.png
resnet50-train-60-epochs,7,70,NaN,truck,oven,c100,0070_cop_dnn_c100_oven_10_n04111531_22263.png
resnet50-train-60-epochs,7,71,NaN,chair,chair,c100,0071_cop_dnn_c100_chair_10_n02791124_7904.png
resnet50-train-60-epochs,7,72,NaN,chair,chair,c100,0072_cop_dnn_c100_chair_10_n04429376_5674.png
resnet50-train-60-epochs,7,73,NaN,chair,chair,c100,0073_cop_dnn_c100_chair_10_n02791124_755.png
resnet50-train-60-epochs,7,74,NaN,chair,chair,c100,0074_cop_dnn_c100_chair_10_n04429376_14072.png
resnet50-train-60-epochs,7,75,NaN,chair,chair,c100,0075_cop_dnn_c100_chair_10_n02791124_323.png
resnet50-train-60-epochs,7,76,NaN,chair,chair,c100,0076_cop_dnn_c100_chair_10_n03376595_3462.png
resnet50-train-60-epochs,7,77,NaN,chair,chair,c100,0077_cop_dnn_c100_chair_10_n02791124_6786.png
resnet50-train-60-epochs,7,78,NaN,chair,chair,c100,0078_cop_dnn_c100_chair_10_n04099969_4049.png
resnet50-train-60-epochs,7,79,NaN,chair,chair,c100,0079_cop_dnn_c100_chair_10_n02791124_1256.png
resnet50-train-60-epochs,7,80,NaN,truck,chair,c100,0080_cop_dnn_c100_chair_10_n04099969_2502.png
resnet50-train-60-epochs,7,81,NaN,bear,bear,c100,0081_cop_dnn_c100_bear_10_n02133161_4894.png
resnet50-train-60-epochs,7,82,NaN,bear,bear,c100,0082_cop_dnn_c100_bear_10_n02134084_26836.png
resnet50-train-60-epochs,7,83,NaN,bear,bear,c100,0083_cop_dnn_c100_bear_10_n02134418_2774.png
