subj,session,trial,rt,object_response,category,condition,imagename
resnet50,1,1,NaN,knife,airplane,0,0001_edg_dnn_0_airplane_00_airplane1.png
resnet50,1,2,NaN,knife,airplane,0,0002_edg_dnn_0_airplane_00_airplane10.png
resnet50,1,3,NaN,knife,airplane,0,0003_edg_dnn_0_airplane_00_airplane2.png
resnet50,1,4,NaN,bird,airplane,0,0004_edg_dnn_0_airplane_00_airplane3.png
resnet50,1,5,NaN,knife,airplane,0,0005_edg_dnn_0_airplane_00_airplane4.png
resnet50,1,6,NaN,bird,airplane,0,0006_edg_dnn_0_airplane_00_airplane5.png
resnet50,1,7,NaN,knife,airplane,0,0007_edg_dnn_0_airplane_00_airplane6.png
resnet50,1,8,NaN,bird,airplane,0,0008_edg_dnn_0_airplane_00_airplane7.png
resnet50,1,9,NaN,knife,airplane,0,0009_edg_dnn_0_airplane_00_airplane8.png
resnet50,1,10,NaN,knife,airplane,0,0010_edg_dnn_0_airplane_00_airplane9.png
resnet50,1,11,NaN,knife,bear,0,0011_edg_dnn_0_bear_00_bear1.png
resnet50,1,12,NaN,knife,bear,0,0012_edg_dnn_0_bear_00_bear10.png
resnet50,1,13,NaN,knife,bear,0,0013_edg_dnn_0_bear_00_bear2.png
resnet50,1,14,NaN,knife,bear,0,0014_edg_dnn_0_bear_00_bear3.png
resnet50,1,15,NaN,knife,bear,0,0015_edg_dnn_0_bear_00_bear4.png
resnet50,1,16,NaN,knife,bear,0,0016_edg_dnn_0_bear_00_bear5.png
resnet50,1,17,NaN,knife,bear,0,0017_edg_dnn_0_bear_00_bear6.png
resnet50,1,18,NaN,knife,bear,0,0018_edg_dnn_0_bear_00_bear7.png
resnet50,1,19,NaN,knife,bear,0,0019_edg_dnn_0_bear_00_bear8.png
resnet50,1,20,NaN,knife,bear,0,0020_edg_dnn_0_bear_00_bear9.png
resnet50,1,21,NaN,knife,bicycle,0,0021_edg_dnn_0_bicycle_00_bicycle1.png
resnet50,1,22,NaN,clock,bicycle,0,0022_edg_dnn_0_bicycle_00_bicycle10.png
resnet50,1,23,NaN,knife,bicycle,0,0023_edg_dnn_0_bicycle_00_bicycle2.png
resnet50,1,24,NaN,clock,bicycle,0,0024_edg_dnn_0_bicycle_00_bicycle3.png
