subj,session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,0.86748194694519,cat,cat,0,0001_edg_s02_0_cat_00_cat3.png
subject-02,1,2,0.749402046203613,boat,boat,0,0002_edg_s02_0_boat_00_boat7.png
subject-02,1,3,0.567630052566528,cat,cat,0,0003_edg_s02_0_cat_00_cat5.png
subject-02,1,4,0.957842826843262,oven,bear,0,0004_edg_s02_0_bear_00_bear7.png
subject-02,1,5,0.756158828735352,oven,oven,0,0005_edg_s02_0_oven_00_oven9.png
subject-02,1,6,0.724565029144287,clock,clock,0,0006_edg_s02_0_clock_00_clock1.png
subject-02,1,7,0.928506851196289,bicycle,bicycle,0,0007_edg_s02_0_bicycle_00_bicycle2.png
subject-02,1,8,1.12676000595093,elephant,elephant,0,0008_edg_s02_0_elephant_00_elephant4.png
subject-02,1,9,1.13315010070801,knife,knife,0,0009_edg_s02_0_knife_00_knife2.png
subject-02,1,10,0.854978084564209,car,car,0,0010_edg_s02_0_car_00_car4.png
subject-02,1,11,0.783447027206421,clock,clock,0,0011_edg_s02_0_clock_00_clock8.png
subject-02,1,12,0.751827955245972,elephant,elephant,0,0012_edg_s02_0_elephant_00_elephant5.png
subject-02,1,13,1.07971811294556,airplane,airplane,0,0013_edg_s02_0_airplane_00_airplane7.png
subject-02,1,14,1.37029910087585,knife,boat,0,0014_edg_s02_0_boat_00_boat6.png
subject-02,1,15,0.944798946380615,truck,truck,0,0015_edg_s02_0_truck_00_truck2.png
subject-02,1,16,0.799140930175781,boat,boat,0,0016_edg_s02_0_boat_00_boat10.png
subject-02,1,17,0.927725076675415,bicycle,bicycle,0,0017_edg_s02_0_bicycle_00_bicycle3.png
subject-02,1,18,0.826251029968262,truck,truck,0,0018_edg_s02_0_truck_00_truck1.png
subject-02,1,19,1.07075214385986,keyboard,keyboard,0,0019_edg_s02_0_keyboard_00_keyboard10.png
subject-02,1,20,0.725021839141846,boat,boat,0,0020_edg_s02_0_boat_00_boat2.png
subject-02,1,21,0.629585981369019,clock,clock,0,0021_edg_s02_0_clock_00_clock7.png
subject-02,1,22,0.55188512802124,cat,cat,0,0022_edg_s02_0_cat_00_cat2.png
subject-02,1,23,0.786616086959839,truck,truck,0,0023_edg_s02_0_truck_00_truck3.png
subject-02,1,24,1.04496788978577,bird,bird,0,0024_edg_s02_0_bird_00_bird9.png
subject-02,1,25,0.697284936904907,bicycle,bicycle,0,0025_edg_s02_0_bicycle_00_bicycle1.png
subject-02,1,26,0.619471073150635,cat,cat,0,0026_edg_s02_0_cat_00_cat1.png
subject-02,1,27,0.595938920974731,boat,boat,0,0027_edg_s02_0_boat_00_boat4.png
subject-02,1,28,1.12996101379395,bear,bear,0,0028_edg_s02_0_bear_00_bear2.png
subject-02,1,29,0.722360849380493,clock,clock,0,0029_edg_s02_0_clock_00_clock4.png
subject-02,1,30,0.79672384262085,dog,dog,0,0030_edg_s02_0_dog_00_dog8.png
subject-02,1,31,0.779082059860229,oven,oven,0,0031_edg_s02_0_oven_00_oven2.png
subject-02,1,32,0.563662052154541,boat,boat,0,0032_edg_s02_0_boat_00_boat3.png
subject-02,1,33,0.699771881103516,oven,oven,0,0033_edg_s02_0_oven_00_oven8.png
subject-02,1,34,0.698365926742554,knife,knife,0,0034_edg_s02_0_knife_00_knife7.png
subject-02,1,35,0.764673948287964,keyboard,keyboard,0,0035_edg_s02_0_keyboard_00_keyboard8.png
subject-02,1,36,0.986840009689331,elephant,elephant,0,0036_edg_s02_0_elephant_00_elephant8.png
subject-02,1,37,0.739387989044189,dog,dog,0,0037_edg_s02_0_dog_00_dog5.png
subject-02,1,38,0.845533847808838,keyboard,keyboard,0,0038_edg_s02_0_keyboard_00_keyboard6.png
subject-02,1,39,0.874123811721802,elephant,elephant,0,0039_edg_s02_0_elephant_00_elephant3.png
subject-02,1,40,0.926846981048584,dog,dog,0,0040_edg_s02_0_dog_00_dog6.png
subject-02,1,41,0.754989862442017,bicycle,bicycle,0,0041_edg_s02_0_bicycle_00_bicycle9.png
subject-02,1,42,0.883265018463135,truck,truck,0,0042_edg_s02_0_truck_00_truck6.png
subject-02,1,43,0.830265998840332,car,car,0,0043_edg_s02_0_car_00_car6.png
subject-02,1,44,1.01255202293396,bicycle,bicycle,0,0044_edg_s02_0_bicycle_00_bicycle5.png
subject-02,1,45,0.670843839645386,dog,dog,0,0045_edg_s02_0_dog_00_dog7.png
subject-02,1,46,0.931581020355225,chair,chair,0,0046_edg_s02_0_chair_00_chair7.png
subject-02,1,47,0.721925020217896,bottle,bottle,0,0047_edg_s02_0_bottle_00_bottle1.png
subject-02,1,48,0.842427968978882,dog,dog,0,0048_edg_s02_0_dog_00_dog10.png
subject-02,1,49,1.04820513725281,dog,dog,0,0049_edg_s02_0_dog_00_dog1.png
subject-02,1,50,0.930466890335083,bear,bear,0,0050_edg_s02_0_bear_00_bear5.png
subject-02,1,51,0.874872922897339,airplane,airplane,0,0051_edg_s02_0_airplane_00_airplane10.png
subject-02,1,52,0.827092170715332,airplane,airplane,0,0052_edg_s02_0_airplane_00_airplane6.png
subject-02,1,53,1.01682806015015,truck,truck,0,0053_edg_s02_0_truck_00_truck5.png
subject-02,1,54,0.761528015136719,chair,chair,0,0054_edg_s02_0_chair_00_chair8.png
subject-02,1,55,0.88967490196228,dog,dog,0,0055_edg_s02_0_dog_00_dog3.png
subject-02,1,56,0.742156982421875,knife,knife,0,0056_edg_s02_0_knife_00_knife10.png
subject-02,1,57,1.07864499092102,bear,bear,0,0057_edg_s02_0_bear_00_bear9.png
subject-02,1,58,0.725126981735229,boat,boat,0,0058_edg_s02_0_boat_00_boat9.png
subject-02,1,59,0.951866865158081,dog,dog,0,0059_edg_s02_0_dog_00_dog9.png
subject-02,1,60,0.889945030212402,truck,truck,0,0060_edg_s02_0_truck_00_truck9.png
subject-02,1,61,0.788482904434204,bear,bear,0,0061_edg_s02_0_bear_00_bear8.png
subject-02,1,62,0.954619169235229,dog,dog,0,0062_edg_s02_0_dog_00_dog2.png
subject-02,1,63,0.956821918487549,chair,chair,0,0063_edg_s02_0_chair_00_chair6.png
subject-02,1,64,1.08504605293274,airplane,airplane,0,0064_edg_s02_0_airplane_00_airplane9.png
subject-02,1,65,0.815371036529541,keyboard,keyboard,0,0065_edg_s02_0_keyboard_00_keyboard9.png
subject-02,1,66,0.7135009765625,bottle,bottle,0,0066_edg_s02_0_bottle_00_bottle2.png
subject-02,1,67,0.649858951568604,bear,bear,0,0067_edg_s02_0_bear_00_bear3.png
subject-02,1,68,0.916346073150635,knife,knife,0,0068_edg_s02_0_knife_00_knife1.png
subject-02,1,69,1.00083422660828,knife,knife,0,0069_edg_s02_0_knife_00_knife5.png
subject-02,1,70,0.905608892440796,car,car,0,0070_edg_s02_0_car_00_car10.png
subject-02,1,71,1.09585499763489,elephant,bear,0,0071_edg_s02_0_bear_00_bear10.png
subject-02,1,72,0.78856897354126,bird,bird,0,0072_edg_s02_0_bird_00_bird1.png
subject-02,1,73,0.816948175430298,truck,oven,0,0073_edg_s02_0_oven_00_oven7.png
subject-02,1,74,1.26925492286682,bird,bird,0,0074_edg_s02_0_bird_00_bird6.png
subject-02,1,75,1.14331007003784,elephant,bird,0,0075_edg_s02_0_bird_00_bird2.png
subject-02,1,76,0.643891096115112,clock,clock,0,0076_edg_s02_0_clock_00_clock5.png
subject-02,1,77,0.656738042831421,bird,bird,0,0077_edg_s02_0_bird_00_bird8.png
subject-02,1,78,0.686954021453857,oven,oven,0,0078_edg_s02_0_oven_00_oven1.png
subject-02,1,79,0.699671030044556,bicycle,bicycle,0,0079_edg_s02_0_bicycle_00_bicycle8.png
subject-02,1,80,0.768110036849976,car,car,0,0080_edg_s02_0_car_00_car8.png
subject-02,1,81,0.912769079208374,bottle,bottle,0,0081_edg_s02_0_bottle_00_bottle6.png
subject-02,1,82,0.687453985214233,bottle,bottle,0,0082_edg_s02_0_bottle_00_bottle5.png
subject-02,1,83,0.771610975265503,elephant,elephant,0,0083_edg_s02_0_elephant_00_elephant7.png
subject-02,1,84,0.82203197479248,bottle,bottle,0,0084_edg_s02_0_bottle_00_bottle9.png
subject-02,1,85,0.812343835830688,elephant,elephant,0,0085_edg_s02_0_elephant_00_elephant10.png
subject-02,1,86,0.743009090423584,elephant,elephant,0,0086_edg_s02_0_elephant_00_elephant1.png
subject-02,1,87,0.757369995117188,truck,car,0,0087_edg_s02_0_car_00_car5.png
subject-02,1,88,0.761850833892822,elephant,elephant,0,0088_edg_s02_0_elephant_00_elephant6.png
subject-02,1,89,0.844420909881592,chair,chair,0,0089_edg_s02_0_chair_00_chair1.png
subject-02,1,90,0.950693130493164,dog,dog,0,0090_edg_s02_0_dog_00_dog4.png
subject-02,1,91,0.732861995697021,bottle,bottle,0,0091_edg_s02_0_bottle_00_bottle8.png
subject-02,1,92,0.793284177780151,boat,boat,0,0092_edg_s02_0_boat_00_boat5.png
subject-02,1,93,1.13747406005859,elephant,bear,0,0093_edg_s02_0_bear_00_bear4.png
subject-02,1,94,0.927542924880981,keyboard,keyboard,0,0094_edg_s02_0_keyboard_00_keyboard4.png
subject-02,1,95,0.656182050704956,cat,cat,0,0095_edg_s02_0_cat_00_cat7.png
subject-02,1,96,0.962369203567505,cat,cat,0,0096_edg_s02_0_cat_00_cat4.png
subject-02,1,97,0.960797071456909,chair,chair,0,0097_edg_s02_0_chair_00_chair2.png
subject-02,1,98,0.689398050308228,bird,bird,0,0098_edg_s02_0_bird_00_bird5.png
subject-02,1,99,0.671850919723511,cat,cat,0,0099_edg_s02_0_cat_00_cat9.png
subject-02,1,100,0.915793895721436,bicycle,bicycle,0,0100_edg_s02_0_bicycle_00_bicycle7.png
subject-02,1,101,0.77633810043335,bird,bird,0,0101_edg_s02_0_bird_00_bird10.png
subject-02,1,102,0.904347896575928,keyboard,keyboard,0,0102_edg_s02_0_keyboard_00_keyboard5.png
subject-02,1,103,1.07886099815369,airplane,airplane,0,0103_edg_s02_0_airplane_00_airplane1.png
subject-02,1,104,0.893208980560303,car,car,0,0104_edg_s02_0_car_00_car7.png
subject-02,1,105,0.899030208587646,airplane,airplane,0,0105_edg_s02_0_airplane_00_airplane8.png
subject-02,1,106,0.727883100509644,bird,bird,0,0106_edg_s02_0_bird_00_bird3.png
subject-02,1,107,0.756247043609619,chair,chair,0,0107_edg_s02_0_chair_00_chair9.png
subject-02,1,108,0.970602035522461,boat,boat,0,0108_edg_s02_0_boat_00_boat1.png
subject-02,1,109,0.7693190574646,airplane,airplane,0,0109_edg_s02_0_airplane_00_airplane5.png
subject-02,1,110,0.867568969726562,elephant,elephant,0,0110_edg_s02_0_elephant_00_elephant2.png
subject-02,1,111,0.712370157241821,clock,clock,0,0111_edg_s02_0_clock_00_clock2.png
subject-02,1,112,0.64057993888855,elephant,elephant,0,0112_edg_s02_0_elephant_00_elephant9.png
subject-02,1,113,0.993349075317383,bear,bear,0,0113_edg_s02_0_bear_00_bear1.png
subject-02,1,114,0.73160719871521,car,car,0,0114_edg_s02_0_car_00_car9.png
subject-02,1,115,0.706178188323975,clock,clock,0,0115_edg_s02_0_clock_00_clock3.png
subject-02,1,116,0.829929113388062,airplane,airplane,0,0116_edg_s02_0_airplane_00_airplane4.png
subject-02,1,117,0.59593391418457,cat,cat,0,0117_edg_s02_0_cat_00_cat8.png
subject-02,1,118,0.686140060424805,bottle,bottle,0,0118_edg_s02_0_bottle_00_bottle4.png
subject-02,1,119,0.854629993438721,boat,keyboard,0,0119_edg_s02_0_keyboard_00_keyboard3.png
subject-02,1,120,0.683367013931274,car,car,0,0120_edg_s02_0_car_00_car3.png
subject-02,1,121,0.973437070846558,knife,knife,0,0121_edg_s02_0_knife_00_knife8.png
subject-02,1,122,0.863845109939575,bottle,bottle,0,0122_edg_s02_0_bottle_00_bottle10.png
subject-02,1,123,1.3462860584259,chair,chair,0,0123_edg_s02_0_chair_00_chair5.png
subject-02,1,124,0.715001106262207,bottle,bottle,0,0124_edg_s02_0_bottle_00_bottle7.png
subject-02,1,125,0.643225908279419,cat,cat,0,0125_edg_s02_0_cat_00_cat10.png
subject-02,1,126,0.665861129760742,bicycle,bicycle,0,0126_edg_s02_0_bicycle_00_bicycle6.png
subject-02,1,127,0.908250093460083,airplane,airplane,0,0127_edg_s02_0_airplane_00_airplane2.png
subject-02,1,128,0.660761117935181,clock,clock,0,0128_edg_s02_0_clock_00_clock9.png
subject-02,1,129,0.959153890609741,bicycle,bicycle,0,0129_edg_s02_0_bicycle_00_bicycle4.png
subject-02,1,130,0.657755851745605,keyboard,keyboard,0,0130_edg_s02_0_keyboard_00_keyboard7.png
subject-02,1,131,0.85751485824585,keyboard,keyboard,0,0131_edg_s02_0_keyboard_00_keyboard2.png
subject-02,1,132,0.833987951278687,chair,oven,0,0132_edg_s02_0_oven_00_oven6.png
subject-02,1,133,0.76269006729126,clock,clock,0,0133_edg_s02_0_clock_00_clock6.png
subject-02,1,134,0.722933053970337,car,car,0,0134_edg_s02_0_car_00_car2.png
subject-02,1,135,0.905362129211426,truck,truck,0,0135_edg_s02_0_truck_00_truck7.png
subject-02,1,136,1.19657802581787,bicycle,bicycle,0,0136_edg_s02_0_bicycle_00_bicycle10.png
subject-02,1,137,0.933340072631836,truck,truck,0,0137_edg_s02_0_truck_00_truck4.png
subject-02,1,138,0.885754823684692,chair,chair,0,0138_edg_s02_0_chair_00_chair3.png
subject-02,1,139,1.03802990913391,oven,oven,0,0139_edg_s02_0_oven_00_oven3.png
