subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,2,1,NaN,chair,knife,1-0-10,0001_eid_dnn_1-0-10_knife_10_n03041632_27134.JPEG
resnet50-train-60-epochs,2,2,NaN,knife,knife,1-0-10,0002_eid_dnn_1-0-10_knife_10_n03041632_16206.JPEG
resnet50-train-60-epochs,2,3,NaN,bottle,knife,1-0-10,0003_eid_dnn_1-0-10_knife_10_n03041632_32774.JPEG
resnet50-train-60-epochs,2,4,NaN,knife,knife,1-0-10,0004_eid_dnn_1-0-10_knife_10_n03041632_8540.JPEG
resnet50-train-60-epochs,2,5,NaN,knife,knife,1-0-10,0005_eid_dnn_1-0-10_knife_10_n03041632_18236.JPEG
resnet50-train-60-epochs,2,6,NaN,knife,knife,1-0-10,0006_eid_dnn_1-0-10_knife_10_n03041632_44133.JPEG
resnet50-train-60-epochs,2,7,NaN,knife,knife,1-0-10,0007_eid_dnn_1-0-10_knife_10_n03041632_17349.JPEG
resnet50-train-60-epochs,2,8,NaN,bottle,knife,1-0-10,0008_eid_dnn_1-0-10_knife_10_n03041632_21477.JPEG
resnet50-train-60-epochs,2,9,NaN,knife,knife,1-0-10,0009_eid_dnn_1-0-10_knife_10_n03041632_14293.JPEG
resnet50-train-60-epochs,2,10,NaN,knife,knife,1-0-10,0010_eid_dnn_1-0-10_knife_10_n03041632_25257.JPEG
resnet50-train-60-epochs,2,11,NaN,keyboard,keyboard,1-0-10,0011_eid_dnn_1-0-10_keyboard_10_n04505470_1076.JPEG
resnet50-train-60-epochs,2,12,NaN,cat,keyboard,1-0-10,0012_eid_dnn_1-0-10_keyboard_10_n03085013_2455.JPEG
resnet50-train-60-epochs,2,13,NaN,keyboard,keyboard,1-0-10,0013_eid_dnn_1-0-10_keyboard_10_n03085013_25568.JPEG
resnet50-train-60-epochs,2,14,NaN,keyboard,keyboard,1-0-10,0014_eid_dnn_1-0-10_keyboard_10_n04505470_4368.JPEG
resnet50-train-60-epochs,2,15,NaN,keyboard,keyboard,1-0-10,0015_eid_dnn_1-0-10_keyboard_10_n03085013_3318.JPEG
resnet50-train-60-epochs,2,16,NaN,keyboard,keyboard,1-0-10,0016_eid_dnn_1-0-10_keyboard_10_n04505470_2141.JPEG
resnet50-train-60-epochs,2,17,NaN,keyboard,keyboard,1-0-10,0017_eid_dnn_1-0-10_keyboard_10_n04505470_10859.JPEG
resnet50-train-60-epochs,2,18,NaN,keyboard,keyboard,1-0-10,0018_eid_dnn_1-0-10_keyboard_10_n03085013_23549.JPEG
resnet50-train-60-epochs,2,19,NaN,keyboard,keyboard,1-0-10,0019_eid_dnn_1-0-10_keyboard_10_n04505470_1691.JPEG
resnet50-train-60-epochs,2,20,NaN,keyboard,keyboard,1-0-10,0020_eid_dnn_1-0-10_keyboard_10_n03085013_18843.JPEG
resnet50-train-60-epochs,2,21,NaN,elephant,elephant,1-0-10,0021_eid_dnn_1-0-10_elephant_10_n02504458_2200.JPEG
resnet50-train-60-epochs,2,22,NaN,elephant,elephant,1-0-10,0022_eid_dnn_1-0-10_elephant_10_n02504013_6933.JPEG
resnet50-train-60-epochs,2,23,NaN,elephant,elephant,1-0-10,0023_eid_dnn_1-0-10_elephant_10_n02504458_6930.JPEG
resnet50-train-60-epochs,2,24,NaN,elephant,elephant,1-0-10,0024_eid_dnn_1-0-10_elephant_10_n02504458_7564.JPEG
resnet50-train-60-epochs,2,25,NaN,elephant,elephant,1-0-10,0025_eid_dnn_1-0-10_elephant_10_n02504013_5887.JPEG
resnet50-train-60-epochs,2,26,NaN,elephant,elephant,1-0-10,0026_eid_dnn_1-0-10_elephant_10_n02504013_17878.JPEG
resnet50-train-60-epochs,2,27,NaN,elephant,elephant,1-0-10,0027_eid_dnn_1-0-10_elephant_10_n02504013_1784.JPEG
resnet50-train-60-epochs,2,28,NaN,elephant,elephant,1-0-10,0028_eid_dnn_1-0-10_elephant_10_n02504458_6314.JPEG
resnet50-train-60-epochs,2,29,NaN,elephant,elephant,1-0-10,0029_eid_dnn_1-0-10_elephant_10_n02504458_494.JPEG
