subj,session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,1.38254284858704,car,car,0,0001_gra_s01_0_car_00_car5.png
subject-01,1,2,0.953118085861206,airplane,airplane,0,0002_gra_s01_0_airplane_00_airplane3.png
subject-01,1,3,0.951463937759399,oven,oven,0,0003_gra_s01_0_oven_00_oven4.png
subject-01,1,4,0.7498619556427,truck,truck,0,0004_gra_s01_0_truck_00_truck9.png
subject-01,1,5,0.885338068008423,airplane,airplane,0,0005_gra_s01_0_airplane_00_airplane9.png
subject-01,1,6,0.904820203781128,chair,chair,0,0006_gra_s01_0_chair_00_chair7.png
subject-01,1,7,1.12542200088501,bird,bird,0,0007_gra_s01_0_bird_00_bird3.png
subject-01,1,8,0.969649076461792,keyboard,keyboard,0,0008_gra_s01_0_keyboard_00_keyboard10.png
subject-01,1,9,0.692218065261841,bird,bird,0,0009_gra_s01_0_bird_00_bird2.png
subject-01,1,10,0.974835157394409,elephant,elephant,0,0010_gra_s01_0_elephant_00_elephant8.png
subject-01,1,11,0.834405899047852,oven,oven,0,0011_gra_s01_0_oven_00_oven1.png
subject-01,1,12,0.916010141372681,oven,oven,0,0012_gra_s01_0_oven_00_oven8.png
subject-01,1,13,0.69053316116333,knife,knife,0,0013_gra_s01_0_knife_00_knife3.png
subject-01,1,14,0.956483840942383,car,car,0,0014_gra_s01_0_car_00_car8.png
subject-01,1,15,1.44678997993469,bottle,bottle,0,0015_gra_s01_0_bottle_00_bottle10.png
subject-01,1,16,1.42788290977478,bird,bird,0,0016_gra_s01_0_bird_00_bird5.png
subject-01,1,17,0.565937995910645,clock,clock,0,0017_gra_s01_0_clock_00_clock8.png
subject-01,1,18,0.694628000259399,car,car,0,0018_gra_s01_0_car_00_car4.png
subject-01,1,19,0.70089316368103,knife,knife,0,0019_gra_s01_0_knife_00_knife2.png
subject-01,1,20,0.761184930801392,keyboard,keyboard,0,0020_gra_s01_0_keyboard_00_keyboard3.png
subject-01,1,21,1.48836898803711,bear,bear,0,0021_gra_s01_0_bear_00_bear7.png
subject-01,1,22,0.810064077377319,dog,dog,0,0022_gra_s01_0_dog_00_dog6.png
subject-01,1,23,0.553992033004761,bicycle,bicycle,0,0023_gra_s01_0_bicycle_00_bicycle8.png
subject-01,1,24,1.29081296920776,elephant,elephant,0,0024_gra_s01_0_elephant_00_elephant5.png
subject-01,1,25,0.951338052749634,clock,clock,0,0025_gra_s01_0_clock_00_clock10.png
subject-01,1,26,0.603895902633667,oven,oven,0,0026_gra_s01_0_oven_00_oven9.png
subject-01,1,27,0.638669013977051,cat,cat,0,0027_gra_s01_0_cat_00_cat6.png
subject-01,1,28,0.804382801055908,knife,boat,0,0028_gra_s01_0_boat_00_boat6.png
subject-01,1,29,0.802860975265503,chair,chair,0,0029_gra_s01_0_chair_00_chair5.png
subject-01,1,30,0.618007898330688,boat,boat,0,0030_gra_s01_0_boat_00_boat8.png
subject-01,1,31,0.599884986877441,oven,oven,0,0031_gra_s01_0_oven_00_oven6.png
subject-01,1,32,0.638427972793579,boat,boat,0,0032_gra_s01_0_boat_00_boat3.png
subject-01,1,33,0.75921106338501,truck,truck,0,0033_gra_s01_0_truck_00_truck2.png
subject-01,1,34,0.619242906570435,elephant,elephant,0,0034_gra_s01_0_elephant_00_elephant1.png
subject-01,1,35,0.825632095336914,chair,chair,0,0035_gra_s01_0_chair_00_chair2.png
subject-01,1,36,1.07036995887756,bicycle,bicycle,0,0036_gra_s01_0_bicycle_00_bicycle3.png
subject-01,1,37,0.914746999740601,dog,dog,0,0037_gra_s01_0_dog_00_dog8.png
subject-01,1,38,1.04276204109192,cat,cat,0,0038_gra_s01_0_cat_00_cat9.png
subject-01,1,39,0.797305107116699,elephant,elephant,0,0039_gra_s01_0_elephant_00_elephant2.png
subject-01,1,40,0.595661878585815,boat,boat,0,0040_gra_s01_0_boat_00_boat7.png
subject-01,1,41,1.06226992607117,chair,chair,0,0041_gra_s01_0_chair_00_chair9.png
subject-01,1,42,0.855272054672241,elephant,elephant,0,0042_gra_s01_0_elephant_00_elephant10.png
subject-01,1,43,0.845278024673462,oven,oven,0,0043_gra_s01_0_oven_00_oven2.png
subject-01,1,44,0.698304891586304,truck,truck,0,0044_gra_s01_0_truck_00_truck5.png
subject-01,1,45,0.926903963088989,cat,cat,0,0045_gra_s01_0_cat_00_cat10.png
subject-01,1,46,0.757492065429688,bottle,bottle,0,0046_gra_s01_0_bottle_00_bottle8.png
subject-01,1,47,0.693683862686157,keyboard,keyboard,0,0047_gra_s01_0_keyboard_00_keyboard4.png
subject-01,1,48,0.784201145172119,knife,knife,0,0048_gra_s01_0_knife_00_knife9.png
subject-01,1,49,0.728582859039307,keyboard,keyboard,0,0049_gra_s01_0_keyboard_00_keyboard5.png
subject-01,1,50,1.47762203216553,bicycle,bicycle,0,0050_gra_s01_0_bicycle_00_bicycle7.png
subject-01,1,51,0.67591404914856,boat,boat,0,0051_gra_s01_0_boat_00_boat10.png
subject-01,1,52,1.0044629573822,dog,dog,0,0052_gra_s01_0_dog_00_dog10.png
subject-01,1,53,1.08163404464722,airplane,airplane,0,0053_gra_s01_0_airplane_00_airplane7.png
subject-01,1,54,0.787915945053101,bird,bird,0,0054_gra_s01_0_bird_00_bird7.png
subject-01,1,55,1.20807099342346,oven,oven,0,0055_gra_s01_0_oven_00_oven10.png
subject-01,1,56,0.763206005096436,oven,oven,0,0056_gra_s01_0_oven_00_oven7.png
subject-01,1,57,0.685713052749634,elephant,elephant,0,0057_gra_s01_0_elephant_00_elephant7.png
subject-01,1,58,0.568028926849365,clock,clock,0,0058_gra_s01_0_clock_00_clock5.png
subject-01,1,59,0.828793048858643,airplane,airplane,0,0059_gra_s01_0_airplane_00_airplane6.png
subject-01,1,60,0.686854124069214,bottle,bottle,0,0060_gra_s01_0_bottle_00_bottle2.png
subject-01,1,61,0.785202026367188,keyboard,keyboard,0,0061_gra_s01_0_keyboard_00_keyboard6.png
subject-01,1,62,0.653652906417847,oven,oven,0,0062_gra_s01_0_oven_00_oven3.png
subject-01,1,63,0.576213121414185,bicycle,bicycle,0,0063_gra_s01_0_bicycle_00_bicycle6.png
subject-01,1,64,1.02612090110779,truck,truck,0,0064_gra_s01_0_truck_00_truck4.png
subject-01,1,65,NaN,na,airplane,0,0065_gra_s01_0_airplane_00_airplane5.png
subject-01,1,66,0.968737125396729,bird,bird,0,0066_gra_s01_0_bird_00_bird9.png
subject-01,1,67,0.783177137374878,keyboard,keyboard,0,0067_gra_s01_0_keyboard_00_keyboard8.png
