subj,session,trial,rt,object_response,category,condition,imagename
resnet50,4,1,NaN,clock,knife,0.4,0001_hp_dnn_0.4_knife_10_n03041632_8618.png
resnet50,4,2,NaN,clock,knife,0.4,0002_hp_dnn_0.4_knife_10_n03041632_51256.png
resnet50,4,3,NaN,clock,knife,0.4,0003_hp_dnn_0.4_knife_10_n03041632_27898.png
resnet50,4,4,NaN,clock,knife,0.4,0004_hp_dnn_0.4_knife_10_n03041632_32177.png
resnet50,4,5,NaN,knife,knife,0.4,0005_hp_dnn_0.4_knife_10_n03041632_23548.png
resnet50,4,6,NaN,knife,knife,0.4,0006_hp_dnn_0.4_knife_10_n03041632_41381.png
resnet50,4,7,NaN,clock,knife,0.4,0007_hp_dnn_0.4_knife_10_n03041632_24264.png
resnet50,4,8,NaN,knife,knife,0.4,0008_hp_dnn_0.4_knife_10_n03041632_45090.png
resnet50,4,9,NaN,clock,knife,0.4,0009_hp_dnn_0.4_knife_10_n03041632_87339.png
resnet50,4,10,NaN,clock,knife,0.4,0010_hp_dnn_0.4_knife_10_n03041632_96361.png
resnet50,4,11,NaN,clock,keyboard,0.4,0011_hp_dnn_0.4_keyboard_10_n03085013_21070.png
resnet50,4,12,NaN,clock,keyboard,0.4,0012_hp_dnn_0.4_keyboard_10_n04505470_5009.png
resnet50,4,13,NaN,clock,keyboard,0.4,0013_hp_dnn_0.4_keyboard_10_n03085013_3098.png
resnet50,4,14,NaN,clock,keyboard,0.4,0014_hp_dnn_0.4_keyboard_10_n03085013_20594.png
resnet50,4,15,NaN,clock,keyboard,0.4,0015_hp_dnn_0.4_keyboard_10_n04505470_3261.png
resnet50,4,16,NaN,bottle,keyboard,0.4,0016_hp_dnn_0.4_keyboard_10_n04505470_8121.png
resnet50,4,17,NaN,clock,keyboard,0.4,0017_hp_dnn_0.4_keyboard_10_n04505470_64.png
resnet50,4,18,NaN,clock,keyboard,0.4,0018_hp_dnn_0.4_keyboard_10_n03085013_19687.png
resnet50,4,19,NaN,chair,keyboard,0.4,0019_hp_dnn_0.4_keyboard_10_n04505470_241.png
resnet50,4,20,NaN,clock,keyboard,0.4,0020_hp_dnn_0.4_keyboard_10_n03085013_23763.png
resnet50,4,21,NaN,clock,elephant,0.4,0021_hp_dnn_0.4_elephant_10_n02504013_6171.png
resnet50,4,22,NaN,clock,elephant,0.4,0022_hp_dnn_0.4_elephant_10_n02504013_5918.png
resnet50,4,23,NaN,clock,elephant,0.4,0023_hp_dnn_0.4_elephant_10_n02504458_574.png
resnet50,4,24,NaN,clock,elephant,0.4,0024_hp_dnn_0.4_elephant_10_n02504458_804.png
resnet50,4,25,NaN,clock,elephant,0.4,0025_hp_dnn_0.4_elephant_10_n02504013_2787.png
resnet50,4,26,NaN,clock,elephant,0.4,0026_hp_dnn_0.4_elephant_10_n02504458_8126.png
resnet50,4,27,NaN,clock,elephant,0.4,0027_hp_dnn_0.4_elephant_10_n02504458_341.png
resnet50,4,28,NaN,clock,elephant,0.4,0028_hp_dnn_0.4_elephant_10_n02504458_5288.png
resnet50,4,29,NaN,clock,elephant,0.4,0029_hp_dnn_0.4_elephant_10_n02504013_6880.png
resnet50,4,30,NaN,clock,elephant,0.4,0030_hp_dnn_0.4_elephant_10_n02504458_4228.png
resnet50,4,31,NaN,clock,bicycle,0.4,0031_hp_dnn_0.4_bicycle_10_n02835271_17168.png
resnet50,4,32,NaN,clock,bicycle,0.4,0032_hp_dnn_0.4_bicycle_10_n03792782_15614.png
resnet50,4,33,NaN,clock,bicycle,0.4,0033_hp_dnn_0.4_bicycle_10_n03792782_67333.png
resnet50,4,34,NaN,clock,bicycle,0.4,0034_hp_dnn_0.4_bicycle_10_n02835271_9507.png
