subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,3,1,NaN,dog,knife,0.4,0001_hp_dnn_0.4_knife_10_n03041632_8618.png
resnet50-train-60-epochs,3,2,NaN,knife,knife,0.4,0002_hp_dnn_0.4_knife_10_n03041632_51256.png
resnet50-train-60-epochs,3,3,NaN,bird,knife,0.4,0003_hp_dnn_0.4_knife_10_n03041632_27898.png
resnet50-train-60-epochs,3,4,NaN,knife,knife,0.4,0004_hp_dnn_0.4_knife_10_n03041632_32177.png
resnet50-train-60-epochs,3,5,NaN,knife,knife,0.4,0005_hp_dnn_0.4_knife_10_n03041632_23548.png
resnet50-train-60-epochs,3,6,NaN,knife,knife,0.4,0006_hp_dnn_0.4_knife_10_n03041632_41381.png
resnet50-train-60-epochs,3,7,NaN,knife,knife,0.4,0007_hp_dnn_0.4_knife_10_n03041632_24264.png
resnet50-train-60-epochs,3,8,NaN,knife,knife,0.4,0008_hp_dnn_0.4_knife_10_n03041632_45090.png
resnet50-train-60-epochs,3,9,NaN,clock,knife,0.4,0009_hp_dnn_0.4_knife_10_n03041632_87339.png
resnet50-train-60-epochs,3,10,NaN,bird,knife,0.4,0010_hp_dnn_0.4_knife_10_n03041632_96361.png
resnet50-train-60-epochs,3,11,NaN,keyboard,keyboard,0.4,0011_hp_dnn_0.4_keyboard_10_n03085013_21070.png
resnet50-train-60-epochs,3,12,NaN,keyboard,keyboard,0.4,0012_hp_dnn_0.4_keyboard_10_n04505470_5009.png
resnet50-train-60-epochs,3,13,NaN,keyboard,keyboard,0.4,0013_hp_dnn_0.4_keyboard_10_n03085013_3098.png
resnet50-train-60-epochs,3,14,NaN,keyboard,keyboard,0.4,0014_hp_dnn_0.4_keyboard_10_n03085013_20594.png
resnet50-train-60-epochs,3,15,NaN,keyboard,keyboard,0.4,0015_hp_dnn_0.4_keyboard_10_n04505470_3261.png
resnet50-train-60-epochs,3,16,NaN,keyboard,keyboard,0.4,0016_hp_dnn_0.4_keyboard_10_n04505470_8121.png
resnet50-train-60-epochs,3,17,NaN,keyboard,keyboard,0.4,0017_hp_dnn_0.4_keyboard_10_n04505470_64.png
resnet50-train-60-epochs,3,18,NaN,clock,keyboard,0.4,0018_hp_dnn_0.4_keyboard_10_n03085013_19687.png
resnet50-train-60-epochs,3,19,NaN,bird,keyboard,0.4,0019_hp_dnn_0.4_keyboard_10_n04505470_241.png
resnet50-train-60-epochs,3,20,NaN,keyboard,keyboard,0.4,0020_hp_dnn_0.4_keyboard_10_n03085013_23763.png
resnet50-train-60-epochs,3,21,NaN,bird,elephant,0.4,0021_hp_dnn_0.4_elephant_10_n02504013_6171.png
resnet50-train-60-epochs,3,22,NaN,dog,elephant,0.4,0022_hp_dnn_0.4_elephant_10_n02504013_5918.png
resnet50-train-60-epochs,3,23,NaN,elephant,elephant,0.4,0023_hp_dnn_0.4_elephant_10_n02504458_574.png
resnet50-train-60-epochs,3,24,NaN,bird,elephant,0.4,0024_hp_dnn_0.4_elephant_10_n02504458_804.png
resnet50-train-60-epochs,3,25,NaN,truck,elephant,0.4,0025_hp_dnn_0.4_elephant_10_n02504013_2787.png
resnet50-train-60-epochs,3,26,NaN,boat,elephant,0.4,0026_hp_dnn_0.4_elephant_10_n02504458_8126.png
resnet50-train-60-epochs,3,27,NaN,keyboard,elephant,0.4,0027_hp_dnn_0.4_elephant_10_n02504458_341.png
resnet50-train-60-epochs,3,28,NaN,elephant,elephant,0.4,0028_hp_dnn_0.4_elephant_10_n02504458_5288.png
resnet50-train-60-epochs,3,29,NaN,dog,elephant,0.4,0029_hp_dnn_0.4_elephant_10_n02504013_6880.png
resnet50-train-60-epochs,3,30,NaN,bird,elephant,0.4,0030_hp_dnn_0.4_elephant_10_n02504458_4228.png
resnet50-train-60-epochs,3,31,NaN,car,bicycle,0.4,0031_hp_dnn_0.4_bicycle_10_n02835271_17168.png
resnet50-train-60-epochs,3,32,NaN,keyboard,bicycle,0.4,0032_hp_dnn_0.4_bicycle_10_n03792782_15614.png
resnet50-train-60-epochs,3,33,NaN,keyboard,bicycle,0.4,0033_hp_dnn_0.4_bicycle_10_n03792782_67333.png
resnet50-train-60-epochs,3,34,NaN,chair,bicycle,0.4,0034_hp_dnn_0.4_bicycle_10_n02835271_9507.png
resnet50-train-60-epochs,3,35,NaN,bicycle,bicycle,0.4,0035_hp_dnn_0.4_bicycle_10_n03792782_6250.png
resnet50-train-60-epochs,3,36,NaN,keyboard,bicycle,0.4,0036_hp_dnn_0.4_bicycle_10_n03792782_15189.png
resnet50-train-60-epochs,3,37,NaN,keyboard,bicycle,0.4,0037_hp_dnn_0.4_bicycle_10_n02835271_6921.png
resnet50-train-60-epochs,3,38,NaN,bicycle,bicycle,0.4,0038_hp_dnn_0.4_bicycle_10_n02835271_12173.png
resnet50-train-60-epochs,3,39,NaN,bicycle,bicycle,0.4,0039_hp_dnn_0.4_bicycle_10_n03792782_17134.png
resnet50-train-60-epochs,3,40,NaN,bottle,bicycle,0.4,0040_hp_dnn_0.4_bicycle_10_n02835271_2013.png
resnet50-train-60-epochs,3,41,NaN,clock,airplane,0.4,0041_hp_dnn_0.4_airplane_10_n02690373_20071.png
resnet50-train-60-epochs,3,42,NaN,clock,airplane,0.4,0042_hp_dnn_0.4_airplane_10_n02690373_8583.png
resnet50-train-60-epochs,3,43,NaN,airplane,airplane,0.4,0043_hp_dnn_0.4_airplane_10_n02690373_5689.png
resnet50-train-60-epochs,3,44,NaN,bottle,airplane,0.4,0044_hp_dnn_0.4_airplane_10_n02690373_1451.png
resnet50-train-60-epochs,3,45,NaN,knife,airplane,0.4,0045_hp_dnn_0.4_airplane_10_n02690373_1975.png
resnet50-train-60-epochs,3,46,NaN,bottle,airplane,0.4,0046_hp_dnn_0.4_airplane_10_n02690373_2010.png
resnet50-train-60-epochs,3,47,NaN,clock,airplane,0.4,0047_hp_dnn_0.4_airplane_10_n02690373_3451.png
resnet50-train-60-epochs,3,48,NaN,bottle,airplane,0.4,0048_hp_dnn_0.4_airplane_10_n02690373_10723.png
resnet50-train-60-epochs,3,49,NaN,bottle,airplane,0.4,0049_hp_dnn_0.4_airplane_10_n02690373_7408.png
resnet50-train-60-epochs,3,50,NaN,clock,airplane,0.4,0050_hp_dnn_0.4_airplane_10_n02690373_5487.png
resnet50-train-60-epochs,3,51,NaN,car,clock,0.4,0051_hp_dnn_0.4_clock_10_n04548280_7069.png
resnet50-train-60-epochs,3,52,NaN,dog,clock,0.4,0052_hp_dnn_0.4_clock_10_n02708093_1356.png
resnet50-train-60-epochs,3,53,NaN,clock,clock,0.4,0053_hp_dnn_0.4_clock_10_n04548280_4862.png
resnet50-train-60-epochs,3,54,NaN,clock,clock,0.4,0054_hp_dnn_0.4_clock_10_n04548280_8429.png
resnet50-train-60-epochs,3,55,NaN,keyboard,clock,0.4,0055_hp_dnn_0.4_clock_10_n03196217_85.png
resnet50-train-60-epochs,3,56,NaN,clock,clock,0.4,0056_hp_dnn_0.4_clock_10_n04548280_5072.png
resnet50-train-60-epochs,3,57,NaN,keyboard,clock,0.4,0057_hp_dnn_0.4_clock_10_n04548280_2712.png
resnet50-train-60-epochs,3,58,NaN,car,clock,0.4,0058_hp_dnn_0.4_clock_10_n02708093_4833.png
resnet50-train-60-epochs,3,59,NaN,clock,clock,0.4,0059_hp_dnn_0.4_clock_10_n04548280_1108.png
resnet50-train-60-epochs,3,60,NaN,clock,clock,0.4,0060_hp_dnn_0.4_clock_10_n04548280_1619.png
resnet50-train-60-epochs,3,61,NaN,knife,oven,0.4,0061_hp_dnn_0.4_oven_10_n04111531_8353.png
resnet50-train-60-epochs,3,62,NaN,truck,oven,0.4,0062_hp_dnn_0.4_oven_10_n04111531_519.png
resnet50-train-60-epochs,3,63,NaN,bird,oven,0.4,0063_hp_dnn_0.4_oven_10_n04111531_4685.png
resnet50-train-60-epochs,3,64,NaN,keyboard,oven,0.4,0064_hp_dnn_0.4_oven_10_n04111531_8441.png
resnet50-train-60-epochs,3,65,NaN,keyboard,oven,0.4,0065_hp_dnn_0.4_oven_10_n04111531_1567.png
resnet50-train-60-epochs,3,66,NaN,knife,oven,0.4,0066_hp_dnn_0.4_oven_10_n04111531_10681.png
resnet50-train-60-epochs,3,67,NaN,keyboard,oven,0.4,0067_hp_dnn_0.4_oven_10_n04111531_1828.png
resnet50-train-60-epochs,3,68,NaN,keyboard,oven,0.4,0068_hp_dnn_0.4_oven_10_n04111531_663.png
