subj,session,trial,rt,object_response,category,condition,imagename
resnet50,6,1,NaN,knife,knife,0,0001_lp_dnn_0_knife_10_n03041632_8618.png
resnet50,6,2,NaN,knife,knife,0,0002_lp_dnn_0_knife_10_n03041632_51256.png
resnet50,6,3,NaN,knife,knife,0,0003_lp_dnn_0_knife_10_n03041632_27898.png
resnet50,6,4,NaN,knife,knife,0,0004_lp_dnn_0_knife_10_n03041632_32177.png
resnet50,6,5,NaN,knife,knife,0,0005_lp_dnn_0_knife_10_n03041632_23548.png
resnet50,6,6,NaN,knife,knife,0,0006_lp_dnn_0_knife_10_n03041632_41381.png
resnet50,6,7,NaN,knife,knife,0,0007_lp_dnn_0_knife_10_n03041632_24264.png
resnet50,6,8,NaN,knife,knife,0,0008_lp_dnn_0_knife_10_n03041632_45090.png
resnet50,6,9,NaN,knife,knife,0,0009_lp_dnn_0_knife_10_n03041632_87339.png
resnet50,6,10,NaN,chair,knife,0,0010_lp_dnn_0_knife_10_n03041632_96361.png
resnet50,6,11,NaN,keyboard,keyboard,0,0011_lp_dnn_0_keyboard_10_n03085013_21070.png
resnet50,6,12,NaN,keyboard,keyboard,0,0012_lp_dnn_0_keyboard_10_n04505470_5009.png
resnet50,6,13,NaN,keyboard,keyboard,0,0013_lp_dnn_0_keyboard_10_n03085013_3098.png
resnet50,6,14,NaN,keyboard,keyboard,0,0014_lp_dnn_0_keyboard_10_n03085013_20594.png
resnet50,6,15,NaN,keyboard,keyboard,0,0015_lp_dnn_0_keyboard_10_n04505470_3261.png
resnet50,6,16,NaN,keyboard,keyboard,0,0016_lp_dnn_0_keyboard_10_n04505470_8121.png
resnet50,6,17,NaN,keyboard,keyboard,0,0017_lp_dnn_0_keyboard_10_n04505470_64.png
resnet50,6,18,NaN,keyboard,keyboard,0,0018_lp_dnn_0_keyboard_10_n03085013_19687.png
resnet50,6,19,NaN,keyboard,keyboard,0,0019_lp_dnn_0_keyboard_10_n04505470_241.png
resnet50,6,20,NaN,chair,keyboard,0,0020_lp_dnn_0_keyboard_10_n03085013_23763.png
resnet50,6,21,NaN,elephant,elephant,0,0021_lp_dnn_0_elephant_10_n02504013_6171.png
resnet50,6,22,NaN,elephant,elephant,0,0022_lp_dnn_0_elephant_10_n02504013_5918.png
resnet50,6,23,NaN,elephant,elephant,0,0023_lp_dnn_0_elephant_10_n02504458_574.png
resnet50,6,24,NaN,elephant,elephant,0,0024_lp_dnn_0_elephant_10_n02504458_804.png
resnet50,6,25,NaN,elephant,elephant,0,0025_lp_dnn_0_elephant_10_n02504013_2787.png
resnet50,6,26,NaN,elephant,elephant,0,0026_lp_dnn_0_elephant_10_n02504458_8126.png
resnet50,6,27,NaN,elephant,elephant,0,0027_lp_dnn_0_elephant_10_n02504458_341.png
resnet50,6,28,NaN,elephant,elephant,0,0028_lp_dnn_0_elephant_10_n02504458_5288.png
resnet50,6,29,NaN,elephant,elephant,0,0029_lp_dnn_0_elephant_10_n02504013_6880.png
resnet50,6,30,NaN,elephant,elephant,0,0030_lp_dnn_0_elephant_10_n02504458_4228.png
resnet50,6,31,NaN,bicycle,bicycle,0,0031_lp_dnn_0_bicycle_10_n02835271_17168.png
resnet50,6,32,NaN,bicycle,bicycle,0,0032_lp_dnn_0_bicycle_10_n03792782_15614.png
resnet50,6,33,NaN,bicycle,bicycle,0,0033_lp_dnn_0_bicycle_10_n03792782_67333.png
resnet50,6,34,NaN,bicycle,bicycle,0,0034_lp_dnn_0_bicycle_10_n02835271_9507.png
resnet50,6,35,NaN,bicycle,bicycle,0,0035_lp_dnn_0_bicycle_10_n03792782_6250.png
resnet50,6,36,NaN,bicycle,bicycle,0,0036_lp_dnn_0_bicycle_10_n03792782_15189.png
resnet50,6,37,NaN,chair,bicycle,0,0037_lp_dnn_0_bicycle_10_n02835271_6921.png
resnet50,6,38,NaN,bicycle,bicycle,0,0038_lp_dnn_0_bicycle_10_n02835271_12173.png
resnet50,6,39,NaN,bicycle,bicycle,0,0039_lp_dnn_0_bicycle_10_n03792782_17134.png
resnet50,6,40,NaN,bicycle,bicycle,0,0040_lp_dnn_0_bicycle_10_n02835271_2013.png
resnet50,6,41,NaN,airplane,airplane,0,0041_lp_dnn_0_airplane_10_n02690373_20071.png
resnet50,6,42,NaN,airplane,airplane,0,0042_lp_dnn_0_airplane_10_n02690373_8583.png
resnet50,6,43,NaN,airplane,airplane,0,0043_lp_dnn_0_airplane_10_n02690373_5689.png
resnet50,6,44,NaN,airplane,airplane,0,0044_lp_dnn_0_airplane_10_n02690373_1451.png
resnet50,6,45,NaN,airplane,airplane,0,0045_lp_dnn_0_airplane_10_n02690373_1975.png
resnet50,6,46,NaN,airplane,airplane,0,0046_lp_dnn_0_airplane_10_n02690373_2010.png
resnet50,6,47,NaN,airplane,airplane,0,0047_lp_dnn_0_airplane_10_n02690373_3451.png
resnet50,6,48,NaN,airplane,airplane,0,0048_lp_dnn_0_airplane_10_n02690373_10723.png
resnet50,6,49,NaN,airplane,airplane,0,0049_lp_dnn_0_airplane_10_n02690373_7408.png
resnet50,6,50,NaN,airplane,airplane,0,0050_lp_dnn_0_airplane_10_n02690373_5487.png
resnet50,6,51,NaN,clock,clock,0,0051_lp_dnn_0_clock_10_n04548280_7069.png
resnet50,6,52,NaN,clock,clock,0,0052_lp_dnn_0_clock_10_n02708093_1356.png
resnet50,6,53,NaN,clock,clock,0,0053_lp_dnn_0_clock_10_n04548280_4862.png
resnet50,6,54,NaN,chair,clock,0,0054_lp_dnn_0_clock_10_n04548280_8429.png
resnet50,6,55,NaN,clock,clock,0,0055_lp_dnn_0_clock_10_n03196217_85.png
resnet50,6,56,NaN,clock,clock,0,0056_lp_dnn_0_clock_10_n04548280_5072.png
resnet50,6,57,NaN,clock,clock,0,0057_lp_dnn_0_clock_10_n04548280_2712.png
resnet50,6,58,NaN,clock,clock,0,0058_lp_dnn_0_clock_10_n02708093_4833.png
resnet50,6,59,NaN,clock,clock,0,0059_lp_dnn_0_clock_10_n04548280_1108.png
resnet50,6,60,NaN,clock,clock,0,0060_lp_dnn_0_clock_10_n04548280_1619.png
resnet50,6,61,NaN,oven,oven,0,0061_lp_dnn_0_oven_10_n04111531_8353.png
resnet50,6,62,NaN,oven,oven,0,0062_lp_dnn_0_oven_10_n04111531_519.png
resnet50,6,63,NaN,oven,oven,0,0063_lp_dnn_0_oven_10_n04111531_4685.png
resnet50,6,64,NaN,oven,oven,0,0064_lp_dnn_0_oven_10_n04111531_8441.png
resnet50,6,65,NaN,oven,oven,0,0065_lp_dnn_0_oven_10_n04111531_1567.png
resnet50,6,66,NaN,oven,oven,0,0066_lp_dnn_0_oven_10_n04111531_10681.png
resnet50,6,67,NaN,oven,oven,0,0067_lp_dnn_0_oven_10_n04111531_1828.png
resnet50,6,68,NaN,oven,oven,0,0068_lp_dnn_0_oven_10_n04111531_663.png
resnet50,6,69,NaN,oven,oven,0,0069_lp_dnn_0_oven_10_n04111531_5102.png
resnet50,6,70,NaN,oven,oven,0,0070_lp_dnn_0_oven_10_n04111531_1295.png
resnet50,6,71,NaN,chair,chair,0,0071_lp_dnn_0_chair_10_n03376595_697.png
resnet50,6,72,NaN,chair,chair,0,0072_lp_dnn_0_chair_10_n03376595_849.png
resnet50,6,73,NaN,chair,chair,0,0073_lp_dnn_0_chair_10_n04429376_23092.png
resnet50,6,74,NaN,chair,chair,0,0074_lp_dnn_0_chair_10_n03376595_16197.png
resnet50,6,75,NaN,chair,chair,0,0075_lp_dnn_0_chair_10_n02791124_2058.png
resnet50,6,76,NaN,chair,chair,0,0076_lp_dnn_0_chair_10_n04099969_23387.png
resnet50,6,77,NaN,chair,chair,0,0077_lp_dnn_0_chair_10_n02791124_7602.png
resnet50,6,78,NaN,chair,chair,0,0078_lp_dnn_0_chair_10_n02791124_7174.png
resnet50,6,79,NaN,chair,chair,0,0079_lp_dnn_0_chair_10_n03376595_7755.png
resnet50,6,80,NaN,chair,chair,0,0080_lp_dnn_0_chair_10_n04099969_6360.png
resnet50,6,81,NaN,bear,bear,0,0081_lp_dnn_0_bear_10_n02134084_5756.png
resnet50,6,82,NaN,bear,bear,0,0082_lp_dnn_0_bear_10_n02133161_14729.png
resnet50,6,83,NaN,bear,bear,0,0083_lp_dnn_0_bear_10_n02133161_1059.png
resnet50,6,84,NaN,bear,bear,0,0084_lp_dnn_0_bear_10_n02134418_5962.png
resnet50,6,85,NaN,bear,bear,0,0085_lp_dnn_0_bear_10_n02132136_4883.png
resnet50,6,86,NaN,bear,bear,0,0086_lp_dnn_0_bear_10_n02134084_7288.png
resnet50,6,87,NaN,bear,bear,0,0087_lp_dnn_0_bear_10_n02132136_6431.png
resnet50,6,88,NaN,bear,bear,0,0088_lp_dnn_0_bear_10_n02133161_5066.png
resnet50,6,89,NaN,bear,bear,0,0089_lp_dnn_0_bear_10_n02132136_13864.png
resnet50,6,90,NaN,bear,bear,0,0090_lp_dnn_0_bear_10_n02134084_7521.png
resnet50,6,91,NaN,boat,boat,0,0091_lp_dnn_0_boat_10_n02951358_10138.png
resnet50,6,92,NaN,boat,boat,0,0092_lp_dnn_0_boat_10_n02951358_20000.png
resnet50,6,93,NaN,boat,boat,0,0093_lp_dnn_0_boat_10_n03662601_23315.png
resnet50,6,94,NaN,boat,boat,0,0094_lp_dnn_0_boat_10_n04273569_14243.png
resnet50,6,95,NaN,boat,boat,0,0095_lp_dnn_0_boat_10_n04612504_15844.png
resnet50,6,96,NaN,boat,boat,0,0096_lp_dnn_0_boat_10_n04273569_1339.png
resnet50,6,97,NaN,boat,boat,0,0097_lp_dnn_0_boat_10_n02951358_13090.png
resnet50,6,98,NaN,boat,boat,0,0098_lp_dnn_0_boat_10_n03344393_5859.png
