subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,1,1,NaN,knife,knife,0,0001_lp_dnn_0_knife_10_n03041632_8618.png
resnet50-train-60-epochs,1,2,NaN,cat,knife,0,0002_lp_dnn_0_knife_10_n03041632_51256.png
resnet50-train-60-epochs,1,3,NaN,bird,knife,0,0003_lp_dnn_0_knife_10_n03041632_27898.png
resnet50-train-60-epochs,1,4,NaN,knife,knife,0,0004_lp_dnn_0_knife_10_n03041632_32177.png
resnet50-train-60-epochs,1,5,NaN,knife,knife,0,0005_lp_dnn_0_knife_10_n03041632_23548.png
resnet50-train-60-epochs,1,6,NaN,knife,knife,0,0006_lp_dnn_0_knife_10_n03041632_41381.png
resnet50-train-60-epochs,1,7,NaN,truck,knife,0,0007_lp_dnn_0_knife_10_n03041632_24264.png
resnet50-train-60-epochs,1,8,NaN,knife,knife,0,0008_lp_dnn_0_knife_10_n03041632_45090.png
resnet50-train-60-epochs,1,9,NaN,bottle,knife,0,0009_lp_dnn_0_knife_10_n03041632_87339.png
resnet50-train-60-epochs,1,10,NaN,oven,knife,0,0010_lp_dnn_0_knife_10_n03041632_96361.png
resnet50-train-60-epochs,1,11,NaN,keyboard,keyboard,0,0011_lp_dnn_0_keyboard_10_n03085013_21070.png
resnet50-train-60-epochs,1,12,NaN,keyboard,keyboard,0,0012_lp_dnn_0_keyboard_10_n04505470_5009.png
resnet50-train-60-epochs,1,13,NaN,keyboard,keyboard,0,0013_lp_dnn_0_keyboard_10_n03085013_3098.png
resnet50-train-60-epochs,1,14,NaN,keyboard,keyboard,0,0014_lp_dnn_0_keyboard_10_n03085013_20594.png
resnet50-train-60-epochs,1,15,NaN,keyboard,keyboard,0,0015_lp_dnn_0_keyboard_10_n04505470_3261.png
resnet50-train-60-epochs,1,16,NaN,keyboard,keyboard,0,0016_lp_dnn_0_keyboard_10_n04505470_8121.png
resnet50-train-60-epochs,1,17,NaN,keyboard,keyboard,0,0017_lp_dnn_0_keyboard_10_n04505470_64.png
resnet50-train-60-epochs,1,18,NaN,keyboard,keyboard,0,0018_lp_dnn_0_keyboard_10_n03085013_19687.png
resnet50-train-60-epochs,1,19,NaN,keyboard,keyboard,0,0019_lp_dnn_0_keyboard_10_n04505470_241.png
resnet50-train-60-epochs,1,20,NaN,keyboard,keyboard,0,0020_lp_dnn_0_keyboard_10_n03085013_23763.png
resnet50-train-60-epochs,1,21,NaN,elephant,elephant,0,0021_lp_dnn_0_elephant_10_n02504013_6171.png
resnet50-train-60-epochs,1,22,NaN,elephant,elephant,0,0022_lp_dnn_0_elephant_10_n02504013_5918.png
resnet50-train-60-epochs,1,23,NaN,elephant,elephant,0,0023_lp_dnn_0_elephant_10_n02504458_574.png
resnet50-train-60-epochs,1,24,NaN,elephant,elephant,0,0024_lp_dnn_0_elephant_10_n02504458_804.png
resnet50-train-60-epochs,1,25,NaN,elephant,elephant,0,0025_lp_dnn_0_elephant_10_n02504013_2787.png
resnet50-train-60-epochs,1,26,NaN,elephant,elephant,0,0026_lp_dnn_0_elephant_10_n02504458_8126.png
resnet50-train-60-epochs,1,27,NaN,elephant,elephant,0,0027_lp_dnn_0_elephant_10_n02504458_341.png
resnet50-train-60-epochs,1,28,NaN,elephant,elephant,0,0028_lp_dnn_0_elephant_10_n02504458_5288.png
resnet50-train-60-epochs,1,29,NaN,elephant,elephant,0,0029_lp_dnn_0_elephant_10_n02504013_6880.png
resnet50-train-60-epochs,1,30,NaN,elephant,elephant,0,0030_lp_dnn_0_elephant_10_n02504458_4228.png
resnet50-train-60-epochs,1,31,NaN,bicycle,bicycle,0,0031_lp_dnn_0_bicycle_10_n02835271_17168.png
resnet50-train-60-epochs,1,32,NaN,bicycle,bicycle,0,0032_lp_dnn_0_bicycle_10_n03792782_15614.png
resnet50-train-60-epochs,1,33,NaN,oven,bicycle,0,0033_lp_dnn_0_bicycle_10_n03792782_67333.png
resnet50-train-60-epochs,1,34,NaN,bicycle,bicycle,0,0034_lp_dnn_0_bicycle_10_n02835271_9507.png
resnet50-train-60-epochs,1,35,NaN,bicycle,bicycle,0,0035_lp_dnn_0_bicycle_10_n03792782_6250.png
resnet50-train-60-epochs,1,36,NaN,cat,bicycle,0,0036_lp_dnn_0_bicycle_10_n03792782_15189.png
resnet50-train-60-epochs,1,37,NaN,chair,bicycle,0,0037_lp_dnn_0_bicycle_10_n02835271_6921.png
resnet50-train-60-epochs,1,38,NaN,bicycle,bicycle,0,0038_lp_dnn_0_bicycle_10_n02835271_12173.png
resnet50-train-60-epochs,1,39,NaN,bicycle,bicycle,0,0039_lp_dnn_0_bicycle_10_n03792782_17134.png
resnet50-train-60-epochs,1,40,NaN,bicycle,bicycle,0,0040_lp_dnn_0_bicycle_10_n02835271_2013.png
resnet50-train-60-epochs,1,41,NaN,airplane,airplane,0,0041_lp_dnn_0_airplane_10_n02690373_20071.png
