subj,session,trial,rt,object_response,category,condition,imagename
resnet50,6,1,NaN,chair,knife,0.00,0001_nse_dnn_0.00_knife_10_n03041632_8618.JPEG
resnet50,6,2,NaN,knife,knife,0.00,0002_nse_dnn_0.00_knife_10_n03041632_51256.JPEG
resnet50,6,3,NaN,bicycle,knife,0.00,0003_nse_dnn_0.00_knife_10_n03041632_27898.JPEG
resnet50,6,4,NaN,knife,knife,0.00,0004_nse_dnn_0.00_knife_10_n03041632_32177.JPEG
resnet50,6,5,NaN,knife,knife,0.00,0005_nse_dnn_0.00_knife_10_n03041632_23548.JPEG
resnet50,6,6,NaN,knife,knife,0.00,0006_nse_dnn_0.00_knife_10_n03041632_41381.JPEG
resnet50,6,7,NaN,knife,knife,0.00,0007_nse_dnn_0.00_knife_10_n03041632_24264.JPEG
resnet50,6,8,NaN,knife,knife,0.00,0008_nse_dnn_0.00_knife_10_n03041632_45090.JPEG
resnet50,6,9,NaN,bottle,knife,0.00,0009_nse_dnn_0.00_knife_10_n03041632_87339.JPEG
resnet50,6,10,NaN,chair,knife,0.00,0010_nse_dnn_0.00_knife_10_n03041632_96361.JPEG
resnet50,6,11,NaN,keyboard,keyboard,0.00,0011_nse_dnn_0.00_keyboard_10_n03085013_29396.JPEG
resnet50,6,12,NaN,keyboard,keyboard,0.00,0012_nse_dnn_0.00_keyboard_10_n04505470_1719.JPEG
resnet50,6,13,NaN,keyboard,keyboard,0.00,0013_nse_dnn_0.00_keyboard_10_n04505470_10668.JPEG
resnet50,6,14,NaN,keyboard,keyboard,0.00,0014_nse_dnn_0.00_keyboard_10_n03085013_20267.JPEG
resnet50,6,15,NaN,keyboard,keyboard,0.00,0015_nse_dnn_0.00_keyboard_10_n03085013_23706.JPEG
resnet50,6,16,NaN,keyboard,keyboard,0.00,0016_nse_dnn_0.00_keyboard_10_n03085013_7440.JPEG
resnet50,6,17,NaN,keyboard,keyboard,0.00,0017_nse_dnn_0.00_keyboard_10_n03085013_7511.JPEG
resnet50,6,18,NaN,keyboard,keyboard,0.00,0018_nse_dnn_0.00_keyboard_10_n04505470_5161.JPEG
resnet50,6,19,NaN,keyboard,keyboard,0.00,0019_nse_dnn_0.00_keyboard_10_n04505470_1393.JPEG
resnet50,6,20,NaN,bottle,keyboard,0.00,0020_nse_dnn_0.00_keyboard_10_n04505470_4535.JPEG
resnet50,6,21,NaN,elephant,elephant,0.00,0021_nse_dnn_0.00_elephant_10_n02504013_579.JPEG
resnet50,6,22,NaN,elephant,elephant,0.00,0022_nse_dnn_0.00_elephant_10_n02504013_23660.JPEG
resnet50,6,23,NaN,elephant,elephant,0.00,0023_nse_dnn_0.00_elephant_10_n02504458_9876.JPEG
resnet50,6,24,NaN,elephant,elephant,0.00,0024_nse_dnn_0.00_elephant_10_n02504013_2672.JPEG
resnet50,6,25,NaN,elephant,elephant,0.00,0025_nse_dnn_0.00_elephant_10_n02504458_7331.JPEG
resnet50,6,26,NaN,boat,elephant,0.00,0026_nse_dnn_0.00_elephant_10_n02504013_2498.JPEG
resnet50,6,27,NaN,elephant,elephant,0.00,0027_nse_dnn_0.00_elephant_10_n02504013_993.JPEG
resnet50,6,28,NaN,elephant,elephant,0.00,0028_nse_dnn_0.00_elephant_10_n02504013_6933.JPEG
resnet50,6,29,NaN,elephant,elephant,0.00,0029_nse_dnn_0.00_elephant_10_n02504013_7391.JPEG
resnet50,6,30,NaN,elephant,elephant,0.00,0030_nse_dnn_0.00_elephant_10_n02504458_7973.JPEG
resnet50,6,31,NaN,bicycle,bicycle,0.00,0031_nse_dnn_0.00_bicycle_10_n03792782_16844.JPEG
resnet50,6,32,NaN,bicycle,bicycle,0.00,0032_nse_dnn_0.00_bicycle_10_n03792782_16383.JPEG
resnet50,6,33,NaN,bicycle,bicycle,0.00,0033_nse_dnn_0.00_bicycle_10_n03792782_5959.JPEG
resnet50,6,34,NaN,bicycle,bicycle,0.00,0034_nse_dnn_0.00_bicycle_10_n03792782_68259.JPEG
resnet50,6,35,NaN,bicycle,bicycle,0.00,0035_nse_dnn_0.00_bicycle_10_n03792782_3705.JPEG
resnet50,6,36,NaN,bicycle,bicycle,0.00,0036_nse_dnn_0.00_bicycle_10_n02835271_17950.JPEG
resnet50,6,37,NaN,bicycle,bicycle,0.00,0037_nse_dnn_0.00_bicycle_10_n02835271_10832.JPEG
resnet50,6,38,NaN,bicycle,bicycle,0.00,0038_nse_dnn_0.00_bicycle_10_n03792782_104.JPEG
resnet50,6,39,NaN,bicycle,bicycle,0.00,0039_nse_dnn_0.00_bicycle_10_n02835271_17649.JPEG
resnet50,6,40,NaN,bicycle,bicycle,0.00,0040_nse_dnn_0.00_bicycle_10_n03792782_14216.JPEG
resnet50,6,41,NaN,airplane,airplane,0.00,0041_nse_dnn_0.00_airplane_10_n02690373_9529.JPEG
resnet50,6,42,NaN,airplane,airplane,0.00,0042_nse_dnn_0.00_airplane_10_n02690373_9622.JPEG
resnet50,6,43,NaN,airplane,airplane,0.00,0043_nse_dnn_0.00_airplane_10_n02690373_10354.JPEG
resnet50,6,44,NaN,airplane,airplane,0.00,0044_nse_dnn_0.00_airplane_10_n02690373_389.JPEG
resnet50,6,45,NaN,airplane,airplane,0.00,0045_nse_dnn_0.00_airplane_10_n02690373_1933.JPEG
resnet50,6,46,NaN,airplane,airplane,0.00,0046_nse_dnn_0.00_airplane_10_n02690373_9759.JPEG
resnet50,6,47,NaN,airplane,airplane,0.00,0047_nse_dnn_0.00_airplane_10_n02690373_17764.JPEG
resnet50,6,48,NaN,airplane,airplane,0.00,0048_nse_dnn_0.00_airplane_10_n02690373_9828.JPEG
resnet50,6,49,NaN,airplane,airplane,0.00,0049_nse_dnn_0.00_airplane_10_n02690373_8704.JPEG
