subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,4,1,NaN,knife,knife,0.00,0001_nse_dnn_0.00_knife_10_n03041632_8618.JPEG
resnet50-train-60-epochs,4,2,NaN,bird,knife,0.00,0002_nse_dnn_0.00_knife_10_n03041632_51256.JPEG
resnet50-train-60-epochs,4,3,NaN,knife,knife,0.00,0003_nse_dnn_0.00_knife_10_n03041632_27898.JPEG
resnet50-train-60-epochs,4,4,NaN,bottle,knife,0.00,0004_nse_dnn_0.00_knife_10_n03041632_32177.JPEG
resnet50-train-60-epochs,4,5,NaN,knife,knife,0.00,0005_nse_dnn_0.00_knife_10_n03041632_23548.JPEG
resnet50-train-60-epochs,4,6,NaN,knife,knife,0.00,0006_nse_dnn_0.00_knife_10_n03041632_41381.JPEG
resnet50-train-60-epochs,4,7,NaN,truck,knife,0.00,0007_nse_dnn_0.00_knife_10_n03041632_24264.JPEG
resnet50-train-60-epochs,4,8,NaN,knife,knife,0.00,0008_nse_dnn_0.00_knife_10_n03041632_45090.JPEG
resnet50-train-60-epochs,4,9,NaN,bottle,knife,0.00,0009_nse_dnn_0.00_knife_10_n03041632_87339.JPEG
resnet50-train-60-epochs,4,10,NaN,oven,knife,0.00,0010_nse_dnn_0.00_knife_10_n03041632_96361.JPEG
resnet50-train-60-epochs,4,11,NaN,clock,keyboard,0.00,0011_nse_dnn_0.00_keyboard_10_n03085013_29396.JPEG
resnet50-train-60-epochs,4,12,NaN,keyboard,keyboard,0.00,0012_nse_dnn_0.00_keyboard_10_n04505470_1719.JPEG
resnet50-train-60-epochs,4,13,NaN,keyboard,keyboard,0.00,0013_nse_dnn_0.00_keyboard_10_n04505470_10668.JPEG
resnet50-train-60-epochs,4,14,NaN,keyboard,keyboard,0.00,0014_nse_dnn_0.00_keyboard_10_n03085013_20267.JPEG
resnet50-train-60-epochs,4,15,NaN,keyboard,keyboard,0.00,0015_nse_dnn_0.00_keyboard_10_n03085013_23706.JPEG
resnet50-train-60-epochs,4,16,NaN,keyboard,keyboard,0.00,0016_nse_dnn_0.00_keyboard_10_n03085013_7440.JPEG
resnet50-train-60-epochs,4,17,NaN,keyboard,keyboard,0.00,0017_nse_dnn_0.00_keyboard_10_n03085013_7511.JPEG
resnet50-train-60-epochs,4,18,NaN,keyboard,keyboard,0.00,0018_nse_dnn_0.00_keyboard_10_n04505470_5161.JPEG
resnet50-train-60-epochs,4,19,NaN,keyboard,keyboard,0.00,0019_nse_dnn_0.00_keyboard_10_n04505470_1393.JPEG
resnet50-train-60-epochs,4,20,NaN,keyboard,keyboard,0.00,0020_nse_dnn_0.00_keyboard_10_n04505470_4535.JPEG
resnet50-train-60-epochs,4,21,NaN,elephant,elephant,0.00,0021_nse_dnn_0.00_elephant_10_n02504013_579.JPEG
resnet50-train-60-epochs,4,22,NaN,elephant,elephant,0.00,0022_nse_dnn_0.00_elephant_10_n02504013_23660.JPEG
resnet50-train-60-epochs,4,23,NaN,elephant,elephant,0.00,0023_nse_dnn_0.00_elephant_10_n02504458_9876.JPEG
resnet50-train-60-epochs,4,24,NaN,elephant,elephant,0.00,0024_nse_dnn_0.00_elephant_10_n02504013_2672.JPEG
resnet50-train-60-epochs,4,25,NaN,elephant,elephant,0.00,0025_nse_dnn_0.00_elephant_10_n02504458_7331.JPEG
resnet50-train-60-epochs,4,26,NaN,boat,elephant,0.00,0026_nse_dnn_0.00_elephant_10_n02504013_2498.JPEG
resnet50-train-60-epochs,4,27,NaN,dog,elephant,0.00,0027_nse_dnn_0.00_elephant_10_n02504013_993.JPEG
resnet50-train-60-epochs,4,28,NaN,elephant,elephant,0.00,0028_nse_dnn_0.00_elephant_10_n02504013_6933.JPEG
resnet50-train-60-epochs,4,29,NaN,elephant,elephant,0.00,0029_nse_dnn_0.00_elephant_10_n02504013_7391.JPEG
resnet50-train-60-epochs,4,30,NaN,elephant,elephant,0.00,0030_nse_dnn_0.00_elephant_10_n02504458_7973.JPEG
resnet50-train-60-epochs,4,31,NaN,bicycle,bicycle,0.00,0031_nse_dnn_0.00_bicycle_10_n03792782_16844.JPEG
resnet50-train-60-epochs,4,32,NaN,bicycle,bicycle,0.00,0032_nse_dnn_0.00_bicycle_10_n03792782_16383.JPEG
resnet50-train-60-epochs,4,33,NaN,bicycle,bicycle,0.00,0033_nse_dnn_0.00_bicycle_10_n03792782_5959.JPEG
resnet50-train-60-epochs,4,34,NaN,bicycle,bicycle,0.00,0034_nse_dnn_0.00_bicycle_10_n03792782_68259.JPEG
resnet50-train-60-epochs,4,35,NaN,bicycle,bicycle,0.00,0035_nse_dnn_0.00_bicycle_10_n03792782_3705.JPEG
resnet50-train-60-epochs,4,36,NaN,bicycle,bicycle,0.00,0036_nse_dnn_0.00_bicycle_10_n02835271_17950.JPEG
resnet50-train-60-epochs,4,37,NaN,bicycle,bicycle,0.00,0037_nse_dnn_0.00_bicycle_10_n02835271_10832.JPEG
resnet50-train-60-epochs,4,38,NaN,bicycle,bicycle,0.00,0038_nse_dnn_0.00_bicycle_10_n03792782_104.JPEG
resnet50-train-60-epochs,4,39,NaN,bicycle,bicycle,0.00,0039_nse_dnn_0.00_bicycle_10_n02835271_17649.JPEG
resnet50-train-60-epochs,4,40,NaN,bicycle,bicycle,0.00,0040_nse_dnn_0.00_bicycle_10_n03792782_14216.JPEG
resnet50-train-60-epochs,4,41,NaN,airplane,airplane,0.00,0041_nse_dnn_0.00_airplane_10_n02690373_9529.JPEG
resnet50-train-60-epochs,4,42,NaN,airplane,airplane,0.00,0042_nse_dnn_0.00_airplane_10_n02690373_9622.JPEG
resnet50-train-60-epochs,4,43,NaN,airplane,airplane,0.00,0043_nse_dnn_0.00_airplane_10_n02690373_10354.JPEG
resnet50-train-60-epochs,4,44,NaN,airplane,airplane,0.00,0044_nse_dnn_0.00_airplane_10_n02690373_389.JPEG
resnet50-train-60-epochs,4,45,NaN,airplane,airplane,0.00,0045_nse_dnn_0.00_airplane_10_n02690373_1933.JPEG
resnet50-train-60-epochs,4,46,NaN,airplane,airplane,0.00,0046_nse_dnn_0.00_airplane_10_n02690373_9759.JPEG
resnet50-train-60-epochs,4,47,NaN,airplane,airplane,0.00,0047_nse_dnn_0.00_airplane_10_n02690373_17764.JPEG
resnet50-train-60-epochs,4,48,NaN,airplane,airplane,0.00,0048_nse_dnn_0.00_airplane_10_n02690373_9828.JPEG
resnet50-train-60-epochs,4,49,NaN,airplane,airplane,0.00,0049_nse_dnn_0.00_airplane_10_n02690373_8704.JPEG
resnet50-train-60-epochs,4,50,NaN,clock,airplane,0.00,0050_nse_dnn_0.00_airplane_10_n02690373_4217.JPEG
resnet50-train-60-epochs,4,51,NaN,clock,clock,0.00,0051_nse_dnn_0.00_clock_10_n03196217_11054.JPEG
resnet50-train-60-epochs,4,52,NaN,clock,clock,0.00,0052_nse_dnn_0.00_clock_10_n02708093_181.JPEG
resnet50-train-60-epochs,4,53,NaN,clock,clock,0.00,0053_nse_dnn_0.00_clock_10_n02708093_459.JPEG
resnet50-train-60-epochs,4,54,NaN,clock,clock,0.00,0054_nse_dnn_0.00_clock_10_n03196217_12131.JPEG
resnet50-train-60-epochs,4,55,NaN,clock,clock,0.00,0055_nse_dnn_0.00_clock_10_n04548280_8925.JPEG
resnet50-train-60-epochs,4,56,NaN,clock,clock,0.00,0056_nse_dnn_0.00_clock_10_n04548280_963.JPEG
resnet50-train-60-epochs,4,57,NaN,clock,clock,0.00,0057_nse_dnn_0.00_clock_10_n02708093_3459.JPEG
resnet50-train-60-epochs,4,58,NaN,clock,clock,0.00,0058_nse_dnn_0.00_clock_10_n04548280_3093.JPEG
resnet50-train-60-epochs,4,59,NaN,clock,clock,0.00,0059_nse_dnn_0.00_clock_10_n04548280_700.JPEG
resnet50-train-60-epochs,4,60,NaN,clock,clock,0.00,0060_nse_dnn_0.00_clock_10_n02708093_1124.JPEG
resnet50-train-60-epochs,4,61,NaN,oven,oven,0.00,0061_nse_dnn_0.00_oven_10_n04111531_4785.JPEG
resnet50-train-60-epochs,4,62,NaN,bird,oven,0.00,0062_nse_dnn_0.00_oven_10_n04111531_11157.JPEG
resnet50-train-60-epochs,4,63,NaN,oven,oven,0.00,0063_nse_dnn_0.00_oven_10_n04111531_16144.JPEG
resnet50-train-60-epochs,4,64,NaN,truck,oven,0.00,0064_nse_dnn_0.00_oven_10_n04111531_6923.JPEG
resnet50-train-60-epochs,4,65,NaN,oven,oven,0.00,0065_nse_dnn_0.00_oven_10_n04111531_7345.JPEG
resnet50-train-60-epochs,4,66,NaN,keyboard,oven,0.00,0066_nse_dnn_0.00_oven_10_n04111531_2086.JPEG
resnet50-train-60-epochs,4,67,NaN,oven,oven,0.00,0067_nse_dnn_0.00_oven_10_n04111531_20028.JPEG
resnet50-train-60-epochs,4,68,NaN,oven,oven,0.00,0068_nse_dnn_0.00_oven_10_n04111531_2630.JPEG
resnet50-train-60-epochs,4,69,NaN,clock,oven,0.00,0069_nse_dnn_0.00_oven_10_n04111531_5328.JPEG
resnet50-train-60-epochs,4,70,NaN,bottle,oven,0.00,0070_nse_dnn_0.00_oven_10_n04111531_11794.JPEG
resnet50-train-60-epochs,4,71,NaN,chair,chair,0.00,0071_nse_dnn_0.00_chair_10_n03376595_1601.JPEG
resnet50-train-60-epochs,4,72,NaN,chair,chair,0.00,0072_nse_dnn_0.00_chair_10_n02791124_13469.JPEG
resnet50-train-60-epochs,4,73,NaN,chair,chair,0.00,0073_nse_dnn_0.00_chair_10_n04429376_18227.JPEG
resnet50-train-60-epochs,4,74,NaN,chair,chair,0.00,0074_nse_dnn_0.00_chair_10_n02791124_5405.JPEG
resnet50-train-60-epochs,4,75,NaN,clock,chair,0.00,0075_nse_dnn_0.00_chair_10_n04099969_4129.JPEG
resnet50-train-60-epochs,4,76,NaN,chair,chair,0.00,0076_nse_dnn_0.00_chair_10_n04099969_1805.JPEG
resnet50-train-60-epochs,4,77,NaN,chair,chair,0.00,0077_nse_dnn_0.00_chair_10_n03376595_5995.JPEG
resnet50-train-60-epochs,4,78,NaN,chair,chair,0.00,0078_nse_dnn_0.00_chair_10_n04099969_5237.JPEG
resnet50-train-60-epochs,4,79,NaN,chair,chair,0.00,0079_nse_dnn_0.00_chair_10_n03376595_3838.JPEG
resnet50-train-60-epochs,4,80,NaN,chair,chair,0.00,0080_nse_dnn_0.00_chair_10_n03376595_2734.JPEG
resnet50-train-60-epochs,4,81,NaN,bear,bear,0.00,0081_nse_dnn_0.00_bear_10_n02132136_35749.JPEG
resnet50-train-60-epochs,4,82,NaN,bear,bear,0.00,0082_nse_dnn_0.00_bear_10_n02134084_16841.JPEG
resnet50-train-60-epochs,4,83,NaN,bear,bear,0.00,0083_nse_dnn_0.00_bear_10_n02134418_3855.JPEG
resnet50-train-60-epochs,4,84,NaN,bear,bear,0.00,0084_nse_dnn_0.00_bear_10_n02133161_7688.JPEG
resnet50-train-60-epochs,4,85,NaN,bear,bear,0.00,0085_nse_dnn_0.00_bear_10_n02132136_24408.JPEG
resnet50-train-60-epochs,4,86,NaN,bear,bear,0.00,0086_nse_dnn_0.00_bear_10_n02134418_3833.JPEG
resnet50-train-60-epochs,4,87,NaN,bear,bear,0.00,0087_nse_dnn_0.00_bear_10_n02133161_1728.JPEG
resnet50-train-60-epochs,4,88,NaN,bear,bear,0.00,0088_nse_dnn_0.00_bear_10_n02132136_19498.JPEG
resnet50-train-60-epochs,4,89,NaN,bear,bear,0.00,0089_nse_dnn_0.00_bear_10_n02134084_21523.JPEG
resnet50-train-60-epochs,4,90,NaN,bear,bear,0.00,0090_nse_dnn_0.00_bear_10_n02134418_8516.JPEG
resnet50-train-60-epochs,4,91,NaN,boat,boat,0.00,0091_nse_dnn_0.00_boat_10_n04612504_9558.JPEG
resnet50-train-60-epochs,4,92,NaN,clock,boat,0.00,0092_nse_dnn_0.00_boat_10_n03344393_11590.JPEG
resnet50-train-60-epochs,4,93,NaN,chair,boat,0.00,0093_nse_dnn_0.00_boat_10_n04612504_1869.JPEG
resnet50-train-60-epochs,4,94,NaN,boat,boat,0.00,0094_nse_dnn_0.00_boat_10_n03344393_4657.JPEG
resnet50-train-60-epochs,4,95,NaN,boat,boat,0.00,0095_nse_dnn_0.00_boat_10_n03662601_12531.JPEG
