subj,session,trial,rt,object_response,category,condition,imagename
oidv2-resnet101,1,1,NaN,airplane,airplane,3,0001_org_dnn_0_airplane_00_airplane1.png
oidv2-resnet101,1,2,NaN,airplane,airplane,3,0002_org_dnn_0_airplane_00_airplane10.png
oidv2-resnet101,1,3,NaN,airplane,airplane,3,0003_org_dnn_0_airplane_00_airplane2.png
oidv2-resnet101,1,4,NaN,airplane,airplane,3,0004_org_dnn_0_airplane_00_airplane3.png
oidv2-resnet101,1,5,NaN,airplane,airplane,3,0005_org_dnn_0_airplane_00_airplane4.png
oidv2-resnet101,1,6,NaN,airplane,airplane,3,0006_org_dnn_0_airplane_00_airplane5.png
oidv2-resnet101,1,7,NaN,airplane,airplane,3,0007_org_dnn_0_airplane_00_airplane6.png
oidv2-resnet101,1,8,NaN,airplane,airplane,3,0008_org_dnn_0_airplane_00_airplane7.png
oidv2-resnet101,1,9,NaN,airplane,airplane,3,0009_org_dnn_0_airplane_00_airplane8.png
oidv2-resnet101,1,10,NaN,airplane,airplane,3,0010_org_dnn_0_airplane_00_airplane9.png
oidv2-resnet101,1,11,NaN,dog,bear,3,0011_org_dnn_0_bear_00_bear1.png
oidv2-resnet101,1,12,NaN,dog,bear,3,0012_org_dnn_0_bear_00_bear10.png
oidv2-resnet101,1,13,NaN,dog,bear,3,0013_org_dnn_0_bear_00_bear2.png
oidv2-resnet101,1,14,NaN,dog,bear,3,0014_org_dnn_0_bear_00_bear3.png
oidv2-resnet101,1,15,NaN,dog,bear,3,0015_org_dnn_0_bear_00_bear4.png
oidv2-resnet101,1,16,NaN,dog,bear,3,0016_org_dnn_0_bear_00_bear5.png
oidv2-resnet101,1,17,NaN,dog,bear,3,0017_org_dnn_0_bear_00_bear6.png
oidv2-resnet101,1,18,NaN,bear,bear,3,0018_org_dnn_0_bear_00_bear7.png
oidv2-resnet101,1,19,NaN,dog,bear,3,0019_org_dnn_0_bear_00_bear8.png
