subj,session,trial,rt,object_response,category,condition,imagename
resnet50,5,1,NaN,knife,knife,0,0001_ps_dnn_0_knife_10_n03041632_8618.png
resnet50,5,2,NaN,knife,knife,0,0002_ps_dnn_0_knife_10_n03041632_51256.png
resnet50,5,3,NaN,knife,knife,0,0003_ps_dnn_0_knife_10_n03041632_27898.png
resnet50,5,4,NaN,knife,knife,0,0004_ps_dnn_0_knife_10_n03041632_32177.png
resnet50,5,5,NaN,knife,knife,0,0005_ps_dnn_0_knife_10_n03041632_23548.png
resnet50,5,6,NaN,knife,knife,0,0006_ps_dnn_0_knife_10_n03041632_41381.png
resnet50,5,7,NaN,knife,knife,0,0007_ps_dnn_0_knife_10_n03041632_24264.png
resnet50,5,8,NaN,knife,knife,0,0008_ps_dnn_0_knife_10_n03041632_45090.png
resnet50,5,9,NaN,knife,knife,0,0009_ps_dnn_0_knife_10_n03041632_87339.png
resnet50,5,10,NaN,chair,knife,0,0010_ps_dnn_0_knife_10_n03041632_96361.png
resnet50,5,11,NaN,keyboard,keyboard,0,0011_ps_dnn_0_keyboard_10_n03085013_21070.png
resnet50,5,12,NaN,keyboard,keyboard,0,0012_ps_dnn_0_keyboard_10_n04505470_5009.png
resnet50,5,13,NaN,keyboard,keyboard,0,0013_ps_dnn_0_keyboard_10_n03085013_3098.png
resnet50,5,14,NaN,keyboard,keyboard,0,0014_ps_dnn_0_keyboard_10_n03085013_20594.png
resnet50,5,15,NaN,keyboard,keyboard,0,0015_ps_dnn_0_keyboard_10_n04505470_3261.png
resnet50,5,16,NaN,keyboard,keyboard,0,0016_ps_dnn_0_keyboard_10_n04505470_8121.png
resnet50,5,17,NaN,keyboard,keyboard,0,0017_ps_dnn_0_keyboard_10_n04505470_64.png
resnet50,5,18,NaN,keyboard,keyboard,0,0018_ps_dnn_0_keyboard_10_n03085013_19687.png
resnet50,5,19,NaN,keyboard,keyboard,0,0019_ps_dnn_0_keyboard_10_n04505470_241.png
resnet50,5,20,NaN,chair,keyboard,0,0020_ps_dnn_0_keyboard_10_n03085013_23763.png
resnet50,5,21,NaN,elephant,elephant,0,0021_ps_dnn_0_elephant_10_n02504013_6171.png
resnet50,5,22,NaN,elephant,elephant,0,0022_ps_dnn_0_elephant_10_n02504013_5918.png
resnet50,5,23,NaN,elephant,elephant,0,0023_ps_dnn_0_elephant_10_n02504458_574.png
resnet50,5,24,NaN,elephant,elephant,0,0024_ps_dnn_0_elephant_10_n02504458_804.png
resnet50,5,25,NaN,elephant,elephant,0,0025_ps_dnn_0_elephant_10_n02504013_2787.png
resnet50,5,26,NaN,elephant,elephant,0,0026_ps_dnn_0_elephant_10_n02504458_8126.png
resnet50,5,27,NaN,elephant,elephant,0,0027_ps_dnn_0_elephant_10_n02504458_341.png
resnet50,5,28,NaN,elephant,elephant,0,0028_ps_dnn_0_elephant_10_n02504458_5288.png
resnet50,5,29,NaN,elephant,elephant,0,0029_ps_dnn_0_elephant_10_n02504013_6880.png
resnet50,5,30,NaN,elephant,elephant,0,0030_ps_dnn_0_elephant_10_n02504458_4228.png
resnet50,5,31,NaN,bicycle,bicycle,0,0031_ps_dnn_0_bicycle_10_n02835271_17168.png
resnet50,5,32,NaN,bicycle,bicycle,0,0032_ps_dnn_0_bicycle_10_n03792782_15614.png
resnet50,5,33,NaN,bicycle,bicycle,0,0033_ps_dnn_0_bicycle_10_n03792782_67333.png
resnet50,5,34,NaN,bicycle,bicycle,0,0034_ps_dnn_0_bicycle_10_n02835271_9507.png
resnet50,5,35,NaN,bicycle,bicycle,0,0035_ps_dnn_0_bicycle_10_n03792782_6250.png
