subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,3,1,NaN,knife,knife,0,0001_ps_dnn_0_knife_10_n03041632_8618.png
resnet50-train-60-epochs,3,2,NaN,cat,knife,0,0002_ps_dnn_0_knife_10_n03041632_51256.png
resnet50-train-60-epochs,3,3,NaN,bird,knife,0,0003_ps_dnn_0_knife_10_n03041632_27898.png
resnet50-train-60-epochs,3,4,NaN,knife,knife,0,0004_ps_dnn_0_knife_10_n03041632_32177.png
resnet50-train-60-epochs,3,5,NaN,knife,knife,0,0005_ps_dnn_0_knife_10_n03041632_23548.png
resnet50-train-60-epochs,3,6,NaN,knife,knife,0,0006_ps_dnn_0_knife_10_n03041632_41381.png
resnet50-train-60-epochs,3,7,NaN,truck,knife,0,0007_ps_dnn_0_knife_10_n03041632_24264.png
resnet50-train-60-epochs,3,8,NaN,knife,knife,0,0008_ps_dnn_0_knife_10_n03041632_45090.png
resnet50-train-60-epochs,3,9,NaN,bottle,knife,0,0009_ps_dnn_0_knife_10_n03041632_87339.png
resnet50-train-60-epochs,3,10,NaN,oven,knife,0,0010_ps_dnn_0_knife_10_n03041632_96361.png
resnet50-train-60-epochs,3,11,NaN,keyboard,keyboard,0,0011_ps_dnn_0_keyboard_10_n03085013_21070.png
resnet50-train-60-epochs,3,12,NaN,keyboard,keyboard,0,0012_ps_dnn_0_keyboard_10_n04505470_5009.png
resnet50-train-60-epochs,3,13,NaN,keyboard,keyboard,0,0013_ps_dnn_0_keyboard_10_n03085013_3098.png
resnet50-train-60-epochs,3,14,NaN,keyboard,keyboard,0,0014_ps_dnn_0_keyboard_10_n03085013_20594.png
resnet50-train-60-epochs,3,15,NaN,keyboard,keyboard,0,0015_ps_dnn_0_keyboard_10_n04505470_3261.png
resnet50-train-60-epochs,3,16,NaN,keyboard,keyboard,0,0016_ps_dnn_0_keyboard_10_n04505470_8121.png
resnet50-train-60-epochs,3,17,NaN,keyboard,keyboard,0,0017_ps_dnn_0_keyboard_10_n04505470_64.png
resnet50-train-60-epochs,3,18,NaN,keyboard,keyboard,0,0018_ps_dnn_0_keyboard_10_n03085013_19687.png
resnet50-train-60-epochs,3,19,NaN,keyboard,keyboard,0,0019_ps_dnn_0_keyboard_10_n04505470_241.png
