subj,session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,0.703688859939575,oven,oven,bw,0000_cl_s02_bw_oven_40_n04111531_2872.JPEG
subject-02,1,2,0.709979057312012,bird,bird,cr,0001_cl_s02_cr_bird_40_n02027492_2004.JPEG
subject-02,1,3,0.983583927154541,dog,dog,cr,0002_cl_s02_cr_dog_40_n02102040_4103.JPEG
subject-02,1,4,1.12179398536682,bottle,bottle,bw,0003_cl_s02_bw_bottle_40_n02823428_5024.JPEG
subject-02,1,5,0.88990306854248,truck,truck,bw,0004_cl_s02_bw_truck_40_n03417042_3101.JPEG
subject-02,1,6,0.703237056732178,bottle,bottle,cr,0005_cl_s02_cr_bottle_40_n04591713_2024.JPEG
subject-02,1,7,0.909029960632324,bear,bear,bw,0006_cl_s02_bw_bear_40_n02134084_7169.JPEG
subject-02,1,8,0.763887882232666,keyboard,keyboard,cr,0007_cl_s02_cr_keyboard_40_n03085013_22013.JPEG
subject-02,1,9,1.06995487213135,boat,boat,bw,0008_cl_s02_bw_boat_40_n04612504_7566.JPEG
subject-02,1,10,0.868036985397339,car,car,bw,0009_cl_s02_bw_car_40_n02814533_28856.JPEG
subject-02,1,11,0.903347969055176,cat,cat,cr,0010_cl_s02_cr_cat_40_n02123045_13884.JPEG
subject-02,1,12,1.07995581626892,elephant,elephant,cr,0011_cl_s02_cr_elephant_40_n02504458_1998.JPEG
subject-02,1,13,0.980388164520264,dog,dog,bw,0012_cl_s02_bw_dog_40_n02088238_6532.JPEG
subject-02,1,14,1.23206615447998,bottle,bottle,cr,0013_cl_s02_cr_bottle_40_n04591713_595.JPEG
subject-02,1,15,NaN,na,keyboard,bw,0014_cl_s02_bw_keyboard_40_n03085013_3231.JPEG
subject-02,1,16,NaN,na,airplane,bw,0015_cl_s02_bw_airplane_40_n02690373_9535.JPEG
subject-02,1,17,1.4455738067627,bear,bear,bw,0016_cl_s02_bw_bear_40_n02132136_1029.JPEG
subject-02,1,18,0.875610113143921,clock,clock,bw,0017_cl_s02_bw_clock_40_n04548280_5013.JPEG
subject-02,1,19,1.15235590934753,airplane,airplane,cr,0018_cl_s02_cr_airplane_40_n02690373_349.JPEG
subject-02,1,20,0.714596033096313,cat,cat,cr,0019_cl_s02_cr_cat_40_n02124075_20957.JPEG
subject-02,1,21,0.935003042221069,oven,oven,cr,0020_cl_s02_cr_oven_40_n04111531_10011.JPEG
subject-02,1,22,0.635863065719604,clock,clock,bw,0021_cl_s02_bw_clock_40_n02708093_3695.JPEG
subject-02,1,23,0.711348056793213,clock,clock,bw,0022_cl_s02_bw_clock_40_n04548280_5752.JPEG
subject-02,1,24,0.787540912628174,chair,chair,cr,0023_cl_s02_cr_chair_40_n03376595_7285.JPEG
subject-02,1,25,0.999119997024536,airplane,airplane,cr,0024_cl_s02_cr_airplane_40_n02690373_18693.JPEG
subject-02,1,26,1.21335315704346,clock,clock,bw,0025_cl_s02_bw_clock_40_n03196217_5910.JPEG
subject-02,1,27,1.34384608268738,truck,truck,bw,0026_cl_s02_bw_truck_40_n04467665_70939.JPEG
subject-02,1,28,0.714853048324585,elephant,elephant,bw,0027_cl_s02_bw_elephant_40_n02504013_4646.JPEG
subject-02,1,29,0.766654968261719,bear,bear,cr,0028_cl_s02_cr_bear_40_n02132136_3169.JPEG
subject-02,1,30,1.06528902053833,keyboard,keyboard,bw,0029_cl_s02_bw_keyboard_40_n03085013_805.JPEG
subject-02,1,31,0.957561016082764,oven,oven,cr,0030_cl_s02_cr_oven_40_n04111531_6993.JPEG
subject-02,1,32,0.996069192886353,clock,chair,bw,0031_cl_s02_bw_chair_40_n03376595_7247.JPEG
subject-02,1,33,0.794955015182495,car,car,bw,0032_cl_s02_bw_car_40_n04285008_4935.JPEG
subject-02,1,34,0.756859064102173,clock,clock,bw,0033_cl_s02_bw_clock_40_n04548280_3038.JPEG
subject-02,1,35,0.755741119384766,boat,boat,bw,0034_cl_s02_bw_boat_40_n04273569_15916.JPEG
subject-02,1,36,1.32366991043091,chair,chair,bw,0035_cl_s02_bw_chair_40_n03376595_3863.JPEG
subject-02,1,37,1.08386015892029,keyboard,keyboard,cr,0036_cl_s02_cr_keyboard_40_n03085013_19436.JPEG
subject-02,1,38,0.900298833847046,truck,truck,bw,0037_cl_s02_bw_truck_40_n03417042_3669.JPEG
subject-02,1,39,1.17471694946289,dog,dog,cr,0038_cl_s02_cr_dog_40_n02097130_9583.JPEG
subject-02,1,40,0.929025888442993,bicycle,bicycle,bw,0039_cl_s02_bw_bicycle_40_n02835271_13311.JPEG
subject-02,1,41,1.11161494255066,cat,cat,bw,0040_cl_s02_bw_cat_40_n02125311_34035.JPEG
subject-02,1,42,0.690119981765747,oven,oven,bw,0041_cl_s02_bw_oven_40_n04111531_17922.JPEG
subject-02,1,43,0.880701065063477,keyboard,keyboard,bw,0042_cl_s02_bw_keyboard_40_n04505470_4513.JPEG
subject-02,1,44,1.50017881393433,bird,bird,bw,0043_cl_s02_bw_bird_40_n01855672_6577.JPEG
subject-02,1,45,1.26357293128967,clock,bicycle,cr,0044_cl_s02_cr_bicycle_40_n02835271_6921.JPEG
subject-02,1,46,0.793497085571289,bird,bird,cr,0045_cl_s02_cr_bird_40_n01860187_6891.JPEG
subject-02,1,47,1.37593102455139,dog,dog,cr,0046_cl_s02_cr_dog_40_n02102480_5031.JPEG
subject-02,1,48,0.743339061737061,boat,boat,cr,0047_cl_s02_cr_boat_40_n04273569_10962.JPEG
subject-02,1,49,0.673959016799927,keyboard,keyboard,bw,0048_cl_s02_bw_keyboard_40_n03085013_19096.JPEG
subject-02,1,50,1.04257678985596,airplane,airplane,bw,0049_cl_s02_bw_airplane_40_n02690373_20074.JPEG
subject-02,1,51,0.904793977737427,truck,truck,cr,0050_cl_s02_cr_truck_40_n04467665_30226.JPEG
subject-02,1,52,0.55674409866333,elephant,elephant,cr,0051_cl_s02_cr_elephant_40_n02504013_19694.JPEG
subject-02,1,53,1.50011086463928,keyboard,clock,cr,0052_cl_s02_cr_clock_40_n03196217_2919.JPEG
subject-02,1,54,1.0854320526123,knife,knife,bw,0053_cl_s02_bw_knife_40_n03041632_18959.JPEG
subject-02,1,55,1.0700249671936,bicycle,bicycle,bw,0054_cl_s02_bw_bicycle_40_n02835271_12097.JPEG
subject-02,1,56,0.899838924407959,airplane,airplane,cr,0055_cl_s02_cr_airplane_40_n02690373_4728.JPEG
subject-02,1,57,1.4607880115509,dog,dog,bw,0056_cl_s02_bw_dog_40_n02106662_116690.JPEG
subject-02,1,58,0.598628044128418,bicycle,bicycle,cr,0057_cl_s02_cr_bicycle_40_n02835271_15038.JPEG
subject-02,1,59,1.38093090057373,chair,chair,cr,0058_cl_s02_cr_chair_40_n04099969_20900.JPEG
subject-02,1,60,0.719487190246582,oven,oven,bw,0059_cl_s02_bw_oven_40_n04111531_2575.JPEG
subject-02,1,61,0.881897211074829,truck,truck,bw,0060_cl_s02_bw_truck_40_n04467665_30208.JPEG
subject-02,1,62,1.44813394546509,dog,dog,bw,0061_cl_s02_bw_dog_40_n02113712_1933.JPEG
subject-02,1,63,1.10280299186707,knife,knife,bw,0062_cl_s02_bw_knife_40_n03041632_424.JPEG
subject-02,1,64,0.879297018051147,dog,dog,bw,0063_cl_s02_bw_dog_40_n02086079_59775.JPEG
subject-02,1,65,1.00232410430908,keyboard,keyboard,bw,0064_cl_s02_bw_keyboard_40_n03085013_24294.JPEG
subject-02,1,66,NaN,na,bear,cr,0065_cl_s02_cr_bear_40_n02134418_6083.JPEG
subject-02,1,67,1.40056920051575,dog,dog,bw,0066_cl_s02_bw_dog_40_n02092339_6138.JPEG
subject-02,1,68,0.671229839324951,chair,chair,cr,0067_cl_s02_cr_chair_40_n04099969_16549.JPEG
