subj,session,trial,rt,object_response,category,condition,imagename
subject-03,1,1,1.16327214241028,knife,knife,c05,0000_con_s03_c05_knife_10_n03041632_12130.JPEG
subject-03,1,2,1.12598395347595,cat,cat,c100,0001_con_s03_c100_cat_10_n02125311_9964.JPEG
subject-03,1,3,0.832468032836914,elephant,cat,c05,0002_con_s03_c05_cat_10_n02124075_7961.JPEG
subject-03,1,4,0.746991872787476,clock,dog,c01,0003_con_s03_c01_dog_10_n02110806_10630.JPEG
subject-03,1,5,0.823784112930298,car,car,c100,0004_con_s03_c100_car_10_n02814533_13612.JPEG
subject-03,1,6,1.29721188545227,knife,bicycle,c03,0005_con_s03_c03_bicycle_10_n02835271_2917.JPEG
subject-03,1,7,0.857582092285156,car,car,c10,0006_con_s03_c10_car_10_n02814533_58072.JPEG
subject-03,1,8,1.11006307601929,boat,boat,c100,0007_con_s03_c100_boat_10_n02951358_4939.JPEG
subject-03,1,9,0.639947891235352,airplane,airplane,c10,0008_con_s03_c10_airplane_10_n02690373_9.JPEG
subject-03,1,10,0.692445993423462,oven,airplane,c01,0009_con_s03_c01_airplane_10_n02690373_1986.JPEG
subject-03,1,11,0.920156002044678,knife,knife,c10,0010_con_s03_c10_knife_10_n03041632_87339.JPEG
subject-03,1,12,0.826416969299316,airplane,airplane,c30,0011_con_s03_c30_airplane_10_n02690373_8274.JPEG
subject-03,1,13,0.802657842636108,keyboard,car,c01,0012_con_s03_c01_car_10_n04285008_4760.JPEG
subject-03,1,14,NaN,na,airplane,c05,0013_con_s03_c05_airplane_10_n02690373_7401.JPEG
subject-03,1,15,0.921349048614502,airplane,airplane,c10,0014_con_s03_c10_airplane_10_n02690373_3988.JPEG
subject-03,1,16,1.4904990196228,cat,cat,c05,0015_con_s03_c05_cat_10_n02123159_12957.JPEG
subject-03,1,17,1.12063002586365,cat,cat,c03,0016_con_s03_c03_cat_10_n02124075_4559.JPEG
subject-03,1,18,0.727009057998657,boat,boat,c100,0017_con_s03_c100_boat_10_n03344393_5163.JPEG
subject-03,1,19,0.681684017181396,clock,bird,c03,0018_con_s03_c03_bird_10_n01820546_4054.JPEG
subject-03,1,20,0.763970136642456,keyboard,keyboard,c50,0019_con_s03_c50_keyboard_10_n03085013_15432.JPEG
subject-03,1,21,0.793872117996216,oven,oven,c15,0020_con_s03_c15_oven_10_n04111531_21896.JPEG
subject-03,1,22,0.72999095916748,clock,chair,c03,0021_con_s03_c03_chair_10_n03376595_10293.JPEG
subject-03,1,23,0.744547128677368,boat,clock,c01,0022_con_s03_c01_clock_10_n02708093_9.JPEG
subject-03,1,24,1.31088805198669,elephant,bear,c10,0023_con_s03_c10_bear_10_n02134418_1770.JPEG
subject-03,1,25,1.13335609436035,bottle,bottle,c05,0024_con_s03_c05_bottle_10_n04557648_3362.JPEG
subject-03,1,26,0.772109031677246,bottle,bottle,c10,0025_con_s03_c10_bottle_10_n03983396_7700.JPEG
subject-03,1,27,0.75425910949707,boat,truck,c03,0026_con_s03_c03_truck_10_n04467665_9812.JPEG
subject-03,1,28,0.76286506652832,clock,knife,c01,0027_con_s03_c01_knife_10_n03041632_2483.JPEG
subject-03,1,29,0.707303047180176,cat,cat,c15,0028_con_s03_c15_cat_10_n02125311_23095.JPEG
subject-03,1,30,0.821780204772949,boat,car,c01,0029_con_s03_c01_car_10_n02814533_1934.JPEG
subject-03,1,31,0.758358955383301,airplane,clock,c05,0030_con_s03_c05_clock_10_n03196217_1430.JPEG
subject-03,1,32,1.10096597671509,clock,oven,c50,0031_con_s03_c50_oven_10_n04111531_22120.JPEG
subject-03,1,33,0.917265892028809,cat,dog,c03,0032_con_s03_c03_dog_10_n02091032_1360.JPEG
subject-03,1,34,0.655765056610107,clock,clock,c15,0033_con_s03_c15_clock_10_n02708093_1430.JPEG
subject-03,1,35,0.854275941848755,cat,boat,c01,0034_con_s03_c01_boat_10_n03662601_27025.JPEG
subject-03,1,36,0.838999032974243,cat,cat,c10,0035_con_s03_c10_cat_10_n02123597_13552.JPEG
subject-03,1,37,0.791093826293945,car,car,c03,0036_con_s03_c03_car_10_n04285008_12794.JPEG
subject-03,1,38,0.857999801635742,cat,knife,c01,0037_con_s03_c01_knife_10_n03041632_7495.JPEG
subject-03,1,39,0.704887866973877,bicycle,bicycle,c05,0038_con_s03_c05_bicycle_10_n03792782_15833.JPEG
subject-03,1,40,0.871097803115845,airplane,airplane,c100,0039_con_s03_c100_airplane_10_n02690373_1733.JPEG
subject-03,1,41,0.82572078704834,clock,clock,c15,0040_con_s03_c15_clock_10_n03196217_1698.JPEG
subject-03,1,42,0.862450838088989,knife,knife,c10,0041_con_s03_c10_knife_10_n03041632_45312.JPEG
subject-03,1,43,1.03658890724182,chair,chair,c100,0042_con_s03_c100_chair_10_n03376595_5396.JPEG
subject-03,1,44,0.728633880615234,clock,clock,c05,0043_con_s03_c05_clock_10_n04548280_5933.JPEG
subject-03,1,45,0.935051918029785,chair,knife,c15,0044_con_s03_c15_knife_10_n03041632_96345.JPEG
subject-03,1,46,0.879732847213745,car,car,c30,0045_con_s03_c30_car_10_n03100240_7624.JPEG
subject-03,1,47,0.945539951324463,cat,bicycle,c05,0046_con_s03_c05_bicycle_10_n03792782_70555.JPEG
subject-03,1,48,0.721995115280151,oven,bottle,c10,0047_con_s03_c10_bottle_10_n02823428_7931.JPEG
subject-03,1,49,0.713135004043579,car,car,c30,0048_con_s03_c30_car_10_n04285008_7323.JPEG
subject-03,1,50,0.773462057113647,oven,keyboard,c01,0049_con_s03_c01_keyboard_10_n03085013_24316.JPEG
subject-03,1,51,1.16410398483276,dog,bear,c50,0050_con_s03_c50_bear_10_n02132136_6900.JPEG
subject-03,1,52,0.734379053115845,keyboard,keyboard,c15,0051_con_s03_c15_keyboard_10_n04505470_2698.JPEG
subject-03,1,53,0.847028017044067,oven,car,c15,0052_con_s03_c15_car_10_n03100240_2707.JPEG
subject-03,1,54,1.21557307243347,car,bird,c50,0053_con_s03_c50_bird_10_n01582220_4738.JPEG
subject-03,1,55,0.805219888687134,clock,knife,c50,0054_con_s03_c50_knife_10_n03041632_9635.JPEG
subject-03,1,56,1.23336410522461,knife,knife,c50,0055_con_s03_c50_knife_10_n03041632_11285.JPEG
subject-03,1,57,0.917764902114868,oven,bottle,c01,0056_con_s03_c01_bottle_10_n04557648_2052.JPEG
subject-03,1,58,0.932576894760132,chair,chair,c05,0057_con_s03_c05_chair_10_n04099969_14797.JPEG
subject-03,1,59,0.955322980880737,bottle,chair,c15,0058_con_s03_c15_chair_10_n04429376_74.JPEG
subject-03,1,60,0.623657941818237,boat,chair,c01,0059_con_s03_c01_chair_10_n03376595_6999.JPEG
subject-03,1,61,0.868305921554565,cat,bear,c01,0060_con_s03_c01_bear_10_n02134084_8089.JPEG
subject-03,1,62,0.988919019699097,bird,bird,c30,0061_con_s03_c30_bird_10_n01796340_9255.JPEG
subject-03,1,63,0.856921911239624,keyboard,keyboard,c05,0062_con_s03_c05_keyboard_10_n04505470_8789.JPEG
subject-03,1,64,1.34706091880798,bird,bird,c50,0063_con_s03_c50_bird_10_n02002724_3559.JPEG
subject-03,1,65,0.837751865386963,cat,dog,c15,0064_con_s03_c15_dog_10_n02100236_5945.JPEG
