subj,session,trial,rt,object_response,category,condition,imagename
subject-06,1,1,0.734248161315918,airplane,airplane,c03,0001_cop_s06_c03_airplane_10_n02690373_10079.png
subject-06,1,2,0.802281856536865,airplane,chair,c01,0002_cop_s06_c01_chair_10_n04429376_7982.png
subject-06,1,3,0.650773048400879,car,car,c03,0003_cop_s06_c03_car_10_n04285008_6439.png
subject-06,1,4,0.606206178665161,oven,cat,c01,0004_cop_s06_c01_cat_10_n02123159_7950.png
subject-06,1,5,0.55823802947998,cat,oven,c01,0005_cop_s06_c01_oven_10_n04111531_11157.png
subject-06,1,6,0.681688070297241,cat,cat,c30,0006_cop_s06_c30_cat_10_n02123597_14535.png
subject-06,1,7,0.53286600112915,boat,boat,c30,0007_cop_s06_c30_boat_10_n02951358_30629.png
subject-06,1,8,0.519404888153076,keyboard,keyboard,c50,0008_cop_s06_c50_keyboard_10_n03085013_23546.png
subject-06,1,9,0.839967012405396,airplane,truck,c01,0009_cop_s06_c01_truck_10_n03417042_5449.png
subject-06,1,10,0.862358093261719,bird,bicycle,c05,0010_cop_s06_c05_bicycle_10_n03792782_6613.png
subject-06,1,11,0.540788888931274,oven,oven,c01,0011_cop_s06_c01_oven_10_n04111531_669.png
subject-06,1,12,1.12428402900696,elephant,bottle,c03,0012_cop_s06_c03_bottle_10_n04560804_15958.png
subject-06,1,13,1.1950478553772,dog,bear,c05,0013_cop_s06_c05_bear_10_n02134084_18494.png
subject-06,1,14,0.605298042297363,boat,boat,c30,0014_cop_s06_c30_boat_10_n03662601_20059.png
subject-06,1,15,0.581269979476929,airplane,airplane,c03,0015_cop_s06_c03_airplane_10_n02690373_2128.png
subject-06,1,16,0.535034894943237,cat,cat,c50,0016_cop_s06_c50_cat_10_n02123159_1214.png
subject-06,1,17,0.885929107666016,clock,bottle,c100,0017_cop_s06_c100_bottle_10_n04557648_9352.png
subject-06,1,18,0.685583114624023,truck,truck,c50,0018_cop_s06_c50_truck_10_n03796401_7249.png
subject-06,1,19,NaN,na,bear,c03,0019_cop_s06_c03_bear_10_n02134084_3306.png
