subj,session,trial,rt,object_response,category,condition,imagename
subject-08,2,1,0.682789087295532,clock,bottle,128-0-10,1281_eid_s08_128-0-10_bottle_10_n03983396_12670.JPEG
subject-08,2,2,NaN,na,bottle,32-10-10,1282_eid_s08_32-10-10_bottle_10_n03983396_5394.JPEG
subject-08,2,3,1.04312419891357,bicycle,bicycle,4-3-10,1283_eid_s08_4-3-10_bicycle_10_n03792782_8113.JPEG
subject-08,2,4,0.799017906188965,cat,dog,64-0-10,1284_eid_s08_64-0-10_dog_10_n02097130_5432.JPEG
subject-08,2,5,0.992769002914429,truck,truck,1-10-10,1285_eid_s08_1-10-10_truck_10_n03796401_3486.JPEG
subject-08,2,6,1.44075584411621,bottle,bottle,2-3-10,1286_eid_s08_2-3-10_bottle_10_n03983396_19006.JPEG
subject-08,2,7,0.640286922454834,bottle,bottle,4-10-10,1287_eid_s08_4-10-10_bottle_10_n03983396_11936.JPEG
subject-08,2,8,0.788933992385864,knife,bicycle,8-3-10,1288_eid_s08_8-3-10_bicycle_10_n02835271_2443.JPEG
subject-08,2,9,0.822949886322021,dog,oven,128-10-10,1289_eid_s08_128-10-10_oven_10_n04111531_10420.JPEG
subject-08,2,10,0.909088850021362,keyboard,car,64-3-10,1290_eid_s08_64-3-10_car_10_n03100240_2654.JPEG
subject-08,2,11,0.96533989906311,boat,elephant,4-10-10,1291_eid_s08_4-10-10_elephant_10_n02504013_22508.JPEG
subject-08,2,12,0.581837892532349,clock,bottle,128-3-10,1292_eid_s08_128-3-10_bottle_10_n03937543_11004.JPEG
subject-08,2,13,0.738089084625244,chair,keyboard,32-0-10,1293_eid_s08_32-0-10_keyboard_10_n03085013_26532.JPEG
subject-08,2,14,0.916244029998779,airplane,airplane,2-3-10,1294_eid_s08_2-3-10_airplane_10_n02690373_10931.JPEG
subject-08,2,15,0.764749050140381,car,car,2-0-10,1295_eid_s08_2-0-10_car_10_n02814533_4188.JPEG
subject-08,2,16,1.10509920120239,bicycle,knife,16-10-10,1296_eid_s08_16-10-10_knife_10_n03041632_8563.JPEG
subject-08,2,17,0.936933040618896,bear,airplane,128-0-10,1297_eid_s08_128-0-10_airplane_10_n02690373_1213.JPEG
subject-08,2,18,0.793292999267578,bird,bird,2-10-10,1298_eid_s08_2-10-10_bird_10_n01860187_5776.JPEG
