subj,session,trial,rt,object_response,category,condition,imagename
subject-04,1,1,0.791002988815308,cat,cat,true,0001_fc_s04_true_cat_35_n02123597_10760.png
subject-04,1,2,0.482635974884033,cat,cat,true,0002_fc_s04_true_cat_35_n02124075_7822.png
subject-04,1,3,NaN,na,clock,true,0003_fc_s04_true_clock_35_n04548280_8303.png
subject-04,1,4,0.800060033798218,truck,truck,true,0004_fc_s04_true_truck_35_n04467665_65113.png
subject-04,1,5,1.19077301025391,bear,bird,true,0005_fc_s04_true_bird_35_n02051845_7706.png
subject-04,1,6,0.628403902053833,clock,clock,true,0006_fc_s04_true_clock_35_n02708093_1831.png
subject-04,1,7,NaN,na,airplane,false,0007_fc_s04_false_airplane_35_n02690373_3139.png
subject-04,1,8,0.518152952194214,airplane,airplane,true,0008_fc_s04_true_airplane_35_n02690373_5866.png
subject-04,1,9,0.646835088729858,car,car,false,0009_fc_s04_false_car_35_n03100240_13681.png
subject-04,1,10,0.469771862030029,car,car,true,0010_fc_s04_true_car_35_n03100240_755.png
subject-04,1,11,0.767627000808716,truck,truck,true,0011_fc_s04_true_truck_35_n03796401_1446.png
subject-04,1,12,1.1900360584259,car,car,true,0012_fc_s04_true_car_35_n02814533_42308.png
subject-04,1,13,NaN,na,boat,false,0013_fc_s04_false_boat_35_n03344393_6456.png
subject-04,1,14,0.710602998733521,truck,truck,false,0014_fc_s04_false_truck_35_n03417042_7398.png
subject-04,1,15,NaN,na,bear,false,0015_fc_s04_false_bear_35_n02134418_2598.png
subject-04,1,16,1.2153799533844,bear,dog,false,0016_fc_s04_false_dog_35_n02097209_5457.png
subject-04,1,17,0.770023107528687,dog,dog,true,0017_fc_s04_true_dog_35_n02113023_2499.png
subject-04,1,18,0.868160963058472,bird,bird,true,0018_fc_s04_true_bird_35_n01843383_6338.png
subject-04,1,19,1.2607159614563,oven,oven,true,0019_fc_s04_true_oven_35_n04111531_9123.png
subject-04,1,20,0.60711407661438,cat,cat,true,0020_fc_s04_true_cat_35_n02123597_76.png
subject-04,1,21,0.481138944625854,cat,cat,true,0021_fc_s04_true_cat_35_n02124075_6134.png
subject-04,1,22,0.773540019989014,chair,chair,true,0022_fc_s04_true_chair_35_n04099969_421.png
subject-04,1,23,0.864037990570068,oven,oven,true,0023_fc_s04_true_oven_35_n04111531_22797.png
