subj,session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,0.787014961242676,bicycle,bicycle,1.5,0001_hp_s02_1.5_bicycle_10_n02835271_1525.png
subject-02,1,2,0.957194089889526,bird,bicycle,0.45,0002_hp_s02_0.45_bicycle_10_n03792782_14931.png
subject-02,1,3,0.787675142288208,car,knife,0.4,0003_hp_s02_0.4_knife_10_n03041632_15754.png
subject-02,1,4,0.518308877944946,cat,cat,1.5,0004_hp_s02_1.5_cat_10_n02123159_5325.png
subject-02,1,5,0.464627981185913,bear,bear,inf,0005_hp_s02_inf_bear_10_n02134418_5391.png
subject-02,1,6,0.580783843994141,bird,bird,inf,0006_hp_s02_inf_bird_10_n02013706_936.png
subject-02,1,7,0.6352698802948,keyboard,keyboard,inf,0007_hp_s02_inf_keyboard_10_n04505470_4467.png
subject-02,1,8,0.736233949661255,car,car,1.5,0008_hp_s02_1.5_car_10_n04285008_2942.png
subject-02,1,9,0.658519983291626,airplane,airplane,inf,0009_hp_s02_inf_airplane_10_n02690373_5277.png
subject-02,1,10,0.630131006240845,chair,chair,1.5,0010_hp_s02_1.5_chair_10_n03376595_7081.png
subject-02,1,11,0.784210920333862,elephant,elephant,1.5,0011_hp_s02_1.5_elephant_10_n02504458_4708.png
subject-02,1,12,0.830785036087036,cat,truck,0.4,0012_hp_s02_0.4_truck_10_n03417042_18450.png
subject-02,1,13,0.847432851791382,oven,cat,0.4,0013_hp_s02_0.4_cat_10_n02123597_5927.png
subject-02,1,14,0.839865922927856,keyboard,boat,1,0014_hp_s02_1_boat_10_n03662601_34149.png
subject-02,1,15,0.494457960128784,keyboard,keyboard,1,0015_hp_s02_1_keyboard_10_n04505470_1416.png
subject-02,1,16,1.04092383384705,knife,knife,1,0016_hp_s02_1_knife_10_n03041632_30248.png
subject-02,1,17,0.887248992919922,truck,bird,0.4,0017_hp_s02_0.4_bird_10_n02009229_1807.png
subject-02,1,18,0.687480926513672,bottle,bottle,1.5,0018_hp_s02_1.5_bottle_10_n04557648_6282.png
subject-02,1,19,0.741946935653687,bird,bird,1.5,0019_hp_s02_1.5_bird_10_n01819313_4091.png
subject-02,1,20,1.12664103507996,bear,oven,0.4,0020_hp_s02_0.4_oven_10_n04111531_22097.png
subject-02,1,21,1.177973985672,airplane,bird,1,0021_hp_s02_1_bird_10_n02027492_12501.png
subject-02,1,22,1.0323338508606,clock,clock,0.4,0022_hp_s02_0.4_clock_10_n02708093_321.png
subject-02,1,23,1.03262400627136,bottle,dog,0.45,0023_hp_s02_0.45_dog_10_n02099267_3007.png
subject-02,1,24,0.687268018722534,car,car,3,0024_hp_s02_3_car_10_n04285008_5869.png
subject-02,1,25,0.826084136962891,truck,oven,0.45,0025_hp_s02_0.45_oven_10_n04111531_14753.png
subject-02,1,26,1.00208902359009,chair,knife,3,0026_hp_s02_3_knife_10_n03041632_28710.png
subject-02,1,27,0.872714042663574,clock,bottle,0.4,0027_hp_s02_0.4_bottle_10_n03937543_2941.png
subject-02,1,28,0.84315299987793,airplane,airplane,3,0028_hp_s02_3_airplane_10_n02690373_5624.png
subject-02,1,29,0.751677989959717,chair,cat,1,0029_hp_s02_1_cat_10_n02123597_2323.png
subject-02,1,30,0.998151063919067,car,truck,0.55,0030_hp_s02_0.55_truck_10_n03417042_1991.png
subject-02,1,31,0.760765075683594,truck,truck,1.5,0031_hp_s02_1.5_truck_10_n03417042_4200.png
subject-02,1,32,0.861001014709473,bird,knife,0.4,0032_hp_s02_0.4_knife_10_n03041632_39836.png
subject-02,1,33,1.02153301239014,oven,bottle,0.7,0033_hp_s02_0.7_bottle_10_n03937543_9003.png
subject-02,1,34,0.792029857635498,bottle,bird,0.4,0034_hp_s02_0.4_bird_10_n01514859_10845.png
subject-02,1,35,0.730611085891724,keyboard,keyboard,0.7,0035_hp_s02_0.7_keyboard_10_n04505470_2623.png
subject-02,1,36,0.717216014862061,airplane,airplane,inf,0036_hp_s02_inf_airplane_10_n02690373_763.png
subject-02,1,37,1.07742094993591,dog,bicycle,inf,0037_hp_s02_inf_bicycle_10_n03792782_1769.png
subject-02,1,38,0.940211057662964,bicycle,dog,0.4,0038_hp_s02_0.4_dog_10_n02102973_7037.png
subject-02,1,39,0.634695053100586,bottle,bottle,1,0039_hp_s02_1_bottle_10_n03983396_16742.png
subject-02,1,40,0.610719203948975,cat,cat,0.7,0040_hp_s02_0.7_cat_10_n02123394_3144.png
subject-02,1,41,0.573222875595093,bottle,bottle,3,0041_hp_s02_3_bottle_10_n03983396_9604.png
subject-02,1,42,0.757571935653687,bear,dog,0.55,0042_hp_s02_0.55_dog_10_n02092002_7744.png
subject-02,1,43,0.828332185745239,airplane,boat,0.55,0043_hp_s02_0.55_boat_10_n02951358_31973.png
subject-02,1,44,0.698585987091064,airplane,airplane,inf,0044_hp_s02_inf_airplane_10_n02690373_5587.png
subject-02,1,45,0.67522406578064,bicycle,bicycle,1.5,0045_hp_s02_1.5_bicycle_10_n03792782_56348.png
subject-02,1,46,0.513705968856812,bottle,bottle,inf,0046_hp_s02_inf_bottle_10_n03937543_4062.png
subject-02,1,47,0.646174907684326,cat,cat,1.5,0047_hp_s02_1.5_cat_10_n02123045_9059.png
subject-02,1,48,0.754579067230225,elephant,oven,0.45,0048_hp_s02_0.45_oven_10_n04111531_9805.png
subject-02,1,49,0.585155963897705,keyboard,keyboard,1.5,0049_hp_s02_1.5_keyboard_10_n04505470_4363.png
subject-02,1,50,0.655784845352173,bear,bear,1.5,0050_hp_s02_1.5_bear_10_n02134418_2429.png
subject-02,1,51,0.948031902313232,car,chair,0.7,0051_hp_s02_0.7_chair_10_n04099969_9444.png
subject-02,1,52,0.786349773406982,bear,dog,1,0052_hp_s02_1_dog_10_n02086910_10565.png
subject-02,1,53,1.21671414375305,elephant,bear,0.7,0053_hp_s02_0.7_bear_10_n02134418_11602.png
subject-02,1,54,0.863285064697266,bicycle,dog,0.45,0054_hp_s02_0.45_dog_10_n02109961_787.png
subject-02,1,55,0.549717903137207,keyboard,keyboard,3,0055_hp_s02_3_keyboard_10_n03085013_6424.png
subject-02,1,56,0.750494003295898,oven,keyboard,0.45,0056_hp_s02_0.45_keyboard_10_n04505470_4944.png
subject-02,1,57,0.888757944107056,dog,dog,3,0057_hp_s02_3_dog_10_n02106166_1611.png
subject-02,1,58,0.619691133499146,boat,clock,0.4,0058_hp_s02_0.4_clock_10_n03196217_845.png
subject-02,1,59,0.689750194549561,chair,car,1.5,0059_hp_s02_1.5_car_10_n02814533_23456.png
subject-02,1,60,0.598468065261841,elephant,elephant,3,0060_hp_s02_3_elephant_10_n02504013_7139.png
subject-02,1,61,0.860985040664673,bird,bear,0.7,0061_hp_s02_0.7_bear_10_n02134084_8265.png
subject-02,1,62,0.837238788604736,boat,boat,0.7,0062_hp_s02_0.7_boat_10_n03344393_3978.png
subject-02,1,63,1.00006103515625,bottle,bottle,inf,0063_hp_s02_inf_bottle_10_n03983396_5934.png
subject-02,1,64,0.654504060745239,car,oven,0.4,0064_hp_s02_0.4_oven_10_n04111531_14279.png
subject-02,1,65,0.818773984909058,bicycle,keyboard,0.4,0065_hp_s02_0.4_keyboard_10_n04505470_4741.png
subject-02,1,66,0.481261014938354,oven,oven,inf,0066_hp_s02_inf_oven_10_n04111531_1847.png
subject-02,1,67,0.665845155715942,knife,knife,inf,0067_hp_s02_inf_knife_10_n03041632_41077.png
subject-02,1,68,1.06620311737061,oven,elephant,0.55,0068_hp_s02_0.55_elephant_10_n02504013_4379.png
subject-02,1,69,0.766700029373169,boat,truck,0.45,0069_hp_s02_0.45_truck_10_n03796401_1789.png
subject-02,1,70,0.44528603553772,keyboard,keyboard,inf,0070_hp_s02_inf_keyboard_10_n03085013_805.png
subject-02,1,71,0.661643028259277,elephant,elephant,3,0071_hp_s02_3_elephant_10_n02504013_23628.png
subject-02,1,72,0.484498977661133,car,car,1.5,0072_hp_s02_1.5_car_10_n04285008_9232.png
subject-02,1,73,0.600573062896729,bicycle,bicycle,3,0073_hp_s02_3_bicycle_10_n03792782_1344.png
subject-02,1,74,0.622772932052612,boat,cat,0.4,0074_hp_s02_0.4_cat_10_n02125311_8602.png
subject-02,1,75,0.901072978973389,oven,chair,1,0075_hp_s02_1_chair_10_n04429376_107.png
subject-02,1,76,0.731788873672485,truck,truck,1,0076_hp_s02_1_truck_10_n04467665_9941.png
