subj,session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.88630199432373,boat,oven,40,0001_lp_s01_40_oven_10_n04111531_283.png
subject-01,1,2,0.801005840301514,oven,knife,40,0002_lp_s01_40_knife_10_n03041632_28201.png
subject-01,1,3,0.825425148010254,bicycle,bicycle,1,0003_lp_s01_1_bicycle_10_n02835271_17184.png
subject-01,1,4,1.11818695068359,oven,chair,0,0004_lp_s01_0_chair_10_n04429376_8237.png
subject-01,1,5,0.526857852935791,car,car,1,0005_lp_s01_1_car_10_n04285008_39.png
subject-01,1,6,0.604899883270264,truck,truck,1,0006_lp_s01_1_truck_10_n03417042_20591.png
subject-01,1,7,0.667595863342285,bottle,bottle,3,0007_lp_s01_3_bottle_10_n03983396_12728.png
subject-01,1,8,0.89827299118042,clock,truck,40,0008_lp_s01_40_truck_10_n04467665_66876.png
subject-01,1,9,0.752087831497192,bottle,keyboard,1,0009_lp_s01_1_keyboard_10_n03085013_5950.png
subject-01,1,10,0.776526927947998,boat,boat,3,0010_lp_s01_3_boat_10_n03662601_14478.png
subject-01,1,11,0.637251138687134,oven,oven,0,0011_lp_s01_0_oven_10_n04111531_7189.png
subject-01,1,12,1.05365014076233,airplane,elephant,15,0012_lp_s01_15_elephant_10_n02504013_9393.png
subject-01,1,13,0.646176099777222,clock,clock,5,0013_lp_s01_5_clock_10_n02708093_8051.png
subject-01,1,14,0.976606130599976,boat,bear,10,0014_lp_s01_10_bear_10_n02134084_24187.png
subject-01,1,15,0.879180908203125,bear,bear,3,0015_lp_s01_3_bear_10_n02132136_6441.png
subject-01,1,16,0.663812160491943,airplane,airplane,0,0016_lp_s01_0_airplane_10_n02690373_9401.png
subject-01,1,17,1.03982281684875,oven,chair,7,0017_lp_s01_7_chair_10_n04099969_12456.png
subject-01,1,18,0.747899770736694,keyboard,keyboard,0,0018_lp_s01_0_keyboard_10_n03085013_12164.png
subject-01,1,19,0.740579843521118,bear,bear,1,0019_lp_s01_1_bear_10_n02132136_1584.png
subject-01,1,20,0.894881010055542,keyboard,bottle,40,0020_lp_s01_40_bottle_10_n02823428_5227.png
subject-01,1,21,1.02753901481628,oven,keyboard,15,0021_lp_s01_15_keyboard_10_n04505470_313.png
subject-01,1,22,0.743933916091919,keyboard,keyboard,7,0022_lp_s01_7_keyboard_10_n03085013_1188.png
subject-01,1,23,1.02824592590332,keyboard,oven,7,0023_lp_s01_7_oven_10_n04111531_14208.png
subject-01,1,24,0.990683794021606,car,bear,15,0024_lp_s01_15_bear_10_n02134418_5777.png
subject-01,1,25,0.775518178939819,knife,knife,7,0025_lp_s01_7_knife_10_n03041632_2153.png
subject-01,1,26,1.24583101272583,knife,knife,1,0026_lp_s01_1_knife_10_n03041632_2468.png
subject-01,1,27,1.40058302879333,chair,elephant,15,0027_lp_s01_15_elephant_10_n02504013_5887.png
subject-01,1,28,0.692824125289917,car,car,3,0028_lp_s01_3_car_10_n02814533_3202.png
subject-01,1,29,0.909262895584106,keyboard,chair,7,0029_lp_s01_7_chair_10_n02791124_57.png
subject-01,1,30,0.679983854293823,car,car,0,0030_lp_s01_0_car_10_n02814533_4689.png
subject-01,1,31,0.73462986946106,elephant,elephant,3,0031_lp_s01_3_elephant_10_n02504013_9021.png
subject-01,1,32,1.00304698944092,keyboard,cat,15,0032_lp_s01_15_cat_10_n02124075_13747.png
subject-01,1,33,0.843199014663696,cat,chair,15,0033_lp_s01_15_chair_10_n04429376_24434.png
subject-01,1,34,1.39620900154114,oven,clock,5,0034_lp_s01_5_clock_10_n03196217_2530.png
subject-01,1,35,1.24449419975281,boat,airplane,10,0035_lp_s01_10_airplane_10_n02690373_7432.png
subject-01,1,36,1.09885120391846,airplane,oven,10,0036_lp_s01_10_oven_10_n04111531_13795.png
subject-01,1,37,0.921186208724976,oven,oven,0,0037_lp_s01_0_oven_10_n04111531_22388.png
subject-01,1,38,0.807789087295532,elephant,elephant,5,0038_lp_s01_5_elephant_10_n02504458_10013.png
subject-01,1,39,1.28439283370972,keyboard,knife,40,0039_lp_s01_40_knife_10_n03041632_8468.png
subject-01,1,40,0.909032106399536,boat,boat,15,0040_lp_s01_15_boat_10_n03662601_16825.png
subject-01,1,41,0.548106908798218,oven,oven,3,0041_lp_s01_3_oven_10_n04111531_4370.png
subject-01,1,42,0.747783899307251,airplane,airplane,1,0042_lp_s01_1_airplane_10_n02690373_4079.png
subject-01,1,43,0.764305830001831,airplane,airplane,3,0043_lp_s01_3_airplane_10_n02690373_5870.png
subject-01,1,44,1.21092891693115,oven,knife,40,0044_lp_s01_40_knife_10_n03041632_10136.png
