subj,session,trial,rt,object_response,category,condition,imagename
subject-03,1,1,1.50023794174194,boat,boat,0.03,0000_nse_s03_0.03_boat_10_n04612504_1695.JPEG
subject-03,1,2,0.774657011032104,bottle,bottle,0.05,0001_nse_s03_0.05_bottle_10_n02823428_14159.JPEG
subject-03,1,3,0.726963996887207,airplane,airplane,0.00,0002_nse_s03_0.00_airplane_10_n02690373_1800.JPEG
subject-03,1,4,1.1153461933136,dog,dog,0.10,0003_nse_s03_0.10_dog_10_n02101388_10218.JPEG
subject-03,1,5,0.829036951065063,cat,cat,0.20,0004_nse_s03_0.20_cat_10_n02124075_3778.JPEG
subject-03,1,6,0.553772926330566,boat,chair,0.90,0005_nse_s03_0.90_chair_10_n02791124_1962.JPEG
subject-03,1,7,0.757393836975098,keyboard,keyboard,0.35,0006_nse_s03_0.35_keyboard_10_n04505470_6.JPEG
subject-03,1,8,0.763510942459106,oven,oven,0.05,0007_nse_s03_0.05_oven_10_n04111531_14568.JPEG
subject-03,1,9,0.570340871810913,cat,bear,0.05,0008_nse_s03_0.05_bear_10_n02133161_2756.JPEG
subject-03,1,10,0.982450008392334,clock,clock,0.03,0009_nse_s03_0.03_clock_10_n03196217_1172.JPEG
subject-03,1,11,0.593673944473267,clock,oven,0.60,0010_nse_s03_0.60_oven_10_n04111531_4951.JPEG
subject-03,1,12,0.545922994613647,clock,bicycle,0.60,0011_nse_s03_0.60_bicycle_10_n03792782_16212.JPEG
subject-03,1,13,0.625776052474976,clock,truck,0.60,0012_nse_s03_0.60_truck_10_n03796401_7249.JPEG
subject-03,1,14,0.586342096328735,cat,elephant,0.90,0013_nse_s03_0.90_elephant_10_n02504013_22633.JPEG
subject-03,1,15,0.538460969924927,clock,clock,0.00,0014_nse_s03_0.00_clock_10_n02708093_386.JPEG
subject-03,1,16,0.734277963638306,bicycle,bicycle,0.20,0015_nse_s03_0.20_bicycle_10_n03792782_8977.JPEG
subject-03,1,17,1.0870099067688,truck,truck,0.03,0016_nse_s03_0.03_truck_10_n04467665_27899.JPEG
subject-03,1,18,0.705773115158081,clock,clock,0.10,0017_nse_s03_0.10_clock_10_n04548280_5268.JPEG
subject-03,1,19,1.3105800151825,dog,dog,0.00,0018_nse_s03_0.00_dog_10_n02087394_14022.JPEG
subject-03,1,20,0.840723037719727,bird,dog,0.90,0019_nse_s03_0.90_dog_10_n02106166_9937.JPEG
subject-03,1,21,1.24599123001099,clock,clock,0.20,0020_nse_s03_0.20_clock_10_n03196217_1404.JPEG
subject-03,1,22,0.830436944961548,airplane,airplane,0.20,0021_nse_s03_0.20_airplane_10_n02690373_6046.JPEG
subject-03,1,23,0.980566024780273,clock,clock,0.90,0022_nse_s03_0.90_clock_10_n02708093_3591.JPEG
subject-03,1,24,0.761459827423096,oven,bear,0.35,0023_nse_s03_0.35_bear_10_n02134418_4886.JPEG
subject-03,1,25,0.459230184555054,boat,bird,0.90,0024_nse_s03_0.90_bird_10_n01820546_3262.JPEG
subject-03,1,26,0.670921802520752,keyboard,keyboard,0.00,0025_nse_s03_0.00_keyboard_10_n04505470_3553.JPEG
subject-03,1,27,0.667200088500977,chair,oven,0.00,0026_nse_s03_0.00_oven_10_n04111531_8193.JPEG
subject-03,1,28,1.40884399414062,cat,knife,0.03,0027_nse_s03_0.03_knife_10_n03041632_3617.JPEG
subject-03,1,29,0.585275888442993,cat,elephant,0.90,0028_nse_s03_0.90_elephant_10_n02504458_13310.JPEG
subject-03,1,30,0.83440089225769,car,car,0.35,0029_nse_s03_0.35_car_10_n04285008_3538.JPEG
subject-03,1,31,0.849082946777344,car,dog,0.10,0030_nse_s03_0.10_dog_10_n02105251_7056.JPEG
subject-03,1,32,0.698431968688965,cat,cat,0.03,0031_nse_s03_0.03_cat_10_n02123159_4265.JPEG
subject-03,1,33,0.643298149108887,dog,bicycle,0.90,0032_nse_s03_0.90_bicycle_10_n03792782_6804.JPEG
subject-03,1,34,0.841172933578491,elephant,elephant,0.05,0033_nse_s03_0.05_elephant_10_n02504013_4406.JPEG
subject-03,1,35,0.607973098754883,cat,cat,0.60,0034_nse_s03_0.60_cat_10_n02125311_5346.JPEG
subject-03,1,36,0.851289987564087,bird,chair,0.20,0035_nse_s03_0.20_chair_10_n04099969_7718.JPEG
subject-03,1,37,0.818147897720337,bird,cat,0.20,0036_nse_s03_0.20_cat_10_n02123597_8584.JPEG
subject-03,1,38,0.607774019241333,boat,bird,0.60,0037_nse_s03_0.60_bird_10_n01829413_5534.JPEG
subject-03,1,39,0.844184875488281,truck,truck,0.05,0038_nse_s03_0.05_truck_10_n03796401_25181.JPEG
subject-03,1,40,0.772422075271606,bicycle,bicycle,0.03,0039_nse_s03_0.03_bicycle_10_n03792782_72.JPEG
subject-03,1,41,0.654139995574951,cat,knife,0.35,0040_nse_s03_0.35_knife_10_n03041632_50996.JPEG
subject-03,1,42,0.720529079437256,clock,clock,0.10,0041_nse_s03_0.10_clock_10_n03196217_6752.JPEG
subject-03,1,43,0.733070135116577,cat,bottle,0.10,0042_nse_s03_0.10_bottle_10_n04557648_774.JPEG
subject-03,1,44,0.914478063583374,car,car,0.05,0043_nse_s03_0.05_car_10_n02814533_95276.JPEG
subject-03,1,45,0.774372100830078,airplane,airplane,0.00,0044_nse_s03_0.00_airplane_10_n02690373_290.JPEG
subject-03,1,46,0.833059072494507,bird,bear,0.60,0045_nse_s03_0.60_bear_10_n02133161_7996.JPEG
subject-03,1,47,0.761523962020874,keyboard,knife,0.20,0046_nse_s03_0.20_knife_10_n03041632_84048.JPEG
