subj,session,trial,rt,object_response,category,condition,imagename
subject-06,1,1,1.14298415184021,cat,dog,120,0001_ps_s06_120_dog_10_n02085936_8454.png
subject-06,1,2,0.513045072555542,bicycle,bicycle,90,0002_ps_s06_90_bicycle_10_n03792782_1155.png
subject-06,1,3,1.14172196388245,airplane,oven,150,0003_ps_s06_150_oven_10_n04111531_22466.png
subject-06,1,4,0.787711143493652,oven,oven,30,0004_ps_s06_30_oven_10_n04111531_8373.png
subject-06,1,5,0.748390913009644,boat,car,180,0005_ps_s06_180_car_10_n02814533_4403.png
subject-06,1,6,0.956813812255859,car,chair,90,0006_ps_s06_90_chair_10_n02791124_1115.png
subject-06,1,7,0.955426216125488,knife,knife,30,0007_ps_s06_30_knife_10_n03041632_26236.png
subject-06,1,8,0.647642135620117,clock,clock,30,0008_ps_s06_30_clock_10_n03196217_1618.png
subject-06,1,9,0.800235986709595,oven,oven,30,0009_ps_s06_30_oven_10_n04111531_13247.png
subject-06,1,10,0.568428993225098,boat,knife,180,0010_ps_s06_180_knife_10_n03041632_44019.png
subject-06,1,11,0.722570180892944,cat,boat,120,0011_ps_s06_120_boat_10_n02951358_10162.png
subject-06,1,12,0.680402040481567,oven,dog,150,0012_ps_s06_150_dog_10_n02096585_10029.png
subject-06,1,13,0.794156074523926,bear,oven,180,0013_ps_s06_180_oven_10_n04111531_22084.png
subject-06,1,14,0.862730979919434,knife,chair,120,0014_ps_s06_120_chair_10_n04429376_10438.png
subject-06,1,15,0.881447076797485,bear,bird,30,0015_ps_s06_30_bird_10_n01829413_7023.png
subject-06,1,16,0.757742881774902,cat,cat,30,0016_ps_s06_30_cat_10_n02123159_889.png
subject-06,1,17,0.933722972869873,bicycle,bicycle,0,0017_ps_s06_0_bicycle_10_n02835271_3677.png
subject-06,1,18,0.832249879837036,bird,bird,0,0018_ps_s06_0_bird_10_n01622779_5079.png
subject-06,1,19,0.732618093490601,elephant,elephant,60,0019_ps_s06_60_elephant_10_n02504458_6930.png
subject-06,1,20,0.701035022735596,bear,bear,0,0020_ps_s06_0_bear_10_n02134084_983.png
subject-06,1,21,1.0837140083313,cat,bird,150,0021_ps_s06_150_bird_10_n01614925_3867.png
subject-06,1,22,0.708081960678101,dog,dog,30,0022_ps_s06_30_dog_10_n02113023_2938.png
subject-06,1,23,0.614513874053955,cat,oven,180,0023_ps_s06_180_oven_10_n04111531_1009.png
subject-06,1,24,0.604990005493164,car,car,60,0024_ps_s06_60_car_10_n02814533_6716.png
subject-06,1,25,0.727349042892456,knife,knife,90,0025_ps_s06_90_knife_10_n03041632_44230.png
subject-06,1,26,0.888237953186035,car,car,30,0026_ps_s06_30_car_10_n02814533_14121.png
subject-06,1,27,1.06395697593689,car,car,0,0027_ps_s06_0_car_10_n02814533_3624.png
subject-06,1,28,0.594641923904419,car,car,0,0028_ps_s06_0_car_10_n03100240_5721.png
subject-06,1,29,0.663211107254028,car,car,60,0029_ps_s06_60_car_10_n03100240_8898.png
subject-06,1,30,0.807479858398438,keyboard,oven,90,0030_ps_s06_90_oven_10_n04111531_2371.png
subject-06,1,31,0.676054000854492,oven,chair,180,0031_ps_s06_180_chair_10_n02791124_4780.png
