subj,session,trial,rt,object_response,category,condition,imagename
subject-01,1,1,0.790414810180664,bottle,bottle,pow,0001_pow_s01_pow_bottle_35_n03983396_9695.png
subject-01,1,2,0.751901865005493,elephant,elephant,0,0002_pow_s01_0_elephant_35_n02504013_6141.png
subject-01,1,3,0.719691038131714,oven,oven,pow,0003_pow_s01_pow_oven_35_n04111531_892.png
subject-01,1,4,0.879903078079224,truck,truck,0,0004_pow_s01_0_truck_35_n04467665_57697.png
subject-01,1,5,0.772341966629028,boat,boat,pow,0005_pow_s01_pow_boat_35_n04612504_857.png
subject-01,1,6,0.940447092056274,boat,bear,0,0006_pow_s01_0_bear_35_n02134084_13029.png
subject-01,1,7,0.740814924240112,elephant,elephant,pow,0007_pow_s01_pow_elephant_35_n02504013_8534.png
subject-01,1,8,0.871114015579224,bicycle,bicycle,0,0008_pow_s01_0_bicycle_35_n03792782_70690.png
subject-01,1,9,1.03169894218445,knife,keyboard,pow,0009_pow_s01_pow_keyboard_35_n03085013_19416.png
subject-01,1,10,0.701861143112183,oven,oven,pow,0010_pow_s01_pow_oven_35_n04111531_11405.png
subject-01,1,11,0.561558961868286,car,car,0,0011_pow_s01_0_car_35_n03100240_9150.png
subject-01,1,12,0.76688289642334,bicycle,bicycle,0,0012_pow_s01_0_bicycle_35_n03792782_2435.png
subject-01,1,13,0.742214918136597,cat,cat,0,0013_pow_s01_0_cat_35_n02123394_593.png
subject-01,1,14,0.894476890563965,bird,bird,0,0014_pow_s01_0_bird_35_n01537544_292.png
subject-01,1,15,1.21550107002258,keyboard,keyboard,0,0015_pow_s01_0_keyboard_35_n03085013_10659.png
subject-01,1,16,1.26985812187195,keyboard,keyboard,0,0016_pow_s01_0_keyboard_35_n03085013_3656.png
subject-01,1,17,0.646929979324341,clock,clock,0,0017_pow_s01_0_clock_35_n02708093_2498.png
subject-01,1,18,0.58424711227417,cat,cat,0,0018_pow_s01_0_cat_35_n02125311_53223.png
subject-01,1,19,0.606603860855103,boat,boat,0,0019_pow_s01_0_boat_35_n02951358_5718.png
subject-01,1,20,0.637006044387817,oven,oven,pow,0020_pow_s01_pow_oven_35_n04111531_18949.png
subject-01,1,21,0.736653089523315,cat,cat,pow,0021_pow_s01_pow_cat_35_n02125311_40746.png
subject-01,1,22,0.658634185791016,clock,clock,0,0022_pow_s01_0_clock_35_n03196217_5300.png
subject-01,1,23,1.104651927948,keyboard,keyboard,pow,0023_pow_s01_pow_keyboard_35_n03085013_22386.png
subject-01,1,24,0.680783033370972,clock,clock,pow,0024_pow_s01_pow_clock_35_n02708093_6.png
subject-01,1,25,0.573356866836548,boat,boat,pow,0025_pow_s01_pow_boat_35_n04273569_23293.png
subject-01,1,26,0.703706979751587,truck,truck,0,0026_pow_s01_0_truck_35_n04467665_7290.png
subject-01,1,27,0.833797931671143,car,car,pow,0027_pow_s01_pow_car_35_n02814533_40913.png
subject-01,1,28,0.663934946060181,chair,chair,0,0028_pow_s01_0_chair_35_n03376595_6240.png
