subj,session,trial,rt,object_response,category,condition,imagename
subject-06,1,1,0.929453134536743,bird,bird,180,0001_rot_s06_180_bird_20_n02025239_3044.png
subject-06,1,2,0.881757974624634,cat,cat,90,0002_rot_s06_90_cat_20_n02123394_4894.png
subject-06,1,3,0.682650089263916,chair,oven,180,0003_rot_s06_180_oven_20_n04111531_3126.png
subject-06,1,4,0.855635166168213,airplane,airplane,90,0004_rot_s06_90_airplane_20_n02690373_5838.png
subject-06,1,5,0.777025938034058,elephant,elephant,270,0005_rot_s06_270_elephant_20_n02504013_1604.png
subject-06,1,6,1.19176697731018,chair,chair,90,0006_rot_s06_90_chair_20_n02791124_342.png
subject-06,1,7,0.797998905181885,keyboard,keyboard,90,0007_rot_s06_90_keyboard_20_n04505470_4358.png
subject-06,1,8,0.906421184539795,elephant,elephant,270,0008_rot_s06_270_elephant_20_n02504458_7472.png
subject-06,1,9,0.645190000534058,boat,boat,90,0009_rot_s06_90_boat_20_n04612504_7137.png
subject-06,1,10,0.667608022689819,bottle,bottle,180,0010_rot_s06_180_bottle_20_n04579145_1705.png
subject-06,1,11,0.819997072219849,dog,dog,270,0011_rot_s06_270_dog_20_n02086079_41215.png
subject-06,1,12,0.820532083511353,knife,knife,180,0012_rot_s06_180_knife_20_n03041632_27575.png
subject-06,1,13,0.818747997283936,bear,bear,270,0013_rot_s06_270_bear_20_n02134084_9857.png
subject-06,1,14,0.635200977325439,chair,chair,270,0014_rot_s06_270_chair_20_n04099969_2177.png
subject-06,1,15,1.25479483604431,knife,knife,90,0015_rot_s06_90_knife_20_n03041632_21818.png
subject-06,1,16,1.03943300247192,elephant,elephant,180,0016_rot_s06_180_elephant_20_n02504013_6584.png
subject-06,1,17,0.607829093933105,clock,clock,180,0017_rot_s06_180_clock_20_n02708093_135.png
subject-06,1,18,0.858325958251953,bird,bird,90,0018_rot_s06_90_bird_20_n01824575_4615.png
subject-06,1,19,0.732841014862061,cat,cat,180,0019_rot_s06_180_cat_20_n02123597_4459.png
subject-06,1,20,1.02530407905579,dog,oven,90,0020_rot_s06_90_oven_20_n04111531_4918.png
subject-06,1,21,0.931762933731079,elephant,elephant,270,0021_rot_s06_270_elephant_20_n02504013_5685.png
subject-06,1,22,0.754168033599854,keyboard,keyboard,270,0022_rot_s06_270_keyboard_20_n03085013_20736.png
subject-06,1,23,0.730302095413208,bicycle,bicycle,0,0023_rot_s06_0_bicycle_20_n03792782_14156.png
subject-06,1,24,0.860904932022095,cat,cat,0,0024_rot_s06_0_cat_20_n02123394_219.png
subject-06,1,25,0.921230792999268,bicycle,bicycle,90,0025_rot_s06_90_bicycle_20_n03792782_8217.png
subject-06,1,26,0.819252014160156,bird,bird,180,0026_rot_s06_180_bird_20_n01622779_1186.png
subject-06,1,27,0.819355964660645,keyboard,keyboard,270,0027_rot_s06_270_keyboard_20_n04505470_432.png
subject-06,1,28,0.603805065155029,clock,clock,0,0028_rot_s06_0_clock_20_n02708093_8032.png
subject-06,1,29,0.740463018417358,bear,bear,0,0029_rot_s06_0_bear_20_n02134084_3696.png
subject-06,1,30,1.06242799758911,dog,dog,90,0030_rot_s06_90_dog_20_n02088238_1681.png
subject-06,1,31,0.843974113464355,elephant,elephant,90,0031_rot_s06_90_elephant_20_n02504458_12555.png
subject-06,1,32,0.788064956665039,cat,keyboard,180,0032_rot_s06_180_keyboard_20_n03085013_18841.png
subject-06,1,33,1.04795002937317,clock,clock,90,0033_rot_s06_90_clock_20_n03196217_6358.png
subject-06,1,34,1.25671005249023,keyboard,clock,270,0034_rot_s06_270_clock_20_n03196217_6042.png
subject-06,1,35,0.793078899383545,bird,bird,180,0035_rot_s06_180_bird_20_n02027492_2457.png
subject-06,1,36,1.29147386550903,oven,bottle,0,0036_rot_s06_0_bottle_20_n04579145_2046.png
subject-06,1,37,0.75370192527771,truck,truck,90,0037_rot_s06_90_truck_20_n03417042_13243.png
subject-06,1,38,0.998076915740967,cat,cat,180,0038_rot_s06_180_cat_20_n02124075_15143.png
subject-06,1,39,0.982331991195679,elephant,elephant,0,0039_rot_s06_0_elephant_20_n02504458_1929.png
subject-06,1,40,0.935016870498657,dog,bear,0,0040_rot_s06_0_bear_20_n02133161_11313.png
subject-06,1,41,1.13338088989258,bird,bird,0,0041_rot_s06_0_bird_20_n01601694_11890.png
subject-06,1,42,0.941740989685059,keyboard,keyboard,270,0042_rot_s06_270_keyboard_20_n04505470_6638.png
subject-06,1,43,0.794266939163208,bird,bird,270,0043_rot_s06_270_bird_20_n01818515_6339.png
subject-06,1,44,1.07055902481079,oven,oven,180,0044_rot_s06_180_oven_20_n04111531_2006.png
subject-06,1,45,1.30665993690491,truck,truck,180,0045_rot_s06_180_truck_20_n03417042_22603.png
subject-06,1,46,0.928025960922241,chair,chair,270,0046_rot_s06_270_chair_20_n02791124_2091.png
subject-06,1,47,1.06461191177368,car,car,270,0047_rot_s06_270_car_20_n02814533_21120.png
subject-06,1,48,0.848427057266235,bicycle,bicycle,90,0048_rot_s06_90_bicycle_20_n03792782_551.png
subject-06,1,49,0.808763027191162,airplane,airplane,270,0049_rot_s06_270_airplane_20_n02690373_1277.png
subject-06,1,50,0.931046962738037,bottle,bottle,180,0050_rot_s06_180_bottle_20_n04591713_4038.png
subject-06,1,51,1.42147994041443,oven,clock,270,0051_rot_s06_270_clock_20_n04548280_548.png
subject-06,1,52,0.767340898513794,chair,chair,180,0052_rot_s06_180_chair_20_n04099969_12546.png
subject-06,1,53,0.782186985015869,boat,boat,90,0053_rot_s06_90_boat_20_n03344393_4214.png
subject-06,1,54,1.38865089416504,chair,bear,180,0054_rot_s06_180_bear_20_n02134084_11594.png
subject-06,1,55,0.726901054382324,chair,chair,90,0055_rot_s06_90_chair_20_n04099969_2694.png
subject-06,1,56,0.88752293586731,elephant,elephant,180,0056_rot_s06_180_elephant_20_n02504458_1506.png
subject-06,1,57,1.03973484039307,bottle,bottle,0,0057_rot_s06_0_bottle_20_n03983396_2926.png
subject-06,1,58,1.15413117408752,chair,clock,180,0058_rot_s06_180_clock_20_n03196217_8489.png
subject-06,1,59,0.813930034637451,car,car,0,0059_rot_s06_0_car_20_n03100240_7318.png
subject-06,1,60,1.39792799949646,keyboard,keyboard,0,0060_rot_s06_0_keyboard_20_n03085013_19439.png
subject-06,1,61,0.958668947219849,knife,knife,270,0061_rot_s06_270_knife_20_n03041632_10000.png
subject-06,1,62,1.03476309776306,bottle,bottle,90,0062_rot_s06_90_bottle_20_n04560804_13541.png
subject-06,1,63,0.757297992706299,clock,clock,270,0063_rot_s06_270_clock_20_n04548280_8585.png
subject-06,1,64,1.2633068561554,keyboard,keyboard,180,0064_rot_s06_180_keyboard_20_n03085013_24610.png
subject-06,1,65,1.00998902320862,cat,cat,0,0065_rot_s06_0_cat_20_n02123597_2895.png
subject-06,1,66,1.00051093101501,chair,chair,0,0066_rot_s06_0_chair_20_n04099969_64.png
subject-06,1,67,1.09240794181824,cat,bear,270,0067_rot_s06_270_bear_20_n02134084_7817.png
subject-06,1,68,0.853067874908447,bottle,bottle,0,0068_rot_s06_0_bottle_20_n02823428_4468.png
subject-06,1,69,0.889443874359131,car,car,180,0069_rot_s06_180_car_20_n02814533_15108.png
subject-06,1,70,0.790015935897827,airplane,airplane,270,0070_rot_s06_270_airplane_20_n02690373_6682.png
subject-06,1,71,0.758127927780151,chair,chair,270,0071_rot_s06_270_chair_20_n04099969_14691.png
subject-06,1,72,0.680238008499146,airplane,airplane,270,0072_rot_s06_270_airplane_20_n02690373_2440.png
subject-06,1,73,NaN,na,clock,90,0073_rot_s06_90_clock_20_n03196217_10640.png
subject-06,1,74,0.969047784805298,bear,bear,270,0074_rot_s06_270_bear_20_n02132136_6628.png
subject-06,1,75,0.737256050109863,chair,chair,90,0075_rot_s06_90_chair_20_n04099969_19571.png
subject-06,1,76,0.997399091720581,airplane,airplane,0,0076_rot_s06_0_airplane_20_n02690373_6096.png
