subj,session,trial,rt,object_response,category,condition,imagename
resnet50,4,1,NaN,knife,knife,0,0001_rot_dnn_0_knife_20_n03041632_8618.png
resnet50,4,2,NaN,knife,knife,0,0002_rot_dnn_0_knife_20_n03041632_51256.png
resnet50,4,3,NaN,knife,knife,0,0003_rot_dnn_0_knife_20_n03041632_27898.png
resnet50,4,4,NaN,knife,knife,0,0004_rot_dnn_0_knife_20_n03041632_32177.png
resnet50,4,5,NaN,knife,knife,0,0005_rot_dnn_0_knife_20_n03041632_23548.png
resnet50,4,6,NaN,knife,knife,0,0006_rot_dnn_0_knife_20_n03041632_41381.png
resnet50,4,7,NaN,knife,knife,0,0007_rot_dnn_0_knife_20_n03041632_24264.png
resnet50,4,8,NaN,knife,knife,0,0008_rot_dnn_0_knife_20_n03041632_45090.png
resnet50,4,9,NaN,knife,knife,0,0009_rot_dnn_0_knife_20_n03041632_87339.png
resnet50,4,10,NaN,chair,knife,0,0010_rot_dnn_0_knife_20_n03041632_96361.png
resnet50,4,11,NaN,knife,knife,0,0011_rot_dnn_0_knife_20_n03041632_7279.png
resnet50,4,12,NaN,knife,knife,0,0012_rot_dnn_0_knife_20_n03041632_44133.png
resnet50,4,13,NaN,knife,knife,0,0013_rot_dnn_0_knife_20_n03041632_49163.png
resnet50,4,14,NaN,knife,knife,0,0014_rot_dnn_0_knife_20_n03041632_18601.png
resnet50,4,15,NaN,knife,knife,0,0015_rot_dnn_0_knife_20_n03041632_99460.png
resnet50,4,16,NaN,knife,knife,0,0016_rot_dnn_0_knife_20_n03041632_30801.png
resnet50,4,17,NaN,knife,knife,0,0017_rot_dnn_0_knife_20_n03041632_9963.png
resnet50,4,18,NaN,knife,knife,0,0018_rot_dnn_0_knife_20_n03041632_11495.png
resnet50,4,19,NaN,knife,knife,0,0019_rot_dnn_0_knife_20_n03041632_4590.png
resnet50,4,20,NaN,knife,knife,0,0020_rot_dnn_0_knife_20_n03041632_23129.png
resnet50,4,21,NaN,keyboard,keyboard,0,0021_rot_dnn_0_keyboard_20_n03085013_21070.png
resnet50,4,22,NaN,keyboard,keyboard,0,0022_rot_dnn_0_keyboard_20_n04505470_5009.png
resnet50,4,23,NaN,keyboard,keyboard,0,0023_rot_dnn_0_keyboard_20_n03085013_3098.png
resnet50,4,24,NaN,keyboard,keyboard,0,0024_rot_dnn_0_keyboard_20_n03085013_20594.png
resnet50,4,25,NaN,keyboard,keyboard,0,0025_rot_dnn_0_keyboard_20_n04505470_3261.png
resnet50,4,26,NaN,keyboard,keyboard,0,0026_rot_dnn_0_keyboard_20_n04505470_8121.png
resnet50,4,27,NaN,keyboard,keyboard,0,0027_rot_dnn_0_keyboard_20_n04505470_64.png
resnet50,4,28,NaN,keyboard,keyboard,0,0028_rot_dnn_0_keyboard_20_n03085013_19687.png
resnet50,4,29,NaN,keyboard,keyboard,0,0029_rot_dnn_0_keyboard_20_n04505470_241.png
resnet50,4,30,NaN,chair,keyboard,0,0030_rot_dnn_0_keyboard_20_n03085013_23763.png
resnet50,4,31,NaN,keyboard,keyboard,0,0031_rot_dnn_0_keyboard_20_n03085013_20216.png
resnet50,4,32,NaN,keyboard,keyboard,0,0032_rot_dnn_0_keyboard_20_n03085013_23561.png
resnet50,4,33,NaN,keyboard,keyboard,0,0033_rot_dnn_0_keyboard_20_n04505470_4905.png
resnet50,4,34,NaN,keyboard,keyboard,0,0034_rot_dnn_0_keyboard_20_n03085013_32137.png
resnet50,4,35,NaN,keyboard,keyboard,0,0035_rot_dnn_0_keyboard_20_n04505470_590.png
resnet50,4,36,NaN,keyboard,keyboard,0,0036_rot_dnn_0_keyboard_20_n04505470_4109.png
resnet50,4,37,NaN,keyboard,keyboard,0,0037_rot_dnn_0_keyboard_20_n03085013_19818.png
resnet50,4,38,NaN,keyboard,keyboard,0,0038_rot_dnn_0_keyboard_20_n03085013_20990.png
resnet50,4,39,NaN,keyboard,keyboard,0,0039_rot_dnn_0_keyboard_20_n04505470_5175.png
resnet50,4,40,NaN,keyboard,keyboard,0,0040_rot_dnn_0_keyboard_20_n04505470_9473.png
resnet50,4,41,NaN,elephant,elephant,0,0041_rot_dnn_0_elephant_20_n02504013_6171.png
resnet50,4,42,NaN,elephant,elephant,0,0042_rot_dnn_0_elephant_20_n02504013_5918.png
