subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,1,1,NaN,knife,knife,0,0001_rot_dnn_0_knife_20_n03041632_8618.png
resnet50-train-60-epochs,1,2,NaN,cat,knife,0,0002_rot_dnn_0_knife_20_n03041632_51256.png
resnet50-train-60-epochs,1,3,NaN,bird,knife,0,0003_rot_dnn_0_knife_20_n03041632_27898.png
resnet50-train-60-epochs,1,4,NaN,knife,knife,0,0004_rot_dnn_0_knife_20_n03041632_32177.png
resnet50-train-60-epochs,1,5,NaN,knife,knife,0,0005_rot_dnn_0_knife_20_n03041632_23548.png
resnet50-train-60-epochs,1,6,NaN,knife,knife,0,0006_rot_dnn_0_knife_20_n03041632_41381.png
resnet50-train-60-epochs,1,7,NaN,truck,knife,0,0007_rot_dnn_0_knife_20_n03041632_24264.png
resnet50-train-60-epochs,1,8,NaN,knife,knife,0,0008_rot_dnn_0_knife_20_n03041632_45090.png
resnet50-train-60-epochs,1,9,NaN,bottle,knife,0,0009_rot_dnn_0_knife_20_n03041632_87339.png
resnet50-train-60-epochs,1,10,NaN,oven,knife,0,0010_rot_dnn_0_knife_20_n03041632_96361.png
resnet50-train-60-epochs,1,11,NaN,knife,knife,0,0011_rot_dnn_0_knife_20_n03041632_7279.png
resnet50-train-60-epochs,1,12,NaN,knife,knife,0,0012_rot_dnn_0_knife_20_n03041632_44133.png
resnet50-train-60-epochs,1,13,NaN,knife,knife,0,0013_rot_dnn_0_knife_20_n03041632_49163.png
resnet50-train-60-epochs,1,14,NaN,knife,knife,0,0014_rot_dnn_0_knife_20_n03041632_18601.png
resnet50-train-60-epochs,1,15,NaN,knife,knife,0,0015_rot_dnn_0_knife_20_n03041632_99460.png
resnet50-train-60-epochs,1,16,NaN,knife,knife,0,0016_rot_dnn_0_knife_20_n03041632_30801.png
resnet50-train-60-epochs,1,17,NaN,knife,knife,0,0017_rot_dnn_0_knife_20_n03041632_9963.png
resnet50-train-60-epochs,1,18,NaN,knife,knife,0,0018_rot_dnn_0_knife_20_n03041632_11495.png
resnet50-train-60-epochs,1,19,NaN,knife,knife,0,0019_rot_dnn_0_knife_20_n03041632_4590.png
resnet50-train-60-epochs,1,20,NaN,knife,knife,0,0020_rot_dnn_0_knife_20_n03041632_23129.png
resnet50-train-60-epochs,1,21,NaN,keyboard,keyboard,0,0021_rot_dnn_0_keyboard_20_n03085013_21070.png
resnet50-train-60-epochs,1,22,NaN,keyboard,keyboard,0,0022_rot_dnn_0_keyboard_20_n04505470_5009.png
resnet50-train-60-epochs,1,23,NaN,keyboard,keyboard,0,0023_rot_dnn_0_keyboard_20_n03085013_3098.png
resnet50-train-60-epochs,1,24,NaN,keyboard,keyboard,0,0024_rot_dnn_0_keyboard_20_n03085013_20594.png
resnet50-train-60-epochs,1,25,NaN,keyboard,keyboard,0,0025_rot_dnn_0_keyboard_20_n04505470_3261.png
resnet50-train-60-epochs,1,26,NaN,keyboard,keyboard,0,0026_rot_dnn_0_keyboard_20_n04505470_8121.png
resnet50-train-60-epochs,1,27,NaN,keyboard,keyboard,0,0027_rot_dnn_0_keyboard_20_n04505470_64.png
resnet50-train-60-epochs,1,28,NaN,keyboard,keyboard,0,0028_rot_dnn_0_keyboard_20_n03085013_19687.png
resnet50-train-60-epochs,1,29,NaN,keyboard,keyboard,0,0029_rot_dnn_0_keyboard_20_n04505470_241.png
resnet50-train-60-epochs,1,30,NaN,keyboard,keyboard,0,0030_rot_dnn_0_keyboard_20_n03085013_23763.png
resnet50-train-60-epochs,1,31,NaN,keyboard,keyboard,0,0031_rot_dnn_0_keyboard_20_n03085013_20216.png
resnet50-train-60-epochs,1,32,NaN,keyboard,keyboard,0,0032_rot_dnn_0_keyboard_20_n03085013_23561.png
resnet50-train-60-epochs,1,33,NaN,keyboard,keyboard,0,0033_rot_dnn_0_keyboard_20_n04505470_4905.png
resnet50-train-60-epochs,1,34,NaN,keyboard,keyboard,0,0034_rot_dnn_0_keyboard_20_n03085013_32137.png
resnet50-train-60-epochs,1,35,NaN,keyboard,keyboard,0,0035_rot_dnn_0_keyboard_20_n04505470_590.png
resnet50-train-60-epochs,1,36,NaN,keyboard,keyboard,0,0036_rot_dnn_0_keyboard_20_n04505470_4109.png
resnet50-train-60-epochs,1,37,NaN,keyboard,keyboard,0,0037_rot_dnn_0_keyboard_20_n03085013_19818.png
resnet50-train-60-epochs,1,38,NaN,keyboard,keyboard,0,0038_rot_dnn_0_keyboard_20_n03085013_20990.png
resnet50-train-60-epochs,1,39,NaN,keyboard,keyboard,0,0039_rot_dnn_0_keyboard_20_n04505470_5175.png
resnet50-train-60-epochs,1,40,NaN,keyboard,keyboard,0,0040_rot_dnn_0_keyboard_20_n04505470_9473.png
resnet50-train-60-epochs,1,41,NaN,elephant,elephant,0,0041_rot_dnn_0_elephant_20_n02504013_6171.png
resnet50-train-60-epochs,1,42,NaN,elephant,elephant,0,0042_rot_dnn_0_elephant_20_n02504013_5918.png
resnet50-train-60-epochs,1,43,NaN,elephant,elephant,0,0043_rot_dnn_0_elephant_20_n02504458_574.png
resnet50-train-60-epochs,1,44,NaN,elephant,elephant,0,0044_rot_dnn_0_elephant_20_n02504458_804.png
resnet50-train-60-epochs,1,45,NaN,elephant,elephant,0,0045_rot_dnn_0_elephant_20_n02504013_2787.png
resnet50-train-60-epochs,1,46,NaN,elephant,elephant,0,0046_rot_dnn_0_elephant_20_n02504458_8126.png
resnet50-train-60-epochs,1,47,NaN,elephant,elephant,0,0047_rot_dnn_0_elephant_20_n02504458_341.png
resnet50-train-60-epochs,1,48,NaN,elephant,elephant,0,0048_rot_dnn_0_elephant_20_n02504458_5288.png
resnet50-train-60-epochs,1,49,NaN,elephant,elephant,0,0049_rot_dnn_0_elephant_20_n02504013_6880.png
resnet50-train-60-epochs,1,50,NaN,elephant,elephant,0,0050_rot_dnn_0_elephant_20_n02504458_4228.png
resnet50-train-60-epochs,1,51,NaN,elephant,elephant,0,0051_rot_dnn_0_elephant_20_n02504458_7377.png
resnet50-train-60-epochs,1,52,NaN,elephant,elephant,0,0052_rot_dnn_0_elephant_20_n02504013_2332.png
resnet50-train-60-epochs,1,53,NaN,elephant,elephant,0,0053_rot_dnn_0_elephant_20_n02504013_4211.png
resnet50-train-60-epochs,1,54,NaN,elephant,elephant,0,0054_rot_dnn_0_elephant_20_n02504458_5141.png
resnet50-train-60-epochs,1,55,NaN,elephant,elephant,0,0055_rot_dnn_0_elephant_20_n02504458_1231.png
resnet50-train-60-epochs,1,56,NaN,elephant,elephant,0,0056_rot_dnn_0_elephant_20_n02504013_126.png
resnet50-train-60-epochs,1,57,NaN,elephant,elephant,0,0057_rot_dnn_0_elephant_20_n02504458_8052.png
resnet50-train-60-epochs,1,58,NaN,elephant,elephant,0,0058_rot_dnn_0_elephant_20_n02504458_5383.png
resnet50-train-60-epochs,1,59,NaN,elephant,elephant,0,0059_rot_dnn_0_elephant_20_n02504458_4883.png
resnet50-train-60-epochs,1,60,NaN,elephant,elephant,0,0060_rot_dnn_0_elephant_20_n02504458_8273.png
resnet50-train-60-epochs,1,61,NaN,bicycle,bicycle,0,0061_rot_dnn_0_bicycle_20_n02835271_17168.png
resnet50-train-60-epochs,1,62,NaN,bicycle,bicycle,0,0062_rot_dnn_0_bicycle_20_n03792782_15614.png
resnet50-train-60-epochs,1,63,NaN,oven,bicycle,0,0063_rot_dnn_0_bicycle_20_n03792782_67333.png
resnet50-train-60-epochs,1,64,NaN,bicycle,bicycle,0,0064_rot_dnn_0_bicycle_20_n02835271_9507.png
resnet50-train-60-epochs,1,65,NaN,bicycle,bicycle,0,0065_rot_dnn_0_bicycle_20_n03792782_6250.png
resnet50-train-60-epochs,1,66,NaN,cat,bicycle,0,0066_rot_dnn_0_bicycle_20_n03792782_15189.png
resnet50-train-60-epochs,1,67,NaN,chair,bicycle,0,0067_rot_dnn_0_bicycle_20_n02835271_6921.png
resnet50-train-60-epochs,1,68,NaN,bicycle,bicycle,0,0068_rot_dnn_0_bicycle_20_n02835271_12173.png
resnet50-train-60-epochs,1,69,NaN,bicycle,bicycle,0,0069_rot_dnn_0_bicycle_20_n03792782_17134.png
resnet50-train-60-epochs,1,70,NaN,bicycle,bicycle,0,0070_rot_dnn_0_bicycle_20_n02835271_2013.png
resnet50-train-60-epochs,1,71,NaN,bicycle,bicycle,0,0071_rot_dnn_0_bicycle_20_n03792782_38596.png
resnet50-train-60-epochs,1,72,NaN,bicycle,bicycle,0,0072_rot_dnn_0_bicycle_20_n02835271_5152.png
resnet50-train-60-epochs,1,73,NaN,bicycle,bicycle,0,0073_rot_dnn_0_bicycle_20_n03792782_11331.png
resnet50-train-60-epochs,1,74,NaN,bird,bicycle,0,0074_rot_dnn_0_bicycle_20_n03792782_176.png
resnet50-train-60-epochs,1,75,NaN,bicycle,bicycle,0,0075_rot_dnn_0_bicycle_20_n02835271_6147.png
resnet50-train-60-epochs,1,76,NaN,bicycle,bicycle,0,0076_rot_dnn_0_bicycle_20_n02835271_3832.png
resnet50-train-60-epochs,1,77,NaN,bicycle,bicycle,0,0077_rot_dnn_0_bicycle_20_n02835271_7570.png
resnet50-train-60-epochs,1,78,NaN,bicycle,bicycle,0,0078_rot_dnn_0_bicycle_20_n02835271_15468.png
resnet50-train-60-epochs,1,79,NaN,bicycle,bicycle,0,0079_rot_dnn_0_bicycle_20_n02835271_22994.png
resnet50-train-60-epochs,1,80,NaN,bicycle,bicycle,0,0080_rot_dnn_0_bicycle_20_n02835271_25945.png
resnet50-train-60-epochs,1,81,NaN,airplane,airplane,0,0081_rot_dnn_0_airplane_20_n02690373_20071.png
resnet50-train-60-epochs,1,82,NaN,airplane,airplane,0,0082_rot_dnn_0_airplane_20_n02690373_8583.png
resnet50-train-60-epochs,1,83,NaN,airplane,airplane,0,0083_rot_dnn_0_airplane_20_n02690373_5689.png
resnet50-train-60-epochs,1,84,NaN,truck,airplane,0,0084_rot_dnn_0_airplane_20_n02690373_1451.png
resnet50-train-60-epochs,1,85,NaN,keyboard,airplane,0,0085_rot_dnn_0_airplane_20_n02690373_1975.png
resnet50-train-60-epochs,1,86,NaN,airplane,airplane,0,0086_rot_dnn_0_airplane_20_n02690373_2010.png
resnet50-train-60-epochs,1,87,NaN,airplane,airplane,0,0087_rot_dnn_0_airplane_20_n02690373_3451.png
resnet50-train-60-epochs,1,88,NaN,airplane,airplane,0,0088_rot_dnn_0_airplane_20_n02690373_10723.png
resnet50-train-60-epochs,1,89,NaN,airplane,airplane,0,0089_rot_dnn_0_airplane_20_n02690373_7408.png
resnet50-train-60-epochs,1,90,NaN,airplane,airplane,0,0090_rot_dnn_0_airplane_20_n02690373_5487.png
resnet50-train-60-epochs,1,91,NaN,airplane,airplane,0,0091_rot_dnn_0_airplane_20_n02690373_1492.png
resnet50-train-60-epochs,1,92,NaN,airplane,airplane,0,0092_rot_dnn_0_airplane_20_n02690373_13318.png
resnet50-train-60-epochs,1,93,NaN,airplane,airplane,0,0093_rot_dnn_0_airplane_20_n02690373_17694.png
resnet50-train-60-epochs,1,94,NaN,airplane,airplane,0,0094_rot_dnn_0_airplane_20_n02690373_3696.png
resnet50-train-60-epochs,1,95,NaN,airplane,airplane,0,0095_rot_dnn_0_airplane_20_n02690373_18603.png
resnet50-train-60-epochs,1,96,NaN,airplane,airplane,0,0096_rot_dnn_0_airplane_20_n02690373_3613.png
resnet50-train-60-epochs,1,97,NaN,airplane,airplane,0,0097_rot_dnn_0_airplane_20_n02690373_744.png
resnet50-train-60-epochs,1,98,NaN,airplane,airplane,0,0098_rot_dnn_0_airplane_20_n02690373_883.png
resnet50-train-60-epochs,1,99,NaN,airplane,airplane,0,0099_rot_dnn_0_airplane_20_n02690373_13591.png
resnet50-train-60-epochs,1,100,NaN,airplane,airplane,0,0100_rot_dnn_0_airplane_20_n02690373_2787.png
resnet50-train-60-epochs,1,101,NaN,clock,clock,0,0101_rot_dnn_0_clock_20_n04548280_7069.png
resnet50-train-60-epochs,1,102,NaN,bottle,clock,0,0102_rot_dnn_0_clock_20_n02708093_1356.png
resnet50-train-60-epochs,1,103,NaN,clock,clock,0,0103_rot_dnn_0_clock_20_n04548280_4862.png
resnet50-train-60-epochs,1,104,NaN,chair,clock,0,0104_rot_dnn_0_clock_20_n04548280_8429.png
resnet50-train-60-epochs,1,105,NaN,clock,clock,0,0105_rot_dnn_0_clock_20_n03196217_85.png
resnet50-train-60-epochs,1,106,NaN,clock,clock,0,0106_rot_dnn_0_clock_20_n04548280_5072.png
resnet50-train-60-epochs,1,107,NaN,keyboard,clock,0,0107_rot_dnn_0_clock_20_n04548280_2712.png
resnet50-train-60-epochs,1,108,NaN,clock,clock,0,0108_rot_dnn_0_clock_20_n02708093_4833.png
resnet50-train-60-epochs,1,109,NaN,clock,clock,0,0109_rot_dnn_0_clock_20_n04548280_1108.png
resnet50-train-60-epochs,1,110,NaN,clock,clock,0,0110_rot_dnn_0_clock_20_n04548280_1619.png
resnet50-train-60-epochs,1,111,NaN,clock,clock,0,0111_rot_dnn_0_clock_20_n02708093_1569.png
resnet50-train-60-epochs,1,112,NaN,keyboard,clock,0,0112_rot_dnn_0_clock_20_n04548280_3677.png
resnet50-train-60-epochs,1,113,NaN,clock,clock,0,0113_rot_dnn_0_clock_20_n04548280_6046.png
resnet50-train-60-epochs,1,114,NaN,clock,clock,0,0114_rot_dnn_0_clock_20_n03196217_6538.png
resnet50-train-60-epochs,1,115,NaN,clock,clock,0,0115_rot_dnn_0_clock_20_n03196217_5995.png
resnet50-train-60-epochs,1,116,NaN,clock,clock,0,0116_rot_dnn_0_clock_20_n02708093_6610.png
resnet50-train-60-epochs,1,117,NaN,clock,clock,0,0117_rot_dnn_0_clock_20_n02708093_3500.png
resnet50-train-60-epochs,1,118,NaN,truck,clock,0,0118_rot_dnn_0_clock_20_n02708093_451.png
resnet50-train-60-epochs,1,119,NaN,clock,clock,0,0119_rot_dnn_0_clock_20_n02708093_3172.png
resnet50-train-60-epochs,1,120,NaN,clock,clock,0,0120_rot_dnn_0_clock_20_n02708093_772.png
resnet50-train-60-epochs,1,121,NaN,oven,oven,0,0121_rot_dnn_0_oven_20_n04111531_8353.png
resnet50-train-60-epochs,1,122,NaN,oven,oven,0,0122_rot_dnn_0_oven_20_n04111531_519.png
resnet50-train-60-epochs,1,123,NaN,oven,oven,0,0123_rot_dnn_0_oven_20_n04111531_4685.png
resnet50-train-60-epochs,1,124,NaN,oven,oven,0,0124_rot_dnn_0_oven_20_n04111531_8441.png
resnet50-train-60-epochs,1,125,NaN,oven,oven,0,0125_rot_dnn_0_oven_20_n04111531_1567.png
resnet50-train-60-epochs,1,126,NaN,oven,oven,0,0126_rot_dnn_0_oven_20_n04111531_10681.png
resnet50-train-60-epochs,1,127,NaN,oven,oven,0,0127_rot_dnn_0_oven_20_n04111531_1828.png
resnet50-train-60-epochs,1,128,NaN,oven,oven,0,0128_rot_dnn_0_oven_20_n04111531_663.png
resnet50-train-60-epochs,1,129,NaN,oven,oven,0,0129_rot_dnn_0_oven_20_n04111531_5102.png
resnet50-train-60-epochs,1,130,NaN,oven,oven,0,0130_rot_dnn_0_oven_20_n04111531_1295.png
resnet50-train-60-epochs,1,131,NaN,oven,oven,0,0131_rot_dnn_0_oven_20_n04111531_9308.png
resnet50-train-60-epochs,1,132,NaN,oven,oven,0,0132_rot_dnn_0_oven_20_n04111531_2427.png
resnet50-train-60-epochs,1,133,NaN,oven,oven,0,0133_rot_dnn_0_oven_20_n04111531_20028.png
resnet50-train-60-epochs,1,134,NaN,oven,oven,0,0134_rot_dnn_0_oven_20_n04111531_690.png
resnet50-train-60-epochs,1,135,NaN,oven,oven,0,0135_rot_dnn_0_oven_20_n04111531_2023.png
resnet50-train-60-epochs,1,136,NaN,oven,oven,0,0136_rot_dnn_0_oven_20_n04111531_10220.png
resnet50-train-60-epochs,1,137,NaN,oven,oven,0,0137_rot_dnn_0_oven_20_n04111531_10769.png
resnet50-train-60-epochs,1,138,NaN,oven,oven,0,0138_rot_dnn_0_oven_20_n04111531_10802.png
resnet50-train-60-epochs,1,139,NaN,truck,oven,0,0139_rot_dnn_0_oven_20_n04111531_13113.png
resnet50-train-60-epochs,1,140,NaN,chair,oven,0,0140_rot_dnn_0_oven_20_n04111531_1150.png
resnet50-train-60-epochs,1,141,NaN,chair,chair,0,0141_rot_dnn_0_chair_20_n03376595_697.png
resnet50-train-60-epochs,1,142,NaN,chair,chair,0,0142_rot_dnn_0_chair_20_n03376595_849.png
resnet50-train-60-epochs,1,143,NaN,chair,chair,0,0143_rot_dnn_0_chair_20_n04429376_23092.png
resnet50-train-60-epochs,1,144,NaN,chair,chair,0,0144_rot_dnn_0_chair_20_n03376595_16197.png
resnet50-train-60-epochs,1,145,NaN,chair,chair,0,0145_rot_dnn_0_chair_20_n02791124_2058.png
resnet50-train-60-epochs,1,146,NaN,chair,chair,0,0146_rot_dnn_0_chair_20_n04099969_23387.png
resnet50-train-60-epochs,1,147,NaN,chair,chair,0,0147_rot_dnn_0_chair_20_n02791124_7602.png
resnet50-train-60-epochs,1,148,NaN,chair,chair,0,0148_rot_dnn_0_chair_20_n02791124_7174.png
resnet50-train-60-epochs,1,149,NaN,chair,chair,0,0149_rot_dnn_0_chair_20_n03376595_7755.png
resnet50-train-60-epochs,1,150,NaN,chair,chair,0,0150_rot_dnn_0_chair_20_n04099969_6360.png
