subj,session,trial,rt,object_response,category,condition,imagename
subject-03,1,1,1.15690112113953,airplane,keyboard,0,0001_sif_s03_0_keyboard_00_keyboard6.png
subject-03,1,2,0.741537094116211,bottle,bottle,0,0002_sif_s03_0_bottle_00_bottle3.png
subject-03,1,3,1.14191222190857,airplane,car,0,0003_sif_s03_0_car_00_car6.png
subject-03,1,4,0.972694873809814,bear,car,0,0004_sif_s03_0_car_00_car5.png
subject-03,1,5,1.48520588874817,oven,clock,0,0005_sif_s03_0_clock_00_clock7.png
subject-03,1,6,0.869205951690674,oven,oven,0,0006_sif_s03_0_oven_00_oven2.png
subject-03,1,7,0.629884004592896,chair,chair,0,0007_sif_s03_0_chair_00_chair7.png
subject-03,1,8,0.920548915863037,dog,elephant,0,0008_sif_s03_0_elephant_00_elephant10.png
subject-03,1,9,0.886496067047119,airplane,airplane,0,0009_sif_s03_0_airplane_00_airplane6.png
subject-03,1,10,0.469182968139648,cat,cat,0,0010_sif_s03_0_cat_00_cat7.png
subject-03,1,11,0.943207025527954,truck,truck,0,0011_sif_s03_0_truck_00_truck10.png
subject-03,1,12,1.04149198532104,bear,bear,0,0012_sif_s03_0_bear_00_bear5.png
subject-03,1,13,0.801635980606079,airplane,airplane,0,0013_sif_s03_0_airplane_00_airplane9.png
subject-03,1,14,0.638286113739014,airplane,airplane,0,0014_sif_s03_0_airplane_00_airplane4.png
subject-03,1,15,1.08292388916016,clock,clock,0,0015_sif_s03_0_clock_00_clock4.png
subject-03,1,16,0.935027837753296,clock,clock,0,0016_sif_s03_0_clock_00_clock5.png
subject-03,1,17,0.595327138900757,chair,chair,0,0017_sif_s03_0_chair_00_chair10.png
subject-03,1,18,0.547772884368896,cat,cat,0,0018_sif_s03_0_cat_00_cat6.png
subject-03,1,19,0.730591058731079,dog,dog,0,0019_sif_s03_0_dog_00_dog7.png
subject-03,1,20,0.888685941696167,knife,boat,0,0020_sif_s03_0_boat_00_boat8.png
subject-03,1,21,0.773348093032837,airplane,airplane,0,0021_sif_s03_0_airplane_00_airplane3.png
subject-03,1,22,0.823537826538086,dog,dog,0,0022_sif_s03_0_dog_00_dog6.png
