subj,session,trial,rt,object_response,category,condition,imagename
alexnet,1,1,NaN,bicycle,airplane,0,0001_scg_dnn_0_airplane_00_airplane1-bicycle2.png
alexnet,1,2,NaN,boat,airplane,0,0002_scg_dnn_0_airplane_00_airplane1-chair2.png
alexnet,1,3,NaN,dog,airplane,0,0003_scg_dnn_0_airplane_00_airplane1-clock1.png
alexnet,1,4,NaN,chair,airplane,0,0004_scg_dnn_0_airplane_00_airplane1-elephant1.png
alexnet,1,5,NaN,airplane,airplane,0,0005_scg_dnn_0_airplane_00_airplane10-airplane1.png
alexnet,1,6,NaN,bear,airplane,0,0006_scg_dnn_0_airplane_00_airplane10-bear3.png
alexnet,1,7,NaN,truck,airplane,0,0007_scg_dnn_0_airplane_00_airplane10-boat3.png
alexnet,1,8,NaN,car,airplane,0,0008_scg_dnn_0_airplane_00_airplane10-car3.png
alexnet,1,9,NaN,dog,airplane,0,0009_scg_dnn_0_airplane_00_airplane10-cat2.png
alexnet,1,10,NaN,dog,airplane,0,0010_scg_dnn_0_airplane_00_airplane10-dog3.png
alexnet,1,11,NaN,dog,airplane,0,0011_scg_dnn_0_airplane_00_airplane10-elephant1.png
alexnet,1,12,NaN,knife,airplane,0,0012_scg_dnn_0_airplane_00_airplane10-knife3.png
alexnet,1,13,NaN,oven,airplane,0,0013_scg_dnn_0_airplane_00_airplane10-oven2.png
alexnet,1,14,NaN,car,airplane,0,0014_scg_dnn_0_airplane_00_airplane10-truck1.png
alexnet,1,15,NaN,bear,airplane,0,0015_scg_dnn_0_airplane_00_airplane2-bear1.png
alexnet,1,16,NaN,bicycle,airplane,0,0016_scg_dnn_0_airplane_00_airplane2-bicycle1.png
alexnet,1,17,NaN,knife,airplane,0,0017_scg_dnn_0_airplane_00_airplane2-bird3.png
alexnet,1,18,NaN,bottle,airplane,0,0018_scg_dnn_0_airplane_00_airplane2-bottle1.png
alexnet,1,19,NaN,cat,airplane,0,0019_scg_dnn_0_airplane_00_airplane2-cat1.png
alexnet,1,20,NaN,dog,airplane,0,0020_scg_dnn_0_airplane_00_airplane2-dog1.png
alexnet,1,21,NaN,chair,airplane,0,0021_scg_dnn_0_airplane_00_airplane3-airplane2.png
alexnet,1,22,NaN,bottle,airplane,0,0022_scg_dnn_0_airplane_00_airplane3-car1.png
alexnet,1,23,NaN,dog,airplane,0,0023_scg_dnn_0_airplane_00_airplane3-cat1.png
alexnet,1,24,NaN,truck,airplane,0,0024_scg_dnn_0_airplane_00_airplane3-chair3.png
alexnet,1,25,NaN,bicycle,airplane,0,0025_scg_dnn_0_airplane_00_airplane3-clock1.png
alexnet,1,26,NaN,dog,airplane,0,0026_scg_dnn_0_airplane_00_airplane3-dog1.png
alexnet,1,27,NaN,bird,airplane,0,0027_scg_dnn_0_airplane_00_airplane3-elephant1.png
alexnet,1,28,NaN,keyboard,airplane,0,0028_scg_dnn_0_airplane_00_airplane3-keyboard2.png
alexnet,1,29,NaN,airplane,airplane,0,0029_scg_dnn_0_airplane_00_airplane3-oven1.png
alexnet,1,30,NaN,airplane,airplane,0,0030_scg_dnn_0_airplane_00_airplane4-airplane1.png
alexnet,1,31,NaN,dog,airplane,0,0031_scg_dnn_0_airplane_00_airplane4-bear3.png
alexnet,1,32,NaN,bird,airplane,0,0032_scg_dnn_0_airplane_00_airplane4-bicycle2.png
alexnet,1,33,NaN,knife,airplane,0,0033_scg_dnn_0_airplane_00_airplane4-bird3.png
alexnet,1,34,NaN,truck,airplane,0,0034_scg_dnn_0_airplane_00_airplane4-boat3.png
alexnet,1,35,NaN,bottle,airplane,0,0035_scg_dnn_0_airplane_00_airplane4-bottle1.png
alexnet,1,36,NaN,knife,airplane,0,0036_scg_dnn_0_airplane_00_airplane4-car1.png
alexnet,1,37,NaN,bird,airplane,0,0037_scg_dnn_0_airplane_00_airplane4-cat3.png
alexnet,1,38,NaN,cat,airplane,0,0038_scg_dnn_0_airplane_00_airplane4-dog2.png
alexnet,1,39,NaN,elephant,airplane,0,0039_scg_dnn_0_airplane_00_airplane4-elephant1.png
alexnet,1,40,NaN,airplane,airplane,0,0040_scg_dnn_0_airplane_00_airplane4-keyboard3.png
alexnet,1,41,NaN,chair,airplane,0,0041_scg_dnn_0_airplane_00_airplane4-knife1.png
alexnet,1,42,NaN,chair,airplane,0,0042_scg_dnn_0_airplane_00_airplane4-truck2.png
alexnet,1,43,NaN,bear,airplane,0,0043_scg_dnn_0_airplane_00_airplane5-bear2.png
alexnet,1,44,NaN,bicycle,airplane,0,0044_scg_dnn_0_airplane_00_airplane5-bicycle1.png
alexnet,1,45,NaN,bird,airplane,0,0045_scg_dnn_0_airplane_00_airplane5-bird2.png
alexnet,1,46,NaN,truck,airplane,0,0046_scg_dnn_0_airplane_00_airplane5-boat3.png
alexnet,1,47,NaN,bottle,airplane,0,0047_scg_dnn_0_airplane_00_airplane5-bottle3.png
alexnet,1,48,NaN,airplane,airplane,0,0048_scg_dnn_0_airplane_00_airplane5-chair3.png
alexnet,1,49,NaN,dog,airplane,0,0049_scg_dnn_0_airplane_00_airplane5-dog3.png
alexnet,1,50,NaN,knife,airplane,0,0050_scg_dnn_0_airplane_00_airplane5-knife1.png
