subj,session,trial,rt,object_response,category,condition,imagename
subject-07,1,1,0.664959192276001,car,car,0,0001_scg_s07_0_car_00_car4-clock1.png
subject-07,1,2,1.00688815116882,elephant,elephant,0,0002_scg_s07_0_elephant_00_elephant4-oven1.png
subject-07,1,3,0.898613929748535,bear,bear,0,0003_scg_s07_0_bear_00_bear9-dog1.png
subject-07,1,4,0.988832950592041,bicycle,bicycle,0,0004_scg_s07_0_bicycle_00_bicycle4-chair2.png
subject-07,1,5,0.793652057647705,oven,knife,0,0005_scg_s07_0_knife_00_knife5-dog1.png
subject-07,1,6,0.743623018264771,truck,truck,0,0006_scg_s07_0_truck_00_truck3-bird2.png
subject-07,1,7,1.22504091262817,oven,oven,0,0007_scg_s07_0_oven_00_oven9-bird3.png
subject-07,1,8,1.13893914222717,elephant,elephant,0,0008_scg_s07_0_elephant_00_elephant9-chair2.png
subject-07,1,9,0.882704019546509,car,car,0,0009_scg_s07_0_car_00_car4-car2.png
subject-07,1,10,1.01065683364868,bottle,keyboard,0,0010_scg_s07_0_keyboard_00_keyboard10-oven3.png
subject-07,1,11,0.884042024612427,knife,knife,0,0011_scg_s07_0_knife_00_knife2-bear2.png
subject-07,1,12,0.976330995559692,clock,clock,0,0012_scg_s07_0_clock_00_clock6-clock2.png
subject-07,1,13,0.896730899810791,bicycle,bicycle,0,0013_scg_s07_0_bicycle_00_bicycle5-chair2.png
subject-07,1,14,0.9045250415802,car,car,0,0014_scg_s07_0_car_00_car1-car2.png
subject-07,1,15,0.756637811660767,cat,boat,0,0015_scg_s07_0_boat_00_boat6-cat1.png
subject-07,1,16,0.816567897796631,bird,bird,0,0016_scg_s07_0_bird_00_bird1-clock3.png
subject-07,1,17,0.574216842651367,clock,clock,0,0017_scg_s07_0_clock_00_clock1-boat3.png
subject-07,1,18,0.688076019287109,clock,clock,0,0018_scg_s07_0_clock_00_clock2-bottle3.png
subject-07,1,19,0.755934000015259,keyboard,keyboard,0,0019_scg_s07_0_keyboard_00_keyboard8-keyboard2.png
subject-07,1,20,0.867913007736206,clock,clock,0,0020_scg_s07_0_clock_00_clock8-oven3.png
subject-07,1,21,0.998193979263306,knife,knife,0,0021_scg_s07_0_knife_00_knife8-boat1.png
subject-07,1,22,0.666324138641357,car,car,0,0022_scg_s07_0_car_00_car6-bicycle3.png
subject-07,1,23,0.953539133071899,bird,bird,0,0023_scg_s07_0_bird_00_bird2-car3.png
subject-07,1,24,0.745170831680298,boat,boat,0,0024_scg_s07_0_boat_00_boat4-chair2.png
subject-07,1,25,0.795082092285156,bear,bear,0,0025_scg_s07_0_bear_00_bear4-cat3.png
subject-07,1,26,0.963243007659912,bird,bird,0,0026_scg_s07_0_bird_00_bird9-bicycle3.png
subject-07,1,27,0.684245109558105,keyboard,keyboard,0,0027_scg_s07_0_keyboard_00_keyboard8-airplane2.png
subject-07,1,28,1.16745710372925,chair,elephant,0,0028_scg_s07_0_elephant_00_elephant3-keyboard2.png
subject-07,1,29,0.948183059692383,oven,boat,0,0029_scg_s07_0_boat_00_boat7-oven3.png
subject-07,1,30,0.645895957946777,car,car,0,0030_scg_s07_0_car_00_car7-boat3.png
subject-07,1,31,0.965301990509033,dog,dog,0,0031_scg_s07_0_dog_00_dog1-cat3.png
subject-07,1,32,1.24997615814209,chair,chair,0,0032_scg_s07_0_chair_00_chair1-airplane2.png
subject-07,1,33,0.894461154937744,dog,dog,0,0033_scg_s07_0_dog_00_dog9-airplane3.png
subject-07,1,34,0.867243051528931,chair,chair,0,0034_scg_s07_0_chair_00_chair5-keyboard2.png
subject-07,1,35,0.965153932571411,boat,keyboard,0,0035_scg_s07_0_keyboard_00_keyboard5-bear3.png
subject-07,1,36,0.74061393737793,bottle,bottle,0,0036_scg_s07_0_bottle_00_bottle9-bicycle1.png
subject-07,1,37,1.39385199546814,dog,dog,0,0037_scg_s07_0_dog_00_dog4-cat3.png
subject-07,1,38,0.790952920913696,car,car,0,0038_scg_s07_0_car_00_car6-truck3.png
subject-07,1,39,0.872373104095459,truck,truck,0,0039_scg_s07_0_truck_00_truck3-car3.png
subject-07,1,40,0.708862066268921,clock,clock,0,0040_scg_s07_0_clock_00_clock7-bear2.png
subject-07,1,41,1.07677006721497,oven,truck,0,0041_scg_s07_0_truck_00_truck4-airplane3.png
subject-07,1,42,0.941825866699219,bird,bird,0,0042_scg_s07_0_bird_00_bird10-cat1.png
subject-07,1,43,0.918113946914673,keyboard,keyboard,0,0043_scg_s07_0_keyboard_00_keyboard1-clock1.png
subject-07,1,44,0.67588996887207,car,car,0,0044_scg_s07_0_car_00_car2-bird3.png
subject-07,1,45,1.32695293426514,car,car,0,0045_scg_s07_0_car_00_car9-knife1.png
subject-07,1,46,0.917135953903198,knife,boat,0,0046_scg_s07_0_boat_00_boat1-elephant3.png
subject-07,1,47,0.660401105880737,bear,bear,0,0047_scg_s07_0_bear_00_bear8-elephant2.png
subject-07,1,48,0.849747896194458,dog,dog,0,0048_scg_s07_0_dog_00_dog9-bicycle3.png
subject-07,1,49,1.03260588645935,oven,boat,0,0049_scg_s07_0_boat_00_boat3-cat3.png
subject-07,1,50,0.846909046173096,knife,knife,0,0050_scg_s07_0_knife_00_knife2-dog1.png
subject-07,1,51,1.12034583091736,bicycle,bicycle,0,0051_scg_s07_0_bicycle_00_bicycle7-clock3.png
subject-07,1,52,1.15666913986206,knife,bird,0,0052_scg_s07_0_bird_00_bird6-oven1.png
subject-07,1,53,1.02425003051758,bear,bear,0,0053_scg_s07_0_bear_00_bear4-knife1.png
subject-07,1,54,0.889652967453003,keyboard,keyboard,0,0054_scg_s07_0_keyboard_00_keyboard4-bird1.png
subject-07,1,55,0.790011167526245,cat,cat,0,0055_scg_s07_0_cat_00_cat4-clock2.png
subject-07,1,56,1.04257392883301,elephant,elephant,0,0056_scg_s07_0_elephant_00_elephant9-dog3.png
subject-07,1,57,0.853258848190308,bird,bird,0,0057_scg_s07_0_bird_00_bird6-car3.png
subject-07,1,58,1.02709293365479,bicycle,bicycle,0,0058_scg_s07_0_bicycle_00_bicycle1-oven1.png
subject-07,1,59,0.802927017211914,clock,clock,0,0059_scg_s07_0_clock_00_clock6-car2.png
subject-07,1,60,0.855159997940063,car,dog,0,0060_scg_s07_0_dog_00_dog6-truck2.png
subject-07,1,61,0.766450166702271,clock,clock,0,0061_scg_s07_0_clock_00_clock4-bird3.png
subject-07,1,62,1.20337510108948,car,clock,0,0062_scg_s07_0_clock_00_clock9-keyboard2.png
subject-07,1,63,0.841058969497681,bear,bear,0,0063_scg_s07_0_bear_00_bear8-bottle1.png
subject-07,1,64,0.893532991409302,oven,oven,0,0064_scg_s07_0_oven_00_oven7-oven1.png
subject-07,1,65,1.01388502120972,keyboard,boat,0,0065_scg_s07_0_boat_00_boat8-oven1.png
subject-07,1,66,1.09777593612671,airplane,knife,0,0066_scg_s07_0_knife_00_knife4-airplane3.png
subject-07,1,67,0.811861038208008,bicycle,bicycle,0,0067_scg_s07_0_bicycle_00_bicycle9-bottle1.png
subject-07,1,68,0.893712043762207,bicycle,bicycle,0,0068_scg_s07_0_bicycle_00_bicycle10-clock2.png
subject-07,1,69,1.06748700141907,boat,boat,0,0069_scg_s07_0_boat_00_boat3-airplane2.png
subject-07,1,70,0.735994100570679,bottle,bottle,0,0070_scg_s07_0_bottle_00_bottle8-bird1.png
subject-07,1,71,NaN,na,cat,0,0071_scg_s07_0_cat_00_cat8-car2.png
subject-07,1,72,1.037034034729,elephant,elephant,0,0072_scg_s07_0_elephant_00_elephant4-chair3.png
subject-07,1,73,0.895163774490356,car,airplane,0,0073_scg_s07_0_airplane_00_airplane6-chair3.png
subject-07,1,74,0.746656894683838,bicycle,bicycle,0,0074_scg_s07_0_bicycle_00_bicycle1-airplane2.png
subject-07,1,75,1.46671319007874,cat,airplane,0,0075_scg_s07_0_airplane_00_airplane8-bicycle3.png
subject-07,1,76,0.766683101654053,keyboard,keyboard,0,0076_scg_s07_0_keyboard_00_keyboard6-car2.png
subject-07,1,77,0.748271942138672,bird,bird,0,0077_scg_s07_0_bird_00_bird7-boat1.png
subject-07,1,78,0.826940059661865,bottle,bottle,0,0078_scg_s07_0_bottle_00_bottle6-airplane1.png
subject-07,1,79,1.27037906646729,clock,clock,0,0079_scg_s07_0_clock_00_clock7-cat2.png
subject-07,1,80,0.85268497467041,car,car,0,0080_scg_s07_0_car_00_car10-elephant2.png
subject-07,1,81,0.888173818588257,oven,bottle,0,0081_scg_s07_0_bottle_00_bottle7-keyboard2.png
subject-07,1,82,0.868498086929321,chair,chair,0,0082_scg_s07_0_chair_00_chair9-boat2.png
subject-07,1,83,0.726068019866943,oven,oven,0,0083_scg_s07_0_oven_00_oven4-dog1.png
subject-07,1,84,0.786097049713135,cat,cat,0,0084_scg_s07_0_cat_00_cat4-airplane1.png
subject-07,1,85,1.24318599700928,elephant,elephant,0,0085_scg_s07_0_elephant_00_elephant3-cat2.png
subject-07,1,86,0.718647003173828,cat,cat,0,0086_scg_s07_0_cat_00_cat1-airplane1.png
subject-07,1,87,0.968786954879761,bear,bear,0,0087_scg_s07_0_bear_00_bear9-bottle2.png
subject-07,1,88,1.11200904846191,boat,cat,0,0088_scg_s07_0_cat_00_cat10-bicycle1.png
subject-07,1,89,0.818502902984619,bear,bear,0,0089_scg_s07_0_bear_00_bear3-cat1.png
subject-07,1,90,0.840629100799561,chair,chair,0,0090_scg_s07_0_chair_00_chair8-boat1.png
subject-07,1,91,0.747236967086792,knife,knife,0,0091_scg_s07_0_knife_00_knife2-bird1.png
subject-07,1,92,0.736760854721069,chair,chair,0,0092_scg_s07_0_chair_00_chair1-truck3.png
subject-07,1,93,1.32489800453186,elephant,elephant,0,0093_scg_s07_0_elephant_00_elephant5-bicycle3.png
subject-07,1,94,0.938637971878052,keyboard,keyboard,0,0094_scg_s07_0_keyboard_00_keyboard6-bottle2.png
subject-07,1,95,0.6822350025177,bird,bird,0,0095_scg_s07_0_bird_00_bird1-boat1.png
subject-07,1,96,0.909837007522583,airplane,airplane,0,0096_scg_s07_0_airplane_00_airplane5-bird2.png
subject-07,1,97,1.20021390914917,boat,bottle,0,0097_scg_s07_0_bottle_00_bottle7-elephant2.png
subject-07,1,98,0.743757963180542,clock,clock,0,0098_scg_s07_0_clock_00_clock2-bicycle1.png
subject-07,1,99,0.996093034744263,elephant,bear,0,0099_scg_s07_0_bear_00_bear7-truck1.png
subject-07,1,100,1.06425380706787,oven,oven,0,0100_scg_s07_0_oven_00_oven10-bear1.png
subject-07,1,101,0.918210983276367,elephant,elephant,0,0101_scg_s07_0_elephant_00_elephant8-elephant1.png
subject-07,1,102,0.670437097549438,truck,truck,0,0102_scg_s07_0_truck_00_truck5-car1.png
subject-07,1,103,0.867918014526367,airplane,airplane,0,0103_scg_s07_0_airplane_00_airplane10-boat3.png
subject-07,1,104,0.965657949447632,bicycle,bicycle,0,0104_scg_s07_0_bicycle_00_bicycle7-oven1.png
subject-07,1,105,1.5001118183136,bicycle,bicycle,0,0105_scg_s07_0_bicycle_00_bicycle4-knife3.png
subject-07,1,106,1.24325203895569,cat,dog,0,0106_scg_s07_0_dog_00_dog3-clock1.png
subject-07,1,107,0.825575828552246,truck,truck,0,0107_scg_s07_0_truck_00_truck4-boat3.png
subject-07,1,108,1.00131797790527,car,car,0,0108_scg_s07_0_car_00_car10-bicycle2.png
subject-07,1,109,0.891268968582153,bird,cat,0,0109_scg_s07_0_cat_00_cat4-bird2.png
