subj,session,trial,rt,object_response,category,condition,imagename
densenet121-train-60-epochs,1,1,NaN,bird,airplane,0,0001_s5n_dnn_0_airplane_00_airplane1-bicycle2.png
densenet121-train-60-epochs,1,2,NaN,chair,airplane,0,0002_s5n_dnn_0_airplane_00_airplane1-chair2.png
densenet121-train-60-epochs,1,3,NaN,clock,airplane,0,0003_s5n_dnn_0_airplane_00_airplane1-clock1.png
densenet121-train-60-epochs,1,4,NaN,chair,airplane,0,0004_s5n_dnn_0_airplane_00_airplane1-elephant1.png
densenet121-train-60-epochs,1,5,NaN,airplane,airplane,0,0005_s5n_dnn_0_airplane_00_airplane10-airplane1.png
densenet121-train-60-epochs,1,6,NaN,chair,airplane,0,0006_s5n_dnn_0_airplane_00_airplane10-bear3.png
densenet121-train-60-epochs,1,7,NaN,airplane,airplane,0,0007_s5n_dnn_0_airplane_00_airplane10-boat3.png
densenet121-train-60-epochs,1,8,NaN,boat,airplane,0,0008_s5n_dnn_0_airplane_00_airplane10-car3.png
densenet121-train-60-epochs,1,9,NaN,chair,airplane,0,0009_s5n_dnn_0_airplane_00_airplane10-cat2.png
densenet121-train-60-epochs,1,10,NaN,dog,airplane,0,0010_s5n_dnn_0_airplane_00_airplane10-dog3.png
densenet121-train-60-epochs,1,11,NaN,chair,airplane,0,0011_s5n_dnn_0_airplane_00_airplane10-elephant1.png
densenet121-train-60-epochs,1,12,NaN,clock,airplane,0,0012_s5n_dnn_0_airplane_00_airplane10-knife3.png
densenet121-train-60-epochs,1,13,NaN,car,airplane,0,0013_s5n_dnn_0_airplane_00_airplane10-oven2.png
densenet121-train-60-epochs,1,14,NaN,truck,airplane,0,0014_s5n_dnn_0_airplane_00_airplane10-truck1.png
densenet121-train-60-epochs,1,15,NaN,elephant,airplane,0,0015_s5n_dnn_0_airplane_00_airplane2-bear1.png
densenet121-train-60-epochs,1,16,NaN,bottle,airplane,0,0016_s5n_dnn_0_airplane_00_airplane2-bicycle1.png
densenet121-train-60-epochs,1,17,NaN,dog,airplane,0,0017_s5n_dnn_0_airplane_00_airplane2-bird3.png
densenet121-train-60-epochs,1,18,NaN,truck,airplane,0,0018_s5n_dnn_0_airplane_00_airplane2-bottle1.png
densenet121-train-60-epochs,1,19,NaN,bird,airplane,0,0019_s5n_dnn_0_airplane_00_airplane2-cat1.png
densenet121-train-60-epochs,1,20,NaN,dog,airplane,0,0020_s5n_dnn_0_airplane_00_airplane2-dog1.png
densenet121-train-60-epochs,1,21,NaN,airplane,airplane,0,0021_s5n_dnn_0_airplane_00_airplane3-airplane2.png
densenet121-train-60-epochs,1,22,NaN,bottle,airplane,0,0022_s5n_dnn_0_airplane_00_airplane3-car1.png
densenet121-train-60-epochs,1,23,NaN,dog,airplane,0,0023_s5n_dnn_0_airplane_00_airplane3-cat1.png
densenet121-train-60-epochs,1,24,NaN,boat,airplane,0,0024_s5n_dnn_0_airplane_00_airplane3-chair3.png
densenet121-train-60-epochs,1,25,NaN,bird,airplane,0,0025_s5n_dnn_0_airplane_00_airplane3-clock1.png
densenet121-train-60-epochs,1,26,NaN,chair,airplane,0,0026_s5n_dnn_0_airplane_00_airplane3-dog1.png
densenet121-train-60-epochs,1,27,NaN,chair,airplane,0,0027_s5n_dnn_0_airplane_00_airplane3-elephant1.png
densenet121-train-60-epochs,1,28,NaN,truck,airplane,0,0028_s5n_dnn_0_airplane_00_airplane3-keyboard2.png
densenet121-train-60-epochs,1,29,NaN,keyboard,airplane,0,0029_s5n_dnn_0_airplane_00_airplane3-oven1.png
densenet121-train-60-epochs,1,30,NaN,bird,airplane,0,0030_s5n_dnn_0_airplane_00_airplane4-airplane1.png
densenet121-train-60-epochs,1,31,NaN,bird,airplane,0,0031_s5n_dnn_0_airplane_00_airplane4-bear3.png
densenet121-train-60-epochs,1,32,NaN,bird,airplane,0,0032_s5n_dnn_0_airplane_00_airplane4-bicycle2.png
densenet121-train-60-epochs,1,33,NaN,airplane,airplane,0,0033_s5n_dnn_0_airplane_00_airplane4-bird3.png
densenet121-train-60-epochs,1,34,NaN,boat,airplane,0,0034_s5n_dnn_0_airplane_00_airplane4-boat3.png
densenet121-train-60-epochs,1,35,NaN,keyboard,airplane,0,0035_s5n_dnn_0_airplane_00_airplane4-bottle1.png
densenet121-train-60-epochs,1,36,NaN,bird,airplane,0,0036_s5n_dnn_0_airplane_00_airplane4-car1.png
densenet121-train-60-epochs,1,37,NaN,chair,airplane,0,0037_s5n_dnn_0_airplane_00_airplane4-cat3.png
densenet121-train-60-epochs,1,38,NaN,chair,airplane,0,0038_s5n_dnn_0_airplane_00_airplane4-dog2.png
densenet121-train-60-epochs,1,39,NaN,chair,airplane,0,0039_s5n_dnn_0_airplane_00_airplane4-elephant1.png
densenet121-train-60-epochs,1,40,NaN,chair,airplane,0,0040_s5n_dnn_0_airplane_00_airplane4-keyboard3.png
densenet121-train-60-epochs,1,41,NaN,truck,airplane,0,0041_s5n_dnn_0_airplane_00_airplane4-knife1.png
densenet121-train-60-epochs,1,42,NaN,truck,airplane,0,0042_s5n_dnn_0_airplane_00_airplane4-truck2.png
densenet121-train-60-epochs,1,43,NaN,bird,airplane,0,0043_s5n_dnn_0_airplane_00_airplane5-bear2.png
densenet121-train-60-epochs,1,44,NaN,bird,airplane,0,0044_s5n_dnn_0_airplane_00_airplane5-bicycle1.png
densenet121-train-60-epochs,1,45,NaN,bird,airplane,0,0045_s5n_dnn_0_airplane_00_airplane5-bird2.png
densenet121-train-60-epochs,1,46,NaN,boat,airplane,0,0046_s5n_dnn_0_airplane_00_airplane5-boat3.png
densenet121-train-60-epochs,1,47,NaN,bottle,airplane,0,0047_s5n_dnn_0_airplane_00_airplane5-bottle3.png
densenet121-train-60-epochs,1,48,NaN,chair,airplane,0,0048_s5n_dnn_0_airplane_00_airplane5-chair3.png
densenet121-train-60-epochs,1,49,NaN,dog,airplane,0,0049_s5n_dnn_0_airplane_00_airplane5-dog3.png
