subj,session,trial,rt,object_response,category,condition,imagename
oidv2-resnet101,1,1,NaN,bird,airplane,3,0001_s5n_dnn_0_airplane_00_airplane1-bicycle2.png
oidv2-resnet101,1,2,NaN,chair,airplane,3,0002_s5n_dnn_0_airplane_00_airplane1-chair2.png
oidv2-resnet101,1,3,NaN,car,airplane,3,0003_s5n_dnn_0_airplane_00_airplane1-clock1.png
oidv2-resnet101,1,4,NaN,bird,airplane,3,0004_s5n_dnn_0_airplane_00_airplane1-elephant1.png
oidv2-resnet101,1,5,NaN,airplane,airplane,3,0005_s5n_dnn_0_airplane_00_airplane10-airplane1.png
oidv2-resnet101,1,6,NaN,cat,airplane,3,0006_s5n_dnn_0_airplane_00_airplane10-bear3.png
oidv2-resnet101,1,7,NaN,car,airplane,3,0007_s5n_dnn_0_airplane_00_airplane10-boat3.png
oidv2-resnet101,1,8,NaN,car,airplane,3,0008_s5n_dnn_0_airplane_00_airplane10-car3.png
oidv2-resnet101,1,9,NaN,bird,airplane,3,0009_s5n_dnn_0_airplane_00_airplane10-cat2.png
oidv2-resnet101,1,10,NaN,bird,airplane,3,0010_s5n_dnn_0_airplane_00_airplane10-dog3.png
oidv2-resnet101,1,11,NaN,elephant,airplane,3,0011_s5n_dnn_0_airplane_00_airplane10-elephant1.png
oidv2-resnet101,1,12,NaN,chair,airplane,3,0012_s5n_dnn_0_airplane_00_airplane10-knife3.png
oidv2-resnet101,1,13,NaN,car,airplane,3,0013_s5n_dnn_0_airplane_00_airplane10-oven2.png
oidv2-resnet101,1,14,NaN,car,airplane,3,0014_s5n_dnn_0_airplane_00_airplane10-truck1.png
oidv2-resnet101,1,15,NaN,cat,airplane,3,0015_s5n_dnn_0_airplane_00_airplane2-bear1.png
oidv2-resnet101,1,16,NaN,car,airplane,3,0016_s5n_dnn_0_airplane_00_airplane2-bicycle1.png
oidv2-resnet101,1,17,NaN,bird,airplane,3,0017_s5n_dnn_0_airplane_00_airplane2-bird3.png
oidv2-resnet101,1,18,NaN,car,airplane,3,0018_s5n_dnn_0_airplane_00_airplane2-bottle1.png
oidv2-resnet101,1,19,NaN,dog,airplane,3,0019_s5n_dnn_0_airplane_00_airplane2-cat1.png
oidv2-resnet101,1,20,NaN,bird,airplane,3,0020_s5n_dnn_0_airplane_00_airplane2-dog1.png
oidv2-resnet101,1,21,NaN,airplane,airplane,3,0021_s5n_dnn_0_airplane_00_airplane3-airplane2.png
oidv2-resnet101,1,22,NaN,car,airplane,3,0022_s5n_dnn_0_airplane_00_airplane3-car1.png
oidv2-resnet101,1,23,NaN,dog,airplane,3,0023_s5n_dnn_0_airplane_00_airplane3-cat1.png
oidv2-resnet101,1,24,NaN,boat,airplane,3,0024_s5n_dnn_0_airplane_00_airplane3-chair3.png
oidv2-resnet101,1,25,NaN,car,airplane,3,0025_s5n_dnn_0_airplane_00_airplane3-clock1.png
oidv2-resnet101,1,26,NaN,dog,airplane,3,0026_s5n_dnn_0_airplane_00_airplane3-dog1.png
oidv2-resnet101,1,27,NaN,bird,airplane,3,0027_s5n_dnn_0_airplane_00_airplane3-elephant1.png
oidv2-resnet101,1,28,NaN,car,airplane,3,0028_s5n_dnn_0_airplane_00_airplane3-keyboard2.png
oidv2-resnet101,1,29,NaN,chair,airplane,3,0029_s5n_dnn_0_airplane_00_airplane3-oven1.png
oidv2-resnet101,1,30,NaN,airplane,airplane,3,0030_s5n_dnn_0_airplane_00_airplane4-airplane1.png
oidv2-resnet101,1,31,NaN,bird,airplane,3,0031_s5n_dnn_0_airplane_00_airplane4-bear3.png
oidv2-resnet101,1,32,NaN,bird,airplane,3,0032_s5n_dnn_0_airplane_00_airplane4-bicycle2.png
oidv2-resnet101,1,33,NaN,bird,airplane,3,0033_s5n_dnn_0_airplane_00_airplane4-bird3.png
oidv2-resnet101,1,34,NaN,boat,airplane,3,0034_s5n_dnn_0_airplane_00_airplane4-boat3.png
oidv2-resnet101,1,35,NaN,car,airplane,3,0035_s5n_dnn_0_airplane_00_airplane4-bottle1.png
oidv2-resnet101,1,36,NaN,car,airplane,3,0036_s5n_dnn_0_airplane_00_airplane4-car1.png
oidv2-resnet101,1,37,NaN,bird,airplane,3,0037_s5n_dnn_0_airplane_00_airplane4-cat3.png
oidv2-resnet101,1,38,NaN,bird,airplane,3,0038_s5n_dnn_0_airplane_00_airplane4-dog2.png
oidv2-resnet101,1,39,NaN,elephant,airplane,3,0039_s5n_dnn_0_airplane_00_airplane4-elephant1.png
oidv2-resnet101,1,40,NaN,car,airplane,3,0040_s5n_dnn_0_airplane_00_airplane4-keyboard3.png
oidv2-resnet101,1,41,NaN,car,airplane,3,0041_s5n_dnn_0_airplane_00_airplane4-knife1.png
oidv2-resnet101,1,42,NaN,car,airplane,3,0042_s5n_dnn_0_airplane_00_airplane4-truck2.png
oidv2-resnet101,1,43,NaN,bird,airplane,3,0043_s5n_dnn_0_airplane_00_airplane5-bear2.png
oidv2-resnet101,1,44,NaN,car,airplane,3,0044_s5n_dnn_0_airplane_00_airplane5-bicycle1.png
oidv2-resnet101,1,45,NaN,bird,airplane,3,0045_s5n_dnn_0_airplane_00_airplane5-bird2.png
oidv2-resnet101,1,46,NaN,boat,airplane,3,0046_s5n_dnn_0_airplane_00_airplane5-boat3.png
oidv2-resnet101,1,47,NaN,car,airplane,3,0047_s5n_dnn_0_airplane_00_airplane5-bottle3.png
oidv2-resnet101,1,48,NaN,chair,airplane,3,0048_s5n_dnn_0_airplane_00_airplane5-chair3.png
oidv2-resnet101,1,49,NaN,dog,airplane,3,0049_s5n_dnn_0_airplane_00_airplane5-dog3.png
oidv2-resnet101,1,50,NaN,car,airplane,3,0050_s5n_dnn_0_airplane_00_airplane5-knife1.png
oidv2-resnet101,1,51,NaN,car,airplane,3,0051_s5n_dnn_0_airplane_00_airplane5-oven3.png
oidv2-resnet101,1,52,NaN,cat,airplane,3,0052_s5n_dnn_0_airplane_00_airplane6-bear3.png
oidv2-resnet101,1,53,NaN,bottle,airplane,3,0053_s5n_dnn_0_airplane_00_airplane6-bottle2.png
oidv2-resnet101,1,54,NaN,boat,airplane,3,0054_s5n_dnn_0_airplane_00_airplane6-chair3.png
oidv2-resnet101,1,55,NaN,car,airplane,3,0055_s5n_dnn_0_airplane_00_airplane6-keyboard3.png
oidv2-resnet101,1,56,NaN,car,airplane,3,0056_s5n_dnn_0_airplane_00_airplane6-knife1.png
oidv2-resnet101,1,57,NaN,airplane,airplane,3,0057_s5n_dnn_0_airplane_00_airplane7-airplane3.png
oidv2-resnet101,1,58,NaN,bird,airplane,3,0058_s5n_dnn_0_airplane_00_airplane7-bird3.png
oidv2-resnet101,1,59,NaN,car,airplane,3,0059_s5n_dnn_0_airplane_00_airplane7-boat2.png
oidv2-resnet101,1,60,NaN,bird,airplane,3,0060_s5n_dnn_0_airplane_00_airplane7-bottle3.png
oidv2-resnet101,1,61,NaN,car,airplane,3,0061_s5n_dnn_0_airplane_00_airplane7-car1.png
oidv2-resnet101,1,62,NaN,cat,airplane,3,0062_s5n_dnn_0_airplane_00_airplane7-cat3.png
oidv2-resnet101,1,63,NaN,car,airplane,3,0063_s5n_dnn_0_airplane_00_airplane7-clock3.png
oidv2-resnet101,1,64,NaN,car,airplane,3,0064_s5n_dnn_0_airplane_00_airplane7-keyboard1.png
oidv2-resnet101,1,65,NaN,car,airplane,3,0065_s5n_dnn_0_airplane_00_airplane7-truck1.png
oidv2-resnet101,1,66,NaN,bird,airplane,3,0066_s5n_dnn_0_airplane_00_airplane8-bicycle3.png
oidv2-resnet101,1,67,NaN,bird,airplane,3,0067_s5n_dnn_0_airplane_00_airplane8-bird1.png
oidv2-resnet101,1,68,NaN,chair,airplane,3,0068_s5n_dnn_0_airplane_00_airplane8-chair1.png
oidv2-resnet101,1,69,NaN,car,airplane,3,0069_s5n_dnn_0_airplane_00_airplane8-clock2.png
oidv2-resnet101,1,70,NaN,elephant,airplane,3,0070_s5n_dnn_0_airplane_00_airplane8-elephant3.png
oidv2-resnet101,1,71,NaN,car,airplane,3,0071_s5n_dnn_0_airplane_00_airplane8-oven2.png
oidv2-resnet101,1,72,NaN,chair,airplane,3,0072_s5n_dnn_0_airplane_00_airplane8-truck3.png
oidv2-resnet101,1,73,NaN,airplane,airplane,3,0073_s5n_dnn_0_airplane_00_airplane9-airplane2.png
oidv2-resnet101,1,74,NaN,airplane,airplane,3,0074_s5n_dnn_0_airplane_00_airplane9-boat1.png
oidv2-resnet101,1,75,NaN,car,airplane,3,0075_s5n_dnn_0_airplane_00_airplane9-car2.png
oidv2-resnet101,1,76,NaN,car,airplane,3,0076_s5n_dnn_0_airplane_00_airplane9-clock1.png
oidv2-resnet101,1,77,NaN,car,airplane,3,0077_s5n_dnn_0_airplane_00_airplane9-keyboard2.png
oidv2-resnet101,1,78,NaN,bottle,airplane,3,0078_s5n_dnn_0_airplane_00_airplane9-knife3.png
oidv2-resnet101,1,79,NaN,bottle,airplane,3,0079_s5n_dnn_0_airplane_00_airplane9-oven2.png
oidv2-resnet101,1,80,NaN,car,airplane,3,0080_s5n_dnn_0_airplane_00_airplane9-truck1.png
oidv2-resnet101,1,81,NaN,airplane,bear,3,0081_s5n_dnn_0_bear_00_bear1-airplane3.png
oidv2-resnet101,1,82,NaN,dog,bear,3,0082_s5n_dnn_0_bear_00_bear1-bear3.png
oidv2-resnet101,1,83,NaN,bird,bear,3,0083_s5n_dnn_0_bear_00_bear1-bicycle3.png
