subj,session,trial,rt,object_response,category,condition,imagename
subject-07,1,1,1.2597861289978,oven,car,0,0001_s5n_s07_0_car_00_car4-cat3.png
subject-07,1,2,0.621042966842651,bottle,bottle,0,0002_s5n_s07_0_bottle_00_bottle8-bottle3.png
subject-07,1,3,0.820188999176025,oven,oven,0,0003_s5n_s07_0_oven_00_oven9-bear2.png
subject-07,1,4,0.838008880615234,bottle,keyboard,0,0004_s5n_s07_0_keyboard_00_keyboard10-truck1.png
subject-07,1,5,1.09108781814575,bear,bear,0,0005_s5n_s07_0_bear_00_bear3-cat1.png
subject-07,1,6,0.854781150817871,car,car,0,0006_s5n_s07_0_car_00_car4-oven2.png
subject-07,1,7,1.1863329410553,airplane,airplane,0,0007_s5n_s07_0_airplane_00_airplane10-oven2.png
subject-07,1,8,1.0719940662384,dog,dog,0,0008_s5n_s07_0_dog_00_dog8-dog3.png
subject-07,1,9,0.507885932922363,clock,clock,0,0009_s5n_s07_0_clock_00_clock10-bottle1.png
subject-07,1,10,0.9183189868927,keyboard,keyboard,0,0010_s5n_s07_0_keyboard_00_keyboard1-airplane2.png
subject-07,1,11,1.0035228729248,oven,boat,0,0011_s5n_s07_0_boat_00_boat3-cat3.png
subject-07,1,12,0.742499828338623,bottle,bottle,0,0012_s5n_s07_0_bottle_00_bottle8-dog2.png
subject-07,1,13,0.782343864440918,oven,oven,0,0013_s5n_s07_0_oven_00_oven1-dog3.png
subject-07,1,14,0.906344175338745,truck,truck,0,0014_s5n_s07_0_truck_00_truck8-elephant1.png
subject-07,1,15,0.745651960372925,airplane,airplane,0,0015_s5n_s07_0_airplane_00_airplane6-keyboard3.png
subject-07,1,16,0.847412824630737,clock,clock,0,0016_s5n_s07_0_clock_00_clock6-truck3.png
subject-07,1,17,0.704061031341553,bottle,boat,0,0017_s5n_s07_0_boat_00_boat7-truck2.png
subject-07,1,18,0.859272956848145,truck,truck,0,0018_s5n_s07_0_truck_00_truck7-oven2.png
subject-07,1,19,0.7207350730896,bear,elephant,0,0019_s5n_s07_0_elephant_00_elephant2-bottle3.png
subject-07,1,20,1.08483815193176,dog,dog,0,0020_s5n_s07_0_dog_00_dog3-dog1.png
subject-07,1,21,0.970663070678711,truck,truck,0,0021_s5n_s07_0_truck_00_truck2-bicycle2.png
subject-07,1,22,0.894193887710571,airplane,airplane,0,0022_s5n_s07_0_airplane_00_airplane1-bicycle2.png
subject-07,1,23,0.895699024200439,elephant,elephant,0,0023_s5n_s07_0_elephant_00_elephant8-boat2.png
subject-07,1,24,0.76534104347229,cat,knife,0,0024_s5n_s07_0_knife_00_knife9-elephant2.png
subject-07,1,25,0.88005805015564,boat,boat,0,0025_s5n_s07_0_boat_00_boat5-car3.png
subject-07,1,26,0.927713871002197,bird,bird,0,0026_s5n_s07_0_bird_00_bird7-cat3.png
subject-07,1,27,1.29176783561707,chair,chair,0,0027_s5n_s07_0_chair_00_chair9-elephant1.png
subject-07,1,28,0.65327000617981,airplane,airplane,0,0028_s5n_s07_0_airplane_00_airplane5-oven3.png
subject-07,1,29,0.901135921478271,elephant,elephant,0,0029_s5n_s07_0_elephant_00_elephant6-bottle2.png
subject-07,1,30,0.678689002990723,car,car,0,0030_s5n_s07_0_car_00_car9-clock2.png
subject-07,1,31,0.702643871307373,car,car,0,0031_s5n_s07_0_car_00_car4-car2.png
subject-07,1,32,0.882441997528076,chair,chair,0,0032_s5n_s07_0_chair_00_chair4-bear2.png
subject-07,1,33,0.752135992050171,elephant,elephant,0,0033_s5n_s07_0_elephant_00_elephant4-bicycle2.png
