subj,session,trial,rt,object_response,category,condition,imagename
subject-09,1,1,1.12934708595276,clock,clock,0,0001_stg_s09_0_clock_00_clock9-keyboard2.png
subject-09,1,2,1.50025701522827,cat,boat,0,0002_stg_s09_0_boat_00_boat10-bear3.png
subject-09,1,3,1.24914884567261,keyboard,keyboard,0,0003_stg_s09_0_keyboard_00_keyboard1-clock1.png
subject-09,1,4,0.900561094284058,knife,knife,0,0004_stg_s09_0_knife_00_knife7-bottle3.png
subject-09,1,5,0.905865907669067,elephant,elephant,0,0005_stg_s09_0_elephant_00_elephant8-dog1.png
subject-09,1,6,0.920253038406372,bear,airplane,0,0006_stg_s09_0_airplane_00_airplane10-bear3.png
subject-09,1,7,0.757426023483276,boat,boat,0,0007_stg_s09_0_boat_00_boat2-bottle2.png
subject-09,1,8,1.12496399879456,dog,bird,0,0008_stg_s09_0_bird_00_bird1-keyboard3.png
subject-09,1,9,0.868834972381592,elephant,elephant,0,0009_stg_s09_0_elephant_00_elephant5-truck1.png
subject-09,1,10,0.667207002639771,truck,truck,0,0010_stg_s09_0_truck_00_truck2-keyboard1.png
subject-09,1,11,0.69746208190918,cat,cat,0,0011_stg_s09_0_cat_00_cat6-oven1.png
subject-09,1,12,1.09502696990967,bottle,keyboard,0,0012_stg_s09_0_keyboard_00_keyboard2-bottle1.png
subject-09,1,13,0.986468076705933,chair,chair,0,0013_stg_s09_0_chair_00_chair5-bottle3.png
subject-09,1,14,1.01666903495789,knife,boat,0,0014_stg_s09_0_boat_00_boat8-oven1.png
subject-09,1,15,0.659995079040527,bottle,bottle,0,0015_stg_s09_0_bottle_00_bottle6-boat3.png
subject-09,1,16,1.25762915611267,bird,bird,0,0016_stg_s09_0_bird_00_bird8-keyboard2.png
subject-09,1,17,0.800504922866821,boat,airplane,0,0017_stg_s09_0_airplane_00_airplane3-car1.png
subject-09,1,18,0.806605815887451,keyboard,keyboard,0,0018_stg_s09_0_keyboard_00_keyboard9-airplane3.png
subject-09,1,19,0.783138990402222,car,car,0,0019_stg_s09_0_car_00_car3-dog2.png
subject-09,1,20,0.704300165176392,chair,chair,0,0020_stg_s09_0_chair_00_chair9-bicycle3.png
subject-09,1,21,0.968763113021851,oven,dog,0,0021_stg_s09_0_dog_00_dog10-oven2.png
subject-09,1,22,0.911965847015381,bird,bird,0,0022_stg_s09_0_bird_00_bird3-cat1.png
subject-09,1,23,1.35550284385681,cat,cat,0,0023_stg_s09_0_cat_00_cat2-bottle3.png
subject-09,1,24,0.777911186218262,keyboard,oven,0,0024_stg_s09_0_oven_00_oven2-truck3.png
subject-09,1,25,0.67028284072876,car,car,0,0025_stg_s09_0_car_00_car2-knife3.png
subject-09,1,26,1.22986483573914,cat,bird,0,0026_stg_s09_0_bird_00_bird3-bottle2.png
subject-09,1,27,0.767616033554077,airplane,airplane,0,0027_stg_s09_0_airplane_00_airplane10-oven2.png
subject-09,1,28,0.735746145248413,clock,clock,0,0028_stg_s09_0_clock_00_clock1-boat3.png
subject-09,1,29,0.811805963516235,car,truck,0,0029_stg_s09_0_truck_00_truck6-cat2.png
subject-09,1,30,1.04719305038452,bicycle,bicycle,0,0030_stg_s09_0_bicycle_00_bicycle1-elephant2.png
subject-09,1,31,0.79158091545105,clock,clock,0,0031_stg_s09_0_clock_00_clock9-cat1.png
subject-09,1,32,0.796711921691895,bird,bird,0,0032_stg_s09_0_bird_00_bird2-dog2.png
subject-09,1,33,1.04240584373474,bear,elephant,0,0033_stg_s09_0_elephant_00_elephant2-elephant3.png
subject-09,1,34,0.832834959030151,cat,cat,0,0034_stg_s09_0_cat_00_cat4-oven1.png
