subj,session,trial,rt,object_response,category,condition,imagename
resnet50-train-60-epochs,1,1,NaN,airplane,airplane,0,0001_tex_dnn_0_airplane_00_airplane1.png
resnet50-train-60-epochs,1,2,NaN,airplane,airplane,0,0002_tex_dnn_0_airplane_00_airplane2.png
resnet50-train-60-epochs,1,3,NaN,airplane,airplane,0,0003_tex_dnn_0_airplane_00_airplane3.png
resnet50-train-60-epochs,1,4,NaN,bear,bear,0,0004_tex_dnn_0_bear_00_bear1.png
resnet50-train-60-epochs,1,5,NaN,bear,bear,0,0005_tex_dnn_0_bear_00_bear2.png
resnet50-train-60-epochs,1,6,NaN,bear,bear,0,0006_tex_dnn_0_bear_00_bear3.png
resnet50-train-60-epochs,1,7,NaN,bicycle,bicycle,0,0007_tex_dnn_0_bicycle_00_bicycle1.png
resnet50-train-60-epochs,1,8,NaN,bicycle,bicycle,0,0008_tex_dnn_0_bicycle_00_bicycle2.png
resnet50-train-60-epochs,1,9,NaN,bicycle,bicycle,0,0009_tex_dnn_0_bicycle_00_bicycle3.png
resnet50-train-60-epochs,1,10,NaN,bird,bird,0,0010_tex_dnn_0_bird_00_bird1.png
resnet50-train-60-epochs,1,11,NaN,bird,bird,0,0011_tex_dnn_0_bird_00_bird2.png
resnet50-train-60-epochs,1,12,NaN,bird,bird,0,0012_tex_dnn_0_bird_00_bird3.png
resnet50-train-60-epochs,1,13,NaN,boat,boat,0,0013_tex_dnn_0_boat_00_boat1.png
resnet50-train-60-epochs,1,14,NaN,boat,boat,0,0014_tex_dnn_0_boat_00_boat2.png
resnet50-train-60-epochs,1,15,NaN,boat,boat,0,0015_tex_dnn_0_boat_00_boat3.png
resnet50-train-60-epochs,1,16,NaN,bottle,bottle,0,0016_tex_dnn_0_bottle_00_bottle2.png
resnet50-train-60-epochs,1,17,NaN,bottle,bottle,0,0017_tex_dnn_0_bottle_00_bottle3.png
resnet50-train-60-epochs,1,18,NaN,bottle,bottle,0,0018_tex_dnn_0_bottle_00_bottles.png
resnet50-train-60-epochs,1,19,NaN,car,car,0,0019_tex_dnn_0_car_00_car1.png
resnet50-train-60-epochs,1,20,NaN,car,car,0,0020_tex_dnn_0_car_00_car2.png
resnet50-train-60-epochs,1,21,NaN,car,car,0,0021_tex_dnn_0_car_00_car3.png
resnet50-train-60-epochs,1,22,NaN,cat,cat,0,0022_tex_dnn_0_cat_00_cat1.png
resnet50-train-60-epochs,1,23,NaN,cat,cat,0,0023_tex_dnn_0_cat_00_cat2.png
resnet50-train-60-epochs,1,24,NaN,cat,cat,0,0024_tex_dnn_0_cat_00_cat3.png
resnet50-train-60-epochs,1,25,NaN,chair,chair,0,0025_tex_dnn_0_chair_00_chair1.png
resnet50-train-60-epochs,1,26,NaN,chair,chair,0,0026_tex_dnn_0_chair_00_chair2.png
resnet50-train-60-epochs,1,27,NaN,chair,chair,0,0027_tex_dnn_0_chair_00_chair3.png
resnet50-train-60-epochs,1,28,NaN,clock,clock,0,0028_tex_dnn_0_clock_00_clock1.png
resnet50-train-60-epochs,1,29,NaN,clock,clock,0,0029_tex_dnn_0_clock_00_clock2.png
resnet50-train-60-epochs,1,30,NaN,clock,clock,0,0030_tex_dnn_0_clock_00_clock3.png
resnet50-train-60-epochs,1,31,NaN,dog,dog,0,0031_tex_dnn_0_dog_00_dog1.png
resnet50-train-60-epochs,1,32,NaN,dog,dog,0,0032_tex_dnn_0_dog_00_dog2.png
resnet50-train-60-epochs,1,33,NaN,dog,dog,0,0033_tex_dnn_0_dog_00_dog3.png
resnet50-train-60-epochs,1,34,NaN,elephant,elephant,0,0034_tex_dnn_0_elephant_00_elephant1.png
resnet50-train-60-epochs,1,35,NaN,elephant,elephant,0,0035_tex_dnn_0_elephant_00_elephant2.png
resnet50-train-60-epochs,1,36,NaN,elephant,elephant,0,0036_tex_dnn_0_elephant_00_elephant3.png
resnet50-train-60-epochs,1,37,NaN,keyboard,keyboard,0,0037_tex_dnn_0_keyboard_00_keyboard1.png
resnet50-train-60-epochs,1,38,NaN,keyboard,keyboard,0,0038_tex_dnn_0_keyboard_00_keyboard2.png
resnet50-train-60-epochs,1,39,NaN,keyboard,keyboard,0,0039_tex_dnn_0_keyboard_00_keyboard3.png
resnet50-train-60-epochs,1,40,NaN,knife,knife,0,0040_tex_dnn_0_knife_00_knife1.png
resnet50-train-60-epochs,1,41,NaN,knife,knife,0,0041_tex_dnn_0_knife_00_knife2.png
resnet50-train-60-epochs,1,42,NaN,knife,knife,0,0042_tex_dnn_0_knife_00_knife3.png
resnet50-train-60-epochs,1,43,NaN,oven,oven,0,0043_tex_dnn_0_oven_00_oven1.png
resnet50-train-60-epochs,1,44,NaN,keyboard,oven,0,0044_tex_dnn_0_oven_00_oven2.png
resnet50-train-60-epochs,1,45,NaN,oven,oven,0,0045_tex_dnn_0_oven_00_oven3.png
resnet50-train-60-epochs,1,46,NaN,truck,truck,0,0046_tex_dnn_0_truck_00_truck1.png
resnet50-train-60-epochs,1,47,NaN,truck,truck,0,0047_tex_dnn_0_truck_00_truck2.png
resnet50-train-60-epochs,1,48,NaN,truck,truck,0,0048_tex_dnn_0_truck_00_truck3.png
