subj,session,trial,rt,object_response,category,condition,imagename
subject-02,1,1,0.686806917190552,clock,clock,0,0001_tex_s02_0_clock_00_clock1.png
subject-02,1,2,0.603461980819702,clock,clock,0,0002_tex_s02_0_clock_00_clock2.png
subject-02,1,3,0.635817050933838,bottle,bottle,0,0003_tex_s02_0_bottle_00_bottle3.png
subject-02,1,4,0.912451028823853,bear,bear,0,0004_tex_s02_0_bear_00_bear3.png
subject-02,1,5,0.604543924331665,keyboard,keyboard,0,0005_tex_s02_0_keyboard_00_keyboard1.png
subject-02,1,6,0.852905988693237,keyboard,keyboard,0,0006_tex_s02_0_keyboard_00_keyboard2.png
subject-02,1,7,1.08331990242004,airplane,airplane,0,0007_tex_s02_0_airplane_00_airplane2.png
subject-02,1,8,1.06651401519775,knife,knife,0,0008_tex_s02_0_knife_00_knife1.png
subject-02,1,9,0.729027032852173,oven,oven,0,0009_tex_s02_0_oven_00_oven2.png
subject-02,1,10,0.674823999404907,chair,chair,0,0010_tex_s02_0_chair_00_chair3.png
subject-02,1,11,0.975383043289185,chair,chair,0,0011_tex_s02_0_chair_00_chair1.png
subject-02,1,12,1.4377338886261,bottle,bottle,0,0012_tex_s02_0_bottle_00_bottles.png
subject-02,1,13,0.716595888137817,oven,oven,0,0013_tex_s02_0_oven_00_oven1.png
subject-02,1,14,0.878511190414429,bird,bird,0,0014_tex_s02_0_bird_00_bird1.png
subject-02,1,15,0.908963918685913,bicycle,bicycle,0,0015_tex_s02_0_bicycle_00_bicycle3.png
subject-02,1,16,0.984417915344238,keyboard,keyboard,0,0016_tex_s02_0_keyboard_00_keyboard3.png
subject-02,1,17,1.5001699924469,bear,dog,0,0017_tex_s02_0_dog_00_dog1.png
subject-02,1,18,1.01474404335022,car,truck,0,0018_tex_s02_0_truck_00_truck1.png
subject-02,1,19,1.01449012756348,boat,boat,0,0019_tex_s02_0_boat_00_boat1.png
subject-02,1,20,0.69208288192749,clock,clock,0,0020_tex_s02_0_clock_00_clock3.png
subject-02,1,21,0.922176122665405,car,car,0,0021_tex_s02_0_car_00_car2.png
subject-02,1,22,0.822572946548462,bicycle,bicycle,0,0022_tex_s02_0_bicycle_00_bicycle1.png
subject-02,1,23,0.762928009033203,chair,chair,0,0023_tex_s02_0_chair_00_chair2.png
subject-02,1,24,0.763530969619751,truck,truck,0,0024_tex_s02_0_truck_00_truck3.png
subject-02,1,25,0.778111934661865,cat,cat,0,0025_tex_s02_0_cat_00_cat1.png
subject-02,1,26,0.986401081085205,car,car,0,0026_tex_s02_0_car_00_car1.png
subject-02,1,27,0.757092952728271,knife,knife,0,0027_tex_s02_0_knife_00_knife3.png
subject-02,1,28,0.794875144958496,cat,dog,0,0028_tex_s02_0_dog_00_dog2.png
subject-02,1,29,0.873198986053467,bicycle,bicycle,0,0029_tex_s02_0_bicycle_00_bicycle2.png
subject-02,1,30,1.50014805793762,bear,bear,0,0030_tex_s02_0_bear_00_bear2.png
subject-02,1,31,0.836612939834595,bear,bear,0,0031_tex_s02_0_bear_00_bear1.png
subject-02,1,32,0.883023023605347,bird,bird,0,0032_tex_s02_0_bird_00_bird2.png
subject-02,1,33,0.883388042449951,car,car,0,0033_tex_s02_0_car_00_car3.png
subject-02,1,34,0.953336954116821,dog,dog,0,0034_tex_s02_0_dog_00_dog3.png
subject-02,1,35,0.961075067520142,elephant,elephant,0,0035_tex_s02_0_elephant_00_elephant3.png
subject-02,1,36,1.35326385498047,elephant,elephant,0,0036_tex_s02_0_elephant_00_elephant1.png
subject-02,1,37,1.09110283851624,airplane,airplane,0,0037_tex_s02_0_airplane_00_airplane1.png
subject-02,1,38,0.837317943572998,cat,cat,0,0038_tex_s02_0_cat_00_cat2.png
subject-02,1,39,0.984246015548706,boat,boat,0,0039_tex_s02_0_boat_00_boat2.png
subject-02,1,40,0.746703147888184,knife,knife,0,0040_tex_s02_0_knife_00_knife2.png
subject-02,1,41,0.876204967498779,dog,cat,0,0041_tex_s02_0_cat_00_cat3.png
subject-02,1,42,0.922413110733032,bird,bird,0,0042_tex_s02_0_bird_00_bird3.png
subject-02,1,43,1.17079496383667,airplane,airplane,0,0043_tex_s02_0_airplane_00_airplane3.png
subject-02,1,44,0.900261878967285,elephant,elephant,0,0044_tex_s02_0_elephant_00_elephant2.png
subject-02,1,45,0.938732862472534,boat,boat,0,0045_tex_s02_0_boat_00_boat3.png
subject-02,1,46,0.839506864547729,bottle,bottle,0,0046_tex_s02_0_bottle_00_bottle2.png
subject-02,1,47,0.755875110626221,oven,oven,0,0047_tex_s02_0_oven_00_oven3.png
subject-02,1,48,1.02630591392517,truck,truck,0,0048_tex_s02_0_truck_00_truck2.png
