subj,session,trial,rt,object_response,category,condition,imagename
subject-20,1,1,0.631623983383179,keyboard,oven,288,0001_tfr_s20_288_oven_00_oven1-keyboard1.png
subject-20,1,2,0.853317975997925,oven,truck,216,0002_tfr_s20_216_truck_00_truck2-cat3.png
subject-20,1,3,0.982667922973633,cat,airplane,72,0003_tfr_s20_72_airplane_00_airplane5-oven1.png
subject-20,1,4,0.598849058151245,chair,chair,144,0004_tfr_s20_144_chair_00_chair1-bird3.png
subject-20,1,5,0.753825902938843,airplane,airplane,324,0005_tfr_s20_324_airplane_00_airplane10-cat3.png
subject-20,1,6,0.848627090454102,elephant,elephant,252,0006_tfr_s20_252_elephant_00_elephant8-keyboard2.png
subject-20,1,7,0.829889059066772,oven,elephant,252,0007_tfr_s20_252_elephant_00_elephant10-chair2.png
subject-20,1,8,0.745445966720581,dog,dog,252,0008_tfr_s20_252_dog_00_dog1-bicycle3.png
subject-20,1,9,0.724119901657104,elephant,elephant,0,0009_tfr_s20_0_elephant_00_elephant1-bear1.png
subject-20,1,10,0.892157077789307,bird,dog,324,0010_tfr_s20_324_dog_00_dog5-bottle3.png
subject-20,1,11,0.632549047470093,bicycle,bicycle,72,0011_tfr_s20_72_bicycle_00_bicycle9-bottle3.png
subject-20,1,12,1.01686191558838,keyboard,bear,324,0012_tfr_s20_324_bear_00_bear3-keyboard3.png
subject-20,1,13,0.903187990188599,boat,boat,72,0013_tfr_s20_72_boat_00_boat3-elephant3.png
subject-20,1,14,1.2658360004425,airplane,elephant,108,0014_tfr_s20_108_elephant_00_elephant2-clock1.png
subject-20,1,15,0.95850396156311,boat,car,288,0015_tfr_s20_288_car_00_car3-airplane3.png
subject-20,1,16,1.29081106185913,bottle,boat,72,0016_tfr_s20_72_boat_00_boat6-keyboard2.png
subject-20,1,17,0.875970125198364,car,truck,144,0017_tfr_s20_144_truck_00_truck1-truck1.png
subject-20,1,18,0.913572788238525,dog,dog,36,0018_tfr_s20_36_dog_00_dog6-keyboard1.png
subject-20,1,19,0.762455224990845,dog,oven,216,0019_tfr_s20_216_oven_00_oven2-dog3.png
subject-20,1,20,0.571218967437744,dog,dog,288,0020_tfr_s20_288_dog_00_dog4-knife3.png
subject-20,1,21,0.614402055740356,bicycle,chair,36,0021_tfr_s20_36_chair_00_chair10-bear3.png
subject-20,1,22,1.23153400421143,car,car,72,0022_tfr_s20_72_car_00_car2-car1.png
subject-20,1,23,0.593600034713745,car,car,324,0023_tfr_s20_324_car_00_car7-boat3.png
subject-20,1,24,1.08601212501526,chair,keyboard,216,0024_tfr_s20_216_keyboard_00_keyboard1-bird3.png
subject-20,1,25,1.0643310546875,oven,boat,180,0025_tfr_s20_180_boat_00_boat10-bottle2.png
subject-20,1,26,0.635951042175293,boat,boat,144,0026_tfr_s20_144_boat_00_boat2-knife3.png
subject-20,1,27,1.33675098419189,bear,bear,72,0027_tfr_s20_72_bear_00_bear10-bear3.png
subject-20,1,28,1.03753805160522,chair,chair,288,0028_tfr_s20_288_chair_00_chair4-car2.png
subject-20,1,29,0.845201015472412,knife,knife,0,0029_tfr_s20_0_knife_00_knife10-airplane3.png
subject-20,1,30,0.670125007629395,bottle,bottle,180,0030_tfr_s20_180_bottle_00_bottle9-bottle1.png
subject-20,1,31,1.16230583190918,oven,clock,0,0031_tfr_s20_0_clock_00_clock1-oven3.png
subject-20,1,32,1.43332695960999,oven,oven,288,0032_tfr_s20_288_oven_00_oven3-truck2.png
subject-20,1,33,0.979676008224487,clock,clock,324,0033_tfr_s20_324_clock_00_clock10-oven1.png
subject-20,1,34,0.774227857589722,boat,truck,252,0034_tfr_s20_252_truck_00_truck4-bear1.png
subject-20,1,35,0.533817052841187,car,car,108,0035_tfr_s20_108_car_00_car10-airplane3.png
subject-20,1,36,0.72597599029541,truck,oven,108,0036_tfr_s20_108_oven_00_oven7-boat3.png
subject-20,1,37,1.11297988891602,chair,chair,216,0037_tfr_s20_216_chair_00_chair9-cat2.png
subject-20,1,38,1.3137629032135,knife,knife,288,0038_tfr_s20_288_knife_00_knife9-elephant1.png
subject-20,1,39,0.730334043502808,dog,dog,108,0039_tfr_s20_108_dog_00_dog9-oven2.png
subject-20,1,40,0.597784042358398,airplane,airplane,0,0040_tfr_s20_0_airplane_00_airplane2-airplane2.png
subject-20,1,41,0.622802019119263,bottle,bottle,252,0041_tfr_s20_252_bottle_00_bottle8-keyboard1.png
subject-20,1,42,0.698466062545776,dog,dog,72,0042_tfr_s20_72_dog_00_dog8-keyboard3.png
subject-20,1,43,0.72281813621521,clock,oven,144,0043_tfr_s20_144_oven_00_oven10-clock3.png
subject-20,1,44,1.46979212760925,airplane,airplane,180,0044_tfr_s20_180_airplane_00_airplane9-car1.png
subject-20,1,45,1.08335494995117,bottle,bottle,216,0045_tfr_s20_216_bottle_00_bottle5-truck1.png
subject-20,1,46,1.23029804229736,oven,knife,288,0046_tfr_s20_288_knife_00_knife5-airplane1.png
subject-20,1,47,0.763093233108521,airplane,airplane,216,0047_tfr_s20_216_airplane_00_airplane6-oven3.png
subject-20,1,48,0.871438980102539,cat,cat,288,0048_tfr_s20_288_cat_00_cat7-oven2.png
subject-20,1,49,0.765891075134277,knife,knife,108,0049_tfr_s20_108_knife_00_knife8-car1.png
subject-20,1,50,0.802032947540283,boat,car,36,0050_tfr_s20_36_car_00_car1-boat2.png
subject-20,1,51,0.696613073348999,cat,cat,144,0051_tfr_s20_144_cat_00_cat5-dog1.png
subject-20,1,52,0.95970892906189,clock,clock,144,0052_tfr_s20_144_clock_00_clock3-bear2.png
subject-20,1,53,0.76813817024231,knife,knife,0,0053_tfr_s20_0_knife_00_knife3-airplane1.png
subject-20,1,54,0.860375165939331,dog,cat,144,0054_tfr_s20_144_cat_00_cat3-bottle3.png
subject-20,1,55,0.684737920761108,dog,bear,144,0055_tfr_s20_144_bear_00_bear1-bicycle1.png
subject-20,1,56,0.760951995849609,bird,bird,324,0056_tfr_s20_324_bird_00_bird5-knife3.png
subject-20,1,57,1.50017809867859,boat,boat,72,0057_tfr_s20_72_boat_00_boat7-chair3.png
subject-20,1,58,0.729224920272827,clock,clock,36,0058_tfr_s20_36_clock_00_clock6-bicycle2.png
subject-20,1,59,0.731511116027832,elephant,elephant,108,0059_tfr_s20_108_elephant_00_elephant7-bicycle2.png
subject-20,1,60,0.854421138763428,cat,bird,252,0060_tfr_s20_252_bird_00_bird2-bicycle2.png
subject-20,1,61,0.824841022491455,car,bear,324,0061_tfr_s20_324_bear_00_bear9-car2.png
subject-20,1,62,0.854790925979614,clock,clock,324,0062_tfr_s20_324_clock_00_clock2-airplane1.png
subject-20,1,63,0.757333993911743,clock,keyboard,144,0063_tfr_s20_144_keyboard_00_keyboard8-clock1.png
subject-20,1,64,0.971694946289062,truck,oven,288,0064_tfr_s20_288_oven_00_oven9-car3.png
subject-20,1,65,0.75065803527832,car,clock,108,0065_tfr_s20_108_clock_00_clock7-oven1.png
subject-20,1,66,0.713093996047974,bear,bear,288,0066_tfr_s20_288_bear_00_bear8-truck3.png
subject-20,1,67,0.713767051696777,airplane,boat,144,0067_tfr_s20_144_boat_00_boat5-boat1.png
subject-20,1,68,0.735445022583008,airplane,airplane,108,0068_tfr_s20_108_airplane_00_airplane7-bottle1.png
subject-20,1,69,0.681808948516846,bicycle,bicycle,108,0069_tfr_s20_108_bicycle_00_bicycle5-chair2.png
subject-20,1,70,0.660104990005493,boat,boat,288,0070_tfr_s20_288_boat_00_boat4-boat3.png
subject-20,1,71,0.706530094146729,cat,cat,252,0071_tfr_s20_252_cat_00_cat6-truck1.png
subject-20,1,72,1.19416904449463,dog,cat,216,0072_tfr_s20_216_cat_00_cat2-bear2.png
