subj,session,trial,rt,object_response,category,condition,imagename
vgg,1,1,NaN,airplane,airplane,0,0001_tfr_dnn_0_airplane_00_airplane1-bicycle2-108.png
vgg,1,2,NaN,airplane,airplane,0,0002_tfr_dnn_0_airplane_00_airplane1-bottle3-324.png
vgg,1,3,NaN,airplane,airplane,0,0003_tfr_dnn_0_airplane_00_airplane1-chair3-324.png
vgg,1,4,NaN,airplane,airplane,0,0004_tfr_dnn_0_airplane_00_airplane1-elephant1-144.png
vgg,1,5,NaN,airplane,airplane,0,0005_tfr_dnn_0_airplane_00_airplane1-keyboard1-36.png
vgg,1,6,NaN,cat,airplane,0,0006_tfr_dnn_0_airplane_00_airplane10-bear1-180.png
vgg,1,7,NaN,chair,airplane,0,0007_tfr_dnn_0_airplane_00_airplane10-boat3-0.png
vgg,1,8,NaN,bottle,airplane,0,0008_tfr_dnn_0_airplane_00_airplane10-bottle1-288.png
vgg,1,9,NaN,chair,airplane,0,0009_tfr_dnn_0_airplane_00_airplane10-car3-72.png
vgg,1,10,NaN,bird,airplane,0,0010_tfr_dnn_0_airplane_00_airplane10-cat3-324.png
vgg,1,11,NaN,chair,airplane,0,0011_tfr_dnn_0_airplane_00_airplane10-knife3-144.png
vgg,1,12,NaN,airplane,airplane,0,0012_tfr_dnn_0_airplane_00_airplane2-airplane2-0.png
vgg,1,13,NaN,bird,airplane,0,0013_tfr_dnn_0_airplane_00_airplane2-bear2-0.png
vgg,1,14,NaN,dog,airplane,0,0014_tfr_dnn_0_airplane_00_airplane2-bird2-288.png
vgg,1,15,NaN,bicycle,airplane,0,0015_tfr_dnn_0_airplane_00_airplane2-bottle2-72.png
vgg,1,16,NaN,chair,airplane,0,0016_tfr_dnn_0_airplane_00_airplane2-chair2-216.png
vgg,1,17,NaN,bird,airplane,0,0017_tfr_dnn_0_airplane_00_airplane2-dog2-252.png
vgg,1,18,NaN,chair,airplane,0,0018_tfr_dnn_0_airplane_00_airplane2-elephant3-288.png
vgg,1,19,NaN,knife,airplane,0,0019_tfr_dnn_0_airplane_00_airplane2-keyboard1-288.png
vgg,1,20,NaN,airplane,airplane,0,0020_tfr_dnn_0_airplane_00_airplane2-knife3-72.png
vgg,1,21,NaN,bird,airplane,0,0021_tfr_dnn_0_airplane_00_airplane2-truck1-0.png
vgg,1,22,NaN,airplane,airplane,0,0022_tfr_dnn_0_airplane_00_airplane3-bird1-72.png
vgg,1,23,NaN,airplane,airplane,0,0023_tfr_dnn_0_airplane_00_airplane3-boat2-36.png
vgg,1,24,NaN,airplane,airplane,0,0024_tfr_dnn_0_airplane_00_airplane3-bottle2-216.png
vgg,1,25,NaN,airplane,airplane,0,0025_tfr_dnn_0_airplane_00_airplane3-car1-108.png
vgg,1,26,NaN,airplane,airplane,0,0026_tfr_dnn_0_airplane_00_airplane3-keyboard2-216.png
vgg,1,27,NaN,airplane,airplane,0,0027_tfr_dnn_0_airplane_00_airplane3-knife1-180.png
vgg,1,28,NaN,airplane,airplane,0,0028_tfr_dnn_0_airplane_00_airplane3-oven2-144.png
vgg,1,29,NaN,airplane,airplane,0,0029_tfr_dnn_0_airplane_00_airplane3-truck3-72.png
vgg,1,30,NaN,chair,airplane,0,0030_tfr_dnn_0_airplane_00_airplane4-airplane2-72.png
vgg,1,31,NaN,bird,airplane,0,0031_tfr_dnn_0_airplane_00_airplane4-bear3-0.png
vgg,1,32,NaN,knife,airplane,0,0032_tfr_dnn_0_airplane_00_airplane4-bicycle3-180.png
vgg,1,33,NaN,airplane,airplane,0,0033_tfr_dnn_0_airplane_00_airplane4-bird2-252.png
vgg,1,34,NaN,truck,airplane,0,0034_tfr_dnn_0_airplane_00_airplane4-boat2-324.png
vgg,1,35,NaN,bird,airplane,0,0035_tfr_dnn_0_airplane_00_airplane4-cat3-144.png
vgg,1,36,NaN,knife,airplane,0,0036_tfr_dnn_0_airplane_00_airplane4-clock2-288.png
vgg,1,37,NaN,dog,airplane,0,0037_tfr_dnn_0_airplane_00_airplane4-dog1-0.png
vgg,1,38,NaN,bird,airplane,0,0038_tfr_dnn_0_airplane_00_airplane4-elephant1-0.png
vgg,1,39,NaN,bird,airplane,0,0039_tfr_dnn_0_airplane_00_airplane5-bear3-180.png
vgg,1,40,NaN,truck,airplane,0,0040_tfr_dnn_0_airplane_00_airplane5-bicycle1-252.png
vgg,1,41,NaN,airplane,airplane,0,0041_tfr_dnn_0_airplane_00_airplane5-car1-324.png
vgg,1,42,NaN,bird,airplane,0,0042_tfr_dnn_0_airplane_00_airplane5-dog3-144.png
vgg,1,43,NaN,knife,airplane,0,0043_tfr_dnn_0_airplane_00_airplane5-knife1-216.png
vgg,1,44,NaN,airplane,airplane,0,0044_tfr_dnn_0_airplane_00_airplane5-oven1-72.png
vgg,1,45,NaN,airplane,airplane,0,0045_tfr_dnn_0_airplane_00_airplane5-truck3-288.png
vgg,1,46,NaN,airplane,airplane,0,0046_tfr_dnn_0_airplane_00_airplane6-airplane3-36.png
vgg,1,47,NaN,dog,airplane,0,0047_tfr_dnn_0_airplane_00_airplane6-bird3-288.png
vgg,1,48,NaN,bird,airplane,0,0048_tfr_dnn_0_airplane_00_airplane6-chair1-36.png
vgg,1,49,NaN,chair,airplane,0,0049_tfr_dnn_0_airplane_00_airplane6-clock1-144.png
vgg,1,50,NaN,bird,airplane,0,0050_tfr_dnn_0_airplane_00_airplane6-dog2-108.png
vgg,1,51,NaN,knife,airplane,0,0051_tfr_dnn_0_airplane_00_airplane6-elephant2-216.png
vgg,1,52,NaN,knife,airplane,0,0052_tfr_dnn_0_airplane_00_airplane6-keyboard3-288.png
vgg,1,53,NaN,airplane,airplane,0,0053_tfr_dnn_0_airplane_00_airplane6-knife3-36.png
vgg,1,54,NaN,truck,airplane,0,0054_tfr_dnn_0_airplane_00_airplane6-oven3-216.png
vgg,1,55,NaN,airplane,airplane,0,0055_tfr_dnn_0_airplane_00_airplane6-truck3-216.png
vgg,1,56,NaN,airplane,airplane,0,0056_tfr_dnn_0_airplane_00_airplane7-airplane1-288.png
vgg,1,57,NaN,bird,airplane,0,0057_tfr_dnn_0_airplane_00_airplane7-bear3-144.png
vgg,1,58,NaN,bottle,airplane,0,0058_tfr_dnn_0_airplane_00_airplane7-bottle1-108.png
